geo,time,st_int_xpnd_cd
abw,1995,79000000
abw,1996,128000000
abw,1997,161000000
abw,1998,140000000
abw,1999,151000000
abw,2000,163000000
abw,2001,156000000
abw,2002,172000000
abw,2003,213000000
abw,2004,248000000
abw,2005,250000000
abw,2006,241000000
abw,2007,270000000
abw,2008,272000000
abw,2009,264000000
abw,2010,261000000
abw,2011,287000000
abw,2012,294000000
abw,2013,342000000
abw,2014,350000000
abw,2015,357000000
abw,2016,319000000
abw,2017,349000000
abw,2018,394000000
abw,2019,399000000
abw,2020,310000000
afg,2008,38000000
afg,2009,70000000
afg,2010,106000000
afg,2011,255000000
afg,2012,110000000
afg,2013,138000000
afg,2014,140000000
afg,2015,151000000
afg,2016,89000000
afg,2017,130000000
afg,2018,226000000
afg,2019,168000000
afg,2020,49000000
ago,1995,113000000
ago,1996,110000000
ago,1997,125000000
ago,1998,96000000
ago,1999,142000000
ago,2000,146000000
ago,2001,80000000
ago,2002,52000000
ago,2003,49000000
ago,2004,86000000
ago,2005,135000000
ago,2006,393000000
ago,2007,473000000
ago,2008,447000000
ago,2009,270000000
ago,2010,275000000
ago,2011,323000000
ago,2012,288000000
ago,2013,316000000
ago,2014,505000000
ago,2015,389000000
ago,2016,823000000
ago,2017,1216000000
ago,2018,762000000
ago,2019,717000000
ago,2020,691000000
alb,1995,19000000
alb,1996,25000000
alb,1997,13000000
alb,1998,22000000
alb,1999,35000000
alb,2000,290000000
alb,2001,269000000
alb,2002,386000000
alb,2003,507000000
alb,2004,669000000
alb,2005,808000000
alb,2006,989000000
alb,2007,1331000000
alb,2008,1644000000
alb,2009,1692000000
alb,2010,1452000000
alb,2011,1677000000
alb,2012,1374000000
alb,2013,1567000000
alb,2014,1689000000
alb,2015,1311000000
alb,2016,1338000000
alb,2017,1473000000
alb,2018,1750000000
alb,2019,1852000000
alb,2020,805000000
and,2019,187000000
are,2000,3019000000
are,2001,3321000000
are,2002,3651000000
are,2003,3956000000
are,2004,4472000000
are,2005,6186000000
are,2006,8827000000
are,2007,11273000000
are,2008,13288000000
are,2009,10347000000
are,2010,11818000000
are,2011,13206000000
are,2012,15072000000
are,2013,16188000000
are,2014,15848000000
are,2015,16637099609.375
are,2016,17127259765.625
are,2017,17644699218.75
are,2018,18004099609.375
are,2019,18382000000
are,2020,15085000000
arg,1995,4013000000
arg,1996,4449000000
arg,1997,4973000000
arg,1998,5282000000
arg,1999,5228000000
arg,2000,5460000000
arg,2001,4888000000
arg,2002,2744000000
arg,2003,2997000000
arg,2004,3208000000
arg,2005,3554000000
arg,2006,4047000000
arg,2007,5077000000
arg,2008,5987000000
arg,2009,5808000000
arg,2010,6448000000
arg,2011,7602000000
arg,2012,8466000000
arg,2013,8421000000
arg,2014,7837000000
arg,2015,9348000000
arg,2016,12273000000
arg,2017,14180000000
arg,2018,13084000000
arg,2019,9845000000
arg,2020,2746000000
arm,1995,12000000
arm,1996,26000000
arm,1997,45000000
arm,1998,55000000
arm,1999,51000000
arm,2000,56000000
arm,2001,59000000
arm,2002,85000000
arm,2003,97000000
arm,2004,199000000
arm,2005,255000000
arm,2006,300000000
arm,2007,430000000
arm,2008,494000000
arm,2009,496000000
arm,2010,641000000
arm,2011,756000000
arm,2012,874000000
arm,2013,1007000000
arm,2014,1101000000
arm,2015,1057000000
arm,2016,1033000000
arm,2017,1218000000
arm,2018,1335000000
arm,2019,1543000000
arm,2020,330000000
atg,2014,89000000
atg,2015,95000000
atg,2016,101000000
atg,2017,106000000
atg,2018,111000000
atg,2019,119000000
atg,2020,35000000
aus,1995,7605000000
aus,1996,8545000000
aus,1997,8880000000
aus,1998,8307000000
aus,1999,8798000000
aus,2000,9065000000
aus,2001,8184000000
aus,2002,8640000000
aus,2003,10434000000
