geo,time,se_sec_tcaq_up_ma_zs
eth,2012,90.28871
eth,2015,100
eth,2019,98.87566
fji,2008,92.62295
fji,2012,100
fsm,2018,30.7377
geo,2000,94.28633
geo,2009,92.71831
gha,1999,42.64042
gha,2000,46.96264
gha,2001,52.78599
gha,2002,52.78895
gha,2006,73.14515
gha,2007,84.32153
gha,2008,78.52292
gha,2009,83.43344
gha,2010,81.42546
gha,2011,81.42388
gha,2012,77.64864
gha,2013,80.78277
gha,2014,80.39239
gha,2015,81.86521
gha,2016,85.26705
gha,2017,90.94726
gha,2018,87.17852
gha,2019,84.51276
gib,1999,100
gib,2000,100
gib,2001,100
gib,2008,100
gib,2009,100
gib,2016,68.42105
gib,2017,90.47619
gin,2008,94.47083
gmb,2013,95.04505
gmb,2014,94.45876
gmb,2015,94.20748
gmb,2017,95.93301
gmb,2018,100
gmb,2019,97.01493
grd,2003,43.61702
grd,2014,40.17857
grd,2015,36.93694
grd,2016,37.14286
grd,2017,38.31776
grd,2018,46.875
guy,2003,54.85893
guy,2005,44.68085
guy,2008,49.41176
guy,2009,42.74809
hnd,2004,57.4146
hnd,2008,56.13577
hrv,1999,100
hrv,2000,100
hrv,2001,100
hrv,2002,100
hrv,2003,100
ind,2017,74.66135
ind,2019,75.30194
ind,2020,80.51366
irn,2013,100
irn,2014,100
irn,2016,94.28673
irn,2017,94.47901
irq,2000,100
irq,2004,100
jor,2013,100
jor,2014,100
jor,2017,100
jor,2018,100
jor,2019,100
jor,2020,100
ken,2006,97.73012
ken,2007,92.04532
ken,2008,98.21559
ken,2009,92.97892
ken,2012,99.53791
khm,2007,99.69944
kir,2005,42.2619
kir,2006,35.84906
kir,2007,35.81081
kir,2008,32.87671
kna,2002,40.98361
kna,2003,52.94118
kna,2004,38.70968
kna,2005,48.33333
kna,2009,45.28302
kna,2010,36.36364
kna,2011,55.12821
kna,2012,48.10127
kwt,1999,100
kwt,2000,100
kwt,2001,100
kwt,2004,100
kwt,2005,100
lao,2000,94.95202
lao,2001,91.2349
lao,2002,94.24547
lao,2003,97.94677
lao,2004,92.37755
lao,2005,88.28677
lao,2006,90.38276
lao,2017,98.69974
lao,2019,97.66039
lao,2020,99.45627
lbr,2015,59.95947
lca,2011,60.31746
lca,2012,60
lka,2017,77.80138
lka,2018,74.79627
lva,2010,100
lva,2011,100
lva,2012,100
lva,2013,100
lva,2014,100
lva,2015,100
lva,2016,100
lva,2017,100
lva,2018,100
lva,2019,100
mac,1999,51.52672
mac,2000,53.68421
mac,2001,50.49834
mac,2002,47.96748
mac,2003,53.5809
mac,2004,55.71429
mac,2005,55.43237
mac,2006,57.20339
mac,2007,57.05521
mac,2008,60.39387
mac,2009,64.50304
mac,2010,64.61538
mac,2011,67.06485
mac,2012,69.49153
mac,2013,72.34043
mac,2014,80.4878
mac,2015,86.17886
mac,2016,87.71121
mac,2017,89.22156
mac,2018,91.31098
mac,2019,92.93564
mac,2020,91.28368
mar,2008,100
mar,2017,100
mar,2018,100
mar,2019,100
mar,2020,100
mco,2020,86.25954
mda,2016,98.35282
mda,2017,97.96772
mda,2018,98.02033
mda,2019,100
mda,2020,100
mdg,2014,17.47445
mdg,2017,19.14344
mdg,2018,13.98011
mdg,2019,15.73234
mdv,1998,82.75862
mdv,2010,95.92593
mdv,2011,100
mdv,2012,97.94239
mdv,2013,98.88476
mdv,2014,83.22785
mdv,2015,93.17507
mdv,2016,94.5122
mdv,2017,95.56213
mdv,2018,99.1573
mdv,2019,99.10448
mhl,2020,63.46154
mli,2008,84.16381
mmr,1999,99.42902
mmr,2000,97.18375
mmr,2001,90.29148
mmr,2002,93.97155
mmr,2003,92.9962
mmr,2004,93.29157
mmr,2005,94.42379
mmr,2006,100
mmr,2007,100
mmr,2008,100
mmr,2009,100
mmr,2010,100
mmr,2014,97.20479
mmr,2016,96.67193
mmr,2017,85.07903
mmr,2018,86.37765
mng,1999,100
mng,2000,100
mng,2001,100
mng,2002,100
mng,2003,100
mng,2004,100
mng,2005,100
mng,2006,100
moz,2006,79.29619
moz,2007,79.72305
moz,2008,75.01
moz,2013,94.69214
moz,2020,97.89269
mrt,2006,100
mrt,2014,75.15291
mrt,2016,76.7495
mrt,2019,95.23691
ner,2003,26.00583
ner,2004,28.81449
ner,2006,25.48139
ner,2010,26.89474
ner,2014,12.03791
ner,2015,15.0025
ner,2017,12.90272
nga,2006,65.74991
nga,2010,21.28426
nga,2018,60.78514
nic,1999,38.68255
nic,2000,43.577
nic,2001,42.80094
nic,2004,47.90011
nic,2005,51.60383
nic,2006,58.54054
nic,2007,56.57245
nic,2008,55.55104
npl,2008,63.78585
npl,2010,71.84829
npl,2011,73.19418
npl,2013,80.25097
npl,2014,80.64509
npl,2015,83.36569
npl,2016,87.45514
npl,2019,83.13225
npl,2020,83.14936
nru,2016,100
omn,1999,100
omn,2000,100
omn,2001,100
omn,2009,100
omn,2017,100
omn,2018,100
omn,2019,100
pak,2011,87.9465
pak,2012,96.67759
pak,2013,99.24122
pak,2014,98.11539
pak,2015,95.8881
pak,2016,86.88678
pak,2017,83.30689
pan,1999,79.10448
pan,2000,80.90504
pan,2001,91.98003
pan,2002,75.2424
pan,2004,79.40336
pan,2005,77.16981
pan,2006,87.7964
pan,2007,88.94052
pan,2008,89.84615
pan,2009,89.3274
pan,2010,87.67004
pan,2011,87.72422
pan,2014,97.41965
phl,2016,100
phl,2017,100
phl,2018,100
phl,2019,100
png,2012,100
pol,2018,100
pol,2019,100
pri,2014,94
pri,2015,94.37043
pri,2016,84.02179
pry,2012,72.1409
pse,2002,100
pse,2003,100
pse,2004,100
pse,2005,100
pse,2007,100
pse,2008,100
pse,2009,100
pse,2010,100
pse,2011,100
pse,2012,100
pse,2013,100
pse,2014,100
pse,2015,100
pse,2016,100
pse,2017,100
pse,2018,100
pse,2019,100
pse,2020,100
qat,2006,62.72147
qat,2008,45.92164
qat,2015,100
qat,2016,100
qat,2017,100
qat,2018,100
qat,2019,100
qat,2020,100
rwa,2017,56.17368
rwa,2019,66.66667
sau,2013,100
sau,2014,100
sau,2015,100
sau,2016,100
sau,2017,100
sau,2018,100
sau,2019,100
sau,2020,100
sdn,2012,64.80707
sdn,2013,66.56777
sdn,2014,68.07792
sdn,2015,65.53003
sdn,2016,61.49676
sdn,2017,61.3052
sdn,2018,61.74938
sen,2020,66.16994
slb,2010,70.35398
slb,2015,60.76696
sle,2011,66.47657
sle,2012,66.39327
sle,2013,63.69302
sle,2015,74.14028
sle,2019,74.2797
slv,2003,80.53354
slv,2004,81.10883
slv,2005,81.69119
slv,2007,82.8066
slv,2008,80.87819
slv,2011,86.68738
slv,2015,88.62126
slv,2016,90.44239
slv,2017,90
slv,2018,89.58991
som,2007,54.17925
srb,2007,100
stp,2011,85.29412
syr,2006,88.73723
syr,2007,89.35055
syr,2010,86.46429
syr,2013,92.12445
tca,1999,100
tcd,2016,49.4034
tha,2015,100
tha,2017,100
tha,2018,100
tha,2019,100
tha,2020,100
ton,1998,26.47482
tun,2017,100
tun,2018,100
tun,2020,100
tuv,2016,29.16667
tuv,2018,63.63636
uzb,2017,92.6009
vct,2001,62.7451
vct,2002,65.30612
vct,2003,56.86275
vct,2004,59.375
vct,2008,51.68539
vct,2009,33.33333
vct,2010,60
vgb,1999,65
vgb,2003,66.66667
wsm,2014,100
wsm,2020,49.77273
yem,2013,94.829
