geo,time,se_sec_enrl_tc_zs
abw,1999,15.59241
abw,2000,15.25432
abw,2001,15.05386
abw,2002,15.049
abw,2003,14.90022
abw,2004,14.55741
abw,2005,14.1753
abw,2006,14.361
abw,2007,14.46225
abw,2008,13.0991
abw,2009,13.45208
abw,2010,13.80075
abw,2011,13.97348
abw,2012,15.09369
afg,1970,23.13762
afg,1971,22.52125
afg,1972,21.7014
afg,1973,20.51185
afg,1974,21.96758
afg,1976,29.27404
afg,1990,24.78793
afg,1993,26.68461
afg,1994,28.36574
afg,2007,31.56236
afg,2015,31.9738
afg,2016,32.20814
afg,2017,33.2407
afg,2018,33.50124
ago,1971,15.1623
ago,1972,16.8623
ago,1973,16.7383
ago,1998,18.26943
ago,1999,18.26959
ago,2000,18.83404
ago,2001,18.96118
ago,2011,27.41665
ago,2016,26.76619
alb,1997,14.77331
alb,2000,16.43434
alb,2001,16.96302
alb,2003,17.66389
alb,2008,16.79416
alb,2009,14.7321
alb,2010,14.77747
alb,2011,15.24414
alb,2012,14.89293
alb,2013,14.75715
alb,2014,14.29575
alb,2015,13.50589
alb,2016,12.22137
alb,2017,11.60265
alb,2018,11.19927
and,2002,7.6577
and,2003,7.25909
and,2004,7.06522
and,2005,7.75311
and,2013,7.80663
and,2014,8.65531
and,2015,8.07904
and,2016,7.94434
and,2017,8.22711
and,2018,8.01599
are,1971,12.73278
are,1972,12.53715
are,1973,9.00701
are,1974,7.13793
are,1975,7.97898
are,1979,10.48959
are,1980,10.55926
are,1983,12.80853
are,1984,13.89344
are,1985,14.45427
are,1986,14.65235
are,1987,14.44941
are,1988,15.25639
are,1989,12.44887
are,1990,12.56488
are,1991,12.59556
are,1992,12.51442
are,1993,12.30739
are,1994,12.47254
are,1995,12.70891
are,2016,9.54885
arg,1970,7.27655
arg,1971,7.36992
arg,1972,7.51869
arg,1973,7.58144
arg,1974,7.70343
arg,1975,7.67988
arg,1976,7.56055
arg,1977,7.4151
arg,1978,7.47264
arg,1979,7.25784
arg,1983,7.57642
arg,1984,7.64464
arg,1985,7.82314
arg,1986,7.76125
arg,1987,7.15971
arg,1988,7.09614
arg,1994,9.66461
arg,1998,12.41851
arg,2000,12.30048
arg,2001,17.48206
arg,2002,17.04147
arg,2003,16.14991
arg,2004,15.42813
arg,2005,15.1209
arg,2006,14.19154
arg,2007,13.63714
arg,2008,12.23531
arm,1991,8.50409
arm,1994,10.50058
arm,1996,9.7547
arm,2018,8.01689
asm,1972,19.20833
asm,1973,19.872
asm,1974,19.136
asm,1975,18.984
asm,1976,20
asm,1977,20.816
asm,1978,20.76744
asm,1979,20.76744
asm,1980,20.76744
asm,1982,22.42424
asm,1983,21.42143
asm,1984,21.04138
asm,1985,22.0604
asm,1986,16.46305
asm,1987,14.45175
asm,1988,13.8961
asm,1989,15.29817
asm,1990,15.48198
asm,1991,15.5
asm,1992,13.69549
