global,time,ic_tax_othr_cp_zs
world,2005,17.5227
world,2006,17.3509
world,2007,17.02118
world,2008,16.44912
world,2009,16.1314
world,2010,15.3064
world,2011,12.4592
world,2012,11.95112
world,2013,9.5455
world,2014,8.23333
world,2015,8.1963
world,2016,7.86772
world,2017,8.04021
world,2018,8.04526
world,2019,8.09158
