geo,time,ne_con_totl_cn
abw,1995,1665000000
abw,1996,1818000000
abw,1997,2014000000
abw,1998,2155000000
abw,1999,2276000000
abw,2000,2374000000
abw,2001,2555000000
abw,2002,2695000000
abw,2003,2842000000
abw,2004,2980000000
abw,2005,3163000000
abw,2006,3346000000
abw,2007,3658000000
abw,2008,3796000000
abw,2009,3677000000
abw,2010,3749000000
abw,2011,3992000000
abw,2012,4108000000
abw,2013,4148900000
abw,2014,4157334935.77213
abw,2015,4168040694.44325
abw,2016,4167030154.72389
abw,2017,4326271055.35622
abw,2018,4542645721.3043
afg,1960,20999999500
afg,1961,21499998200
afg,1962,20999999500
afg,1963,31600001000
afg,1964,34299998200
afg,1965,44800000000
afg,1966,64000000000
afg,1967,76999999500
afg,1968,61700001800
afg,1969,62400000000
afg,1970,76099903500
afg,1971,82199896100
afg,1972,69500002300
afg,1973,73699999700
afg,1974,89300000800
afg,1975,97800003600
afg,1976,101200003100
afg,1977,120600002600
afg,1978,132399996900
ago,2000,39125133900
ago,2001,136133959600
ago,2002,403479000000
ago,2003,861252000000
ago,2004,1100375000000
ago,2005,1546144000000
ago,2006,1868657000000
ago,2007,2328843000000
ago,2008,3030073000000
ago,2009,3464124120700
ago,2010,4069559974300
ago,2011,5483408827500
ago,2012,6510061695100
ago,2013,7808115993900
ago,2014,8944161781500
ago,2015,9650369357900
ago,2016,11569218265400
ago,2017,14207580967200
ago,2018,17128560542900
ago,2019,21470060000000
ago,2020,24807702000000
alb,1980,10106899700
alb,1981,10191999700
alb,1982,11015900400
alb,1983,11127799600
alb,1984,11587200100
alb,1985,11713400300
alb,1986,12086299900
alb,1987,12366600200
alb,1988,12574199800
alb,1989,13272999800
alb,1990,13285894700
alb,1991,18541189600
alb,1992,91464176700
alb,1993,167542007800
alb,1994,206113865700
alb,1995,233817215000
alb,1996,346365920000
alb,1997,359062010000
alb,1998,405863420000
alb,1999,432915500000
alb,2000,463244400000
alb,2001,500542740000
alb,2002,557807270000
alb,2003,619648100000
alb,2004,652200450000
alb,2005,707476200000
alb,2006,769319100000
alb,2007,890645060000
alb,2008,1010136930000
alb,2009,1051607100000
alb,2010,1106590150000
alb,2011,1161113860000
alb,2012,1183692060000
alb,2013,1229288970000
alb,2014,1287018490000
alb,2015,1316771210000
alb,2016,1358072930000
alb,2017,1412737720000
alb,2018,1479509980000
alb,2019,1543610520000
alb,2020,1535774500000
are,2001,261959413800
are,2002,288436860800
are,2003,312010220700
are,2004,377351174700
are,2005,425951961700
are,2006,513453429400
are,2007,633019096300
are,2008,760952031200
are,2009,582172947800
are,2010,556297588000
are,2011,622678753200
are,2012,576020402200
are,2013,643589639600
are,2014,698839049500
are,2015,629231019200
are,2016,638865182800
are,2017,715415777100
are,2018,777168968300
are,2019,789749951343.01404
arg,1960,0.10394
arg,1961,0.11693
arg,1962,0.1689
arg,1963,0.20788
arg,1964,0.27284
arg,1965,0.36379
arg,1966,0.46773
arg,1967,0.61065
arg,1968,0.71459
arg,1969,0.83152
arg,1970,0.89648
arg,1971,1.27326
arg,1972,2.10478
arg,1973,3.6509
arg,1974,5.02809
arg,1975,13.7201
arg,1976,67.5609
arg,1977,189.56
arg,1978,491.116
arg,1979,1429.05005
arg,1980,2925
arg,1981,5812
arg,1982,16537
arg,1983,82990
arg,1984,610610
arg,1985,4082100
arg,1986,8057200
arg,1987,18700300
arg,1988,86673000
arg,1989,2530560000
arg,1990,55326998528
arg,1991,151530995700
arg,1992,192261996500
arg,1993,195628260300
arg,1994,213955318800
arg,1995,211354437000
arg,1996,220510438000
arg,1997,238353211100
arg,1998,243786711100
arg,1999,237777915000
arg,2000,236219366100
arg,2001,223201711200
arg,2002,231727029300
arg,2003,280563300200
arg,2004,366000674000
arg,2005,437901246000
arg,2006,541936694600
arg,2007,677404421900
arg,2008,881871635300
arg,2009,984392120400
arg,2010,1319370399900
arg,2011,1741242424200
arg,2012,2151188062100
arg,2013,2772191944400
arg,2014,3770097187200
arg,2015,5002040260300
arg,2016,6860348955500
arg,2017,9001120341100
arg,2018,12573678508500
arg,2019,17863956809100
arg,2020,21724376713100
arm,1990,33670000
arm,1991,60400000
arm,1992,349550000
arm,1993,4664980000
arm,1994,197972000000
arm,1995,613392000000
arm,1996,738267000000
arm,1997,922859000000
arm,1998,1061911000000
arm,1999,1069156000000
arm,2000,1165048800000
arm,2001,1278810800000
arm,2002,1401568000000
arm,2003,1575847400000
arm,2004,1833913900000
arm,2005,1999172300000
arm,2006,2265066900000
arm,2007,2669178300000
arm,2008,3021863700000
arm,2009,3042095900000
arm,2010,3401399800000
arm,2011,3774749400000
arm,2012,4129498300000
arm,2013,4497488700000
arm,2014,4714334600000
arm,2015,4591090420000
arm,2016,4548292000000
arm,2017,5138728600000
arm,2018,5492805800000
arm,2019,6281852100000
arm,2020,5651967600000
asm,2002,528000000
asm,2003,553000000
asm,2004,584000000
asm,2005,591000000
asm,2006,599000000
asm,2007,604000000
asm,2008,648000000
asm,2009,673000000
asm,2010,704000000
asm,2011,748000000
asm,2012,749000000
asm,2013,759000000
asm,2014,806000000
asm,2015,831000000
asm,2016,783000000
asm,2017,784000000
asm,2018,821000000
asm,2019,821000000
asm,2020,863000000
atg,1993,1011400000
atg,1994,1205400000
atg,1995,1280800000
atg,1996,1453600000
atg,1997,1455600000
atg,1998,1486900000
atg,1999,1622800000
atg,2000,1680000000
atg,2001,1830400000
atg,2002,1838600000
atg,2003,1968600000
atg,2004,2056600000
atg,2005,2387800000
atg,2006,2722600000
atg,2007,3165200000
atg,2008,3192800000
atg,2009,2446600000
atg,2010,2658400000
atg,2011,2726200000
atg,2012,2982800000
atg,2013,2937200000
atg,2014,3010926700
atg,2015,2990427700
atg,2016,3082777600
atg,2017,2984737900
atg,2018,2967915600
atg,2019,2922441900
atg,2020,2938804300
aus,1960,11434000000
aus,1961,12192000000
aus,1962,12646000000
aus,1963,13481000000
aus,1964,14617000000
aus,1965,15987000000
aus,1966,17216000000
aus,1967,18715000000
aus,1968,20579000000
aus,1969,22345000000
aus,1970,24860000000
aus,1971,27639000000
aus,1972,30790000000
aus,1973,34455000000
aus,1974,41094000000
aus,1975,51884000000
aus,1976,61524000000
aus,1977,71483000000
aus,1978,79655000000
aus,1979,88065000000
aus,1980,98634000000
aus,1981,112698000000
aus,1982,130064000000
aus,1983,147504000000
aus,1984,160890000000
aus,1985,174833000000
aus,1986,196695000000
aus,1987,217086000000
aus,1988,238483000000
aus,1989,264764000000
aus,1990,293055000000
aus,1991,313207000000
aus,1992,330174000000
aus,1993,342966000000
aus,1994,355043000000
aus,1995,376350000000
aus,1996,399905000000
aus,1997,416365000000
aus,1998,442904000000
aus,1999,473514000000
aus,2000,502039000000
aus,2001,540291000000
aus,2002,570902000000
aus,2003,610948000000
aus,2004,652715000000
aus,2005,695571000000
aus,2006,742002000000
aus,2007,806048000000
aus,2008,871239000000
aus,2009,911743000000
aus,2010,965564000000
aus,2011,1027899000000
aus,2012,1086427000000
aus,2013,1128051000000
aus,2014,1175631000000
aus,2015,1220715000000
aus,2016,1274217000000
aus,2017,1326316000000
aus,2018,1383816000000
aus,2019,1444458000000
aus,2020,1461936000000
aut,1970,20125972000
aut,1971,22557550000
aut,1972,25488167000
aut,1973,28879782000
aut,1974,33093423000
aut,1975,37224841000
aut,1976,41612253000
aut,1977,46432935000
aut,1978,48316191000
aut,1979,52645347000
aut,1980,57083128000
aut,1981,62009002000
aut,1982,67150275000
aut,1983,72695628000
aut,1984,75293689000
aut,1985,79569753000
aut,1986,83159232000
aut,1987,86176340000
aut,1988,89478272000
aut,1989,94876773000
aut,1990,101587355000
aut,1991,108454462000
aut,1992,116179666000
aut,1993,121217530000
aut,1994,126951625000
aut,1995,131623230000
aut,1996,137040330000
aut,1997,140340870000
aut,1998,145015970000
aut,1999,149780300000
aut,2000,156117340000
aut,2001,161175880000
aut,2002,164107790000
aut,2003,169405710000
aut,2004,176316390000
aut,2005,185871130000
aut,2006,194101860000
aut,2007,200944320000
aut,2008,208857100000
aut,2009,213630090000
aut,2010,218947130000
aut,2011,227250830000
aut,2012,233638020000
aut,2013,238329260000
aut,2014,243860580000
