global,time,se_sec_nenr
world,1998,53.89543
world,1999,54.10659
world,2000,54.93954
world,2001,55.54719
world,2002,56.06077
world,2003,56.94918
world,2004,57.81391
world,2005,58.49775
world,2006,59.11553
world,2007,60.08915
world,2008,60.84241
world,2009,61.3097
world,2010,62.54485
world,2011,63.53369
world,2012,63.79482
world,2013,64.8996
world,2014,65.64805
world,2015,65.71337
world,2016,65.82859
world,2017,66.19644
world,2018,66.27183
