global,time,dt_nfl_unta_cd
world,1969,38430000.30518
world,1970,52579998.01636
world,1971,43639999.38965
world,1972,47819999.69482
world,1973,48060001.37329
world,1974,69379997.25342
world,1975,68480003.35693
world,1976,76910003.66211
world,1977,94069999.69482
world,1978,113790000.91553
world,1979,115669998.16894
world,1980,34950000.76294
world,1981,209169998.16895
world,1982,195250000
world,1983,252929992.67578
world,1984,216990005.49316
world,1985,294229980.46875
world,1986,252699996.94824
world,1987,313630004.88281
world,1988,267419982.91016
world,1989,242330001.83105
world,1990,232990005.49316
world,1991,286440002.44141
world,1992,238940002.44141
world,1993,343299987.79297
world,1994,268980010.98633
world,1995,559809997.55859
world,1996,248160003.66211
world,1997,439330017.08984
world,1998,292239990.23438
world,1999,439260009.76562
world,2000,464089996.33789
world,2001,420820007.32422
world,2002,476910003.66211
world,2003,514450012.20703
world,2004,439250000
world,2005,574349975.58594
world,2006,368269989.01367
world,2007,460320007.32422
world,2008,644880004.88281
world,2009,0
world,2010,0
world,2011,0
world,2012,0
world,2013,0
world,2014,0
world,2015,0
world,2016,0
world,2017,0
world,2018,0
world,2019,0
