geo,time,ne_con_prvt_pp_cd
abw,1995,823698675.7084
abw,1996,908788464.57345
abw,1997,935095555.40841
abw,1998,1022879055.64405
abw,1999,1091448516.47464
abw,2000,1121004281.71799
abw,2001,1158265693.97541
abw,2002,1211389923.28888
abw,2003,1277887571.75205
abw,2004,1351377573.41592
abw,2005,1445298849.68985
abw,2006,1547360906.27539
abw,2007,1689003915.9175
abw,2008,1654143094.06782
abw,2009,1576327635.39905
abw,2010,1597347707.80343
abw,2011,1713312460.781
abw,2012,1835597356.82431
abw,2013,1896589354.33995
abw,2014,1932704766.13371
abw,2015,1921032902.20297
abw,2016,1945910612.56345
abw,2017,2061441736.48849
ago,2001,15925528813.9759
ago,2002,20177300730.1857
ago,2003,21515559593.9547
ago,2004,22075541888.8991
ago,2005,23344144320.4161
ago,2006,25257643377.8776
ago,2007,29354420161.478
ago,2008,33425610253.607
ago,2009,36041351907.3112
ago,2010,37475819763.5626
ago,2011,44092330605.0487
ago,2012,55054733024.7821
ago,2013,62296789983.7701
ago,2014,82218473541.65918
ago,2015,94593613320.4566
ago,2016,101193759821.015
ago,2017,108012377130.22701
ago,2018,115308113052.21001
ago,2019,126388466172.114
alb,1991,3681827567.71407
alb,1992,6316459812.24521
alb,1993,6502944863.96712
alb,1994,6543299794.76265
alb,1995,7031236351.87931
alb,1996,8250631064.18942
alb,1997,6535050737.29346
alb,1998,6267780932.15829
alb,1999,6572388128.38403
alb,2000,7228469405.467
alb,2001,7672121958.35981
alb,2002,8444843283.99066
alb,2003,9449836306.95984
alb,2004,10041585975.7356
alb,2005,10916064976.8228
alb,2006,11846895060.7866
alb,2007,13682436940.7484
alb,2008,15575917278.5999
alb,2009,15945080566.748
alb,2010,17060860016.1055
alb,2011,18320221710.228
alb,2012,19292530690.9305
alb,2013,19945191596.1277
alb,2014,20777623537.7251
alb,2015,22035399574.1351
alb,2016,22541739919.0269
alb,2017,23394804142.621
alb,2018,24597616644.7716
alb,2019,25315004916.6949
alb,2020,24604998963.0091
are,2007,253994942619.22296
are,2008,279197029294.59698
are,2009,197170362398.57501
are,2010,183426123413.65497
are,2011,206328508515.61401
are,2012,184988708905.556
are,2013,197349931693
are,2014,197100853271.37799
are,2015,164520401907.30701
are,2016,166151061799.466
are,2017,186365387508.51999
are,2018,208228236567.56601
are,2019,218987538194.23599
arg,2011,442677593164.04999
arg,2012,467254453522.75
arg,2013,484311085617.87097
arg,2014,470755135434.74097
arg,2015,493615148839.85907
arg,2016,500223641196.67999
arg,2017,658274502104.151
arm,1993,3559144208.42919
arm,1994,4706636212.30845
arm,1995,5510097098.70835
arm,1996,5718737924.12938
arm,1997,6430657227.75791
arm,1998,6902778029.74482
arm,1999,6966941829.8186
arm,2000,8065591991.12382
arm,2001,8830635614.73278
arm,2002,9792729660.88962
arm,2003,10662703527.3261
arm,2004,11904145958.1652
