global,time,nv_ind_manf_kd_zg
world,1998,1.42023
world,1999,3.52085
world,2000,6.38286
world,2001,-1.23525
world,2002,1.44283
world,2003,3.66473
world,2004,5.53318
world,2005,3.62985
world,2006,5.55114
world,2007,4.34998
world,2008,-0.29684
world,2009,-9.80377
world,2010,8.53069
world,2011,2.73019
world,2012,0.56727
world,2013,1.75194
world,2014,2.81173
world,2015,2.56593
world,2016,1.4347
world,2017,3.68151
world,2018,3.32534
world,2019,0.88489
