global,time,dc_dac_nldl_cd
world,1960,29600000.38147
world,1961,35360000.61035
world,1962,46069999.69482
world,1963,14000000
world,1964,19299999.23706
world,1965,40290000.91553
world,1967,63480003.35693
world,1968,78739997.86377
world,1969,87389999.38965
world,1970,130339996.33789
world,1971,131429992.67578
world,1972,162190002.44141
world,1973,210550003.05176
world,1974,277220001.2207
world,1975,342869995.11719
world,1976,450070007.32422
world,1977,603159973.14453
world,1978,743409973.14453
world,1979,974539978.02734
world,1980,1135619995.11719
world,1981,1070540039.0625
world,1982,1000440002.44141
world,1983,746469970.70312
world,1984,821909973.14453
world,1985,698010009.76562
world,1986,1123199951.17188
world,1987,1355790039.0625
world,1988,1498390014.64844
world,1989,1451309936.52344
world,1990,1800619995.11719
world,1991,1708500000
world,1992,1839410034.17969
world,1993,1802619995.11719
world,1994,1668950073.24219
world,1995,2283540039.0625
world,1996,2175570068.35938
world,1997,2033949951.17188
world,1998,2070149902.34375
world,1999,2047549926.75781
world,2000,2280689941.40625
world,2001,2271389892.57813
world,2002,2494510009.76563
world,2003,2955530029.29688
world,2004,2711520019.53125
world,2005,3682489990.23438
world,2006,4282120117.1875
world,2007,4643919921.875
world,2008,5199169921.875
world,2009,4797620117.1875
world,2010,4840780273.4375
world,2011,4336340332.03125
world,2012,3857660156.25
world,2013,3647050048.82813
world,2014,4027260009.76563
world,2015,4162979980.46875
world,2016,3157500000
world,2017,3533650146.48438
world,2018,3745659912.10938
world,2019,3422510009.76563
