geo,time,ne_exp_gnfs_kn
ago,2000,84053518000
ago,2001,151929245900
ago,2002,379835000000
ago,2003,374897145000
ago,2004,423971181300
ago,2005,521187773100
ago,2006,595665505900
ago,2007,694307713700
ago,2008,768043192900
ago,2009,747686063000
ago,2010,729899118700
ago,2011,692498348200
ago,2012,728507324000
ago,2013,719955371000
ago,2014,725028409300
ago,2015,618526646400
ago,2016,504745424900
ago,2017,483713000000
ago,2018,489683000000
ago,2019,493707000000
ago,2020,462865000000
alb,1996,40438890403.681
alb,1997,33048910431.7924
alb,1998,44230506409.181
alb,1999,76561585442.2341
alb,2000,106329725308.66499
alb,2001,122764227156.222
alb,2002,127125265299.05299
alb,2003,142092042134.61301
alb,2004,168356138498.98901
alb,2005,209210881342.63501
alb,2006,244624902611.19901
alb,2007,291378105511.21399
alb,2008,277900216022.00598
alb,2009,290993584509.41693
alb,2010,346845670000
alb,2011,369994480000
alb,2012,371080748077.05695
alb,2013,376977204521.06702
alb,2014,381323002595.65399
alb,2015,385019368550.84094
alb,2016,428682864105.08698
alb,2017,485455287298.42896
alb,2018,504998541775.48199
alb,2019,518309243370.00098
alb,2020,385741850000
are,2001,358268111900
are,2002,369555021800
are,2003,454220802100
are,2004,565706502600
are,2005,630662367900
are,2006,703385588600
are,2007,765509063800
are,2008,860701835100
are,2009,823698063600
are,2010,875260000000
are,2011,1015881234200
are,2012,1193193029800
are,2013,1265900203300
are,2014,1288712931200
are,2015,1355606821100
are,2016,1401766298700
are,2017,1366435326100
are,2018,1523588992900
are,2019,1478930303800
arg,1960,11106878956.6402
arg,1961,9925263450.22935
arg,1962,14415300106.7166
arg,1963,14415300106.7166
arg,1964,13233726776.7659
arg,1965,14415300106.7166
arg,1966,16778462432.1603
arg,1967,16778462432.1603
arg,1968,15596896934.9808
arg,1969,18905322001.4428
arg,1970,19132205549.0132
arg,1971,17232196890.7546
arg,1972,17581939161.2477
arg,1973,20039646348.5618
arg,1974,20086887498.6223
arg,1975,18219980332.1627
arg,1976,23962491157.3372
arg,1977,30508509841.8436
arg,1978,33225985161.0178
arg,1979,32162587460.6123
arg,1980,30508509841.8436
arg,1981,32096144171.6116
arg,1982,33362835322.0707
arg,1983,34224465858.179
arg,1984,33337539588.4219
arg,1985,38522868445.7576
arg,1986,34566438421.3534
arg,1987,33362835322.0707
arg,1988,39608213169.2971
arg,1989,42551231627.9704
arg,1990,50215390648.0591
arg,1991,48395512400
arg,1992,47897186500
arg,1993,49805026600
arg,1994,57422988800
arg,1995,70359322800
arg,1996,75739555900
arg,1997,84962695500
arg,1998,93988616600
arg,1999,92804098800
arg,2000,95312028700
arg,2001,97924522600
arg,2002,100953284200
arg,2003,107005805300
arg,2004,115688425400
arg,2005,130596996600
arg,2006,137859761000
arg,2007,149115254900
arg,2008,150218520600
arg,2009,136177435600
arg,2010,155101896200
arg,2011,161536786600
arg,2012,154900352500
arg,2013,149447487800
arg,2014,139017297400
arg,2015,135156268600
arg,2016,142343006000
arg,2017,146065832100
arg,2018,147009411900
arg,2019,160390482900
arg,2020,132599868000
arm,1994,600757275900
arm,1995,311337909100
arm,1996,335803010700
arm,1997,312699370600
arm,1998,312480152200
arm,1999,354174500500
arm,2000,420615802600
arm,2001,535288446400
arm,2002,719532435200
arm,2003,939388698300
arm,2004,915861455700
arm,2005,1065033799200
arm,2006,986870082300
arm,2007,952248411500
arm,2008,827694457700
arm,2009,741319116700
arm,2010,937768460100
arm,2011,1077479799400
arm,2012,1175913800000
arm,2013,1277042386800
arm,2014,1358773099555.19995
arm,2015,1425352981433.40991
arm,2016,1728953166478.71997
arm,2017,2062641127609.11011
arm,2018,2165773183989.57007
arm,2019,2512296893427.8999
arm,2020,1673189731022.97998
asm,2002,973000000
asm,2003,954000000
asm,2004,798000000
asm,2005,839000000
asm,2006,783000000
asm,2007,793000000
asm,2008,790000000
asm,2009,621000000
asm,2010,522000000
asm,2011,461000000
asm,2012,483000000
asm,2013,481000000
asm,2014,503000000
asm,2015,540000000
asm,2016,534000000
asm,2017,417000000
asm,2018,473000000
asm,2019,448000000
asm,2020,493000000
aus,1960,21245000000
aus,1961,22304000000
aus,1962,25326000000
aus,1963,24762000000
aus,1964,28845000000
aus,1965,28769000000
aus,1966,29187000000
aus,1967,32388000000
aus,1968,33943000000
aus,1969,36156000000
aus,1970,42094000000
aus,1971,46165000000
aus,1972,49622000000
aus,1973,50622000000
aus,1974,47562000000
aus,1975,52215000000
aus,1976,54255000000
aus,1977,58131000000
aus,1978,59440000000
aus,1979,63658000000
aus,1980,68156000000
aus,1981,64847000000
aus,1982,66379000000
aus,1983,66724000000
aus,1984,71816000000
aus,1985,82903000000
aus,1986,86040000000
aus,1987,94665000000
aus,1988,102665000000
