geo,time,sl_uem_neet_zs
abw,2010,16.56
afg,2014,9.49
afg,2017,42.01
afg,2020,53.76
ago,2004,30.96
ago,2009,25.81
ago,2011,10.01
ago,2014,27.9
alb,2007,33.77
alb,2008,28.12
alb,2009,30.73
alb,2010,29.5
alb,2011,30.01
alb,2012,27.65
alb,2013,30.98
alb,2014,31.39
alb,2015,29.82
alb,2016,27.39
alb,2017,26.23
alb,2018,26.61
alb,2019,25.82
arg,2004,20.98
arg,2005,19.87
arg,2006,19.51
arg,2008,19.42
arg,2009,20.04
arg,2010,19.46
arg,2011,18.4
arg,2012,18.41
arg,2013,19.07
arg,2014,19.67
arg,2017,19.25
arg,2018,19.02
arg,2019,19.23
arg,2020,22.33
arm,2009,40.52
arm,2011,44.6
arm,2012,36.77
arm,2013,44.37
arm,2014,38.03
arm,2015,35.56
arm,2016,36.58
arm,2017,36.59
arm,2018,31.1
arm,2019,28.38
arm,2020,27.66
aus,2009,11.4
aus,2010,11.32
aus,2011,10.59
aus,2012,9.91
aus,2013,11.02
aus,2014,10.09
aus,2015,9.8
aus,2016,8.69
aus,2017,8.94
aut,2004,9.64
aut,2005,8.62
aut,2006,7.81
aut,2007,7.44
aut,2008,7.38
aut,2009,8.19
aut,2010,7.42
aut,2011,7.28
aut,2012,6.8
aut,2013,7.33
aut,2014,7.7
aut,2015,7.52
aut,2016,7.7
aut,2017,6.54
aut,2018,6.83
aut,2019,7.11
aut,2020,7.95
bdi,2014,3.79
bdi,2017,6.19
bel,2004,8.55
bel,2005,13.02
bel,2006,11.24
bel,2007,11.16
bel,2008,10.14
bel,2009,11.08
bel,2010,10.86
bel,2011,11.81
bel,2012,12.34
bel,2013,12.68
bel,2014,12.05
bel,2015,12.18
bel,2016,9.89
bel,2017,9.32
bel,2018,9.15
bel,2019,9.25
bel,2020,9.21
ben,2011,17.23
ben,2018,35.1
bfa,2018,41
bgd,2005,30.99
bgd,2006,32.26
bgd,2010,30.06
bgd,2013,20.21
bgd,2016,28.88
