global,time,sh_dyn_1519
world,1990,8
world,1991,7.9
world,1992,7.7
world,1993,7.7
world,1994,8.2
world,1995,7.5
world,1996,7.4
world,1997,7.2
world,1998,7.1
world,1999,7
world,2000,6.8
world,2001,6.6
world,2002,6.4
world,2003,6.2
world,2004,6.2
world,2005,6
world,2006,5.8
world,2007,5.7
world,2008,5.7
world,2009,5.6
world,2010,5.7
world,2011,5.5
world,2012,5.4
world,2013,5.4
world,2014,5.3
world,2015,5.2
world,2016,5.1
world,2017,5.1
world,2018,5
world,2019,4.9
world,2020,4.8
