geo,time,dc_dac_ital_cd
afg,1960,9999.99978
afg,1964,29999.99933
afg,1965,59999.99866
afg,1967,59999.99866
afg,1968,9999.99978
afg,1969,9999.99978
afg,1970,9999.99978
afg,1971,9999.99978
afg,1972,50000.00075
afg,1973,29999.99933
afg,1974,29999.99933
afg,1975,90000.00358
afg,1976,100000.00149
afg,1977,70000.0003
afg,1978,59999.99866
afg,1979,70000.0003
afg,1980,9999.99978
afg,1983,200000.00298
afg,1986,689999.99762
afg,1988,1080000.04292
afg,1991,400000.00596
afg,1993,319999.99285
afg,1994,620000.00477
afg,1995,610000.01431
afg,1996,649999.97616
afg,1997,589999.97377
afg,1998,860000.01431
afg,1999,400000.00596
afg,2000,709999.97854
afg,2001,22110000.61035
afg,2002,28340000.15259
afg,2003,38159999.84741
afg,2004,37310001.37329
afg,2005,27389999.38965
afg,2006,32500000
afg,2007,62040000.91553
afg,2008,116709999.08447
afg,2009,67410003.66211
afg,2010,54340000.15259
afg,2011,55270000.45776
afg,2012,47500000
afg,2013,59470001.2207
afg,2014,31600000.38147
afg,2015,103569999.69482
afg,2016,30500000
afg,2017,42970001.2207
afg,2018,95139999.38965
afg,2019,38459999.08447
ago,1965,19999.99955
ago,1975,9999.99978
ago,1976,250000
ago,1977,560000.00238
ago,1978,579999.98331
ago,1979,209999.99344
ago,1980,159999.99642
ago,1981,430000.00715
ago,1982,4159999.84741
ago,1983,17450000.76294
ago,1984,11149999.61853
ago,1985,16309999.46594
ago,1986,31559999.46594
ago,1987,28379999.16077
ago,1988,24340000.15259
ago,1989,18530000.68665
ago,1990,37689998.62671
ago,1991,29969999.31335
ago,1992,46599998.47412
ago,1993,34529998.7793
ago,1994,19149999.61853
ago,1995,11710000.03815
ago,1996,12500000
ago,1997,9180000.30518
ago,1998,11039999.96185
ago,1999,24979999.54224
ago,2000,7230000.01907
ago,2001,11890000.34332
ago,2002,7070000.17166
ago,2003,28069999.69482
ago,2004,8409999.84741
ago,2005,11550000.19073
ago,2006,-31360000.61035
ago,2007,-30600000.38147
ago,2008,32009998.32153
ago,2009,1450000.04768
ago,2010,230000.00417
ago,2011,-600000.02384
ago,2012,1350000.02384
ago,2013,1330000.04292
ago,2014,1669999.95708
ago,2015,1929999.94755
ago,2016,1870000.00477
ago,2017,2599999.90463
ago,2018,3059999.94278
ago,2019,1919999.95708
alb,1988,150000.00596
alb,1989,4670000.07629
alb,1990,5349999.90463
alb,1991,289980010.98633
alb,1992,133470001.2207
alb,1993,41290000.91553
alb,1994,9470000.26703
alb,1995,13359999.65668
alb,1996,27629999.16077
alb,1997,30889999.38965
alb,1998,13739999.77112
alb,1999,73559997.55859
alb,2000,18340000.15259
alb,2001,21659999.84741
alb,2002,24110000.61035
alb,2003,20799999.23706
alb,2004,18250000
alb,2005,8640000.34332
alb,2006,30129999.16077
alb,2007,18360000.61035
alb,2008,33580001.83105
alb,2009,37400001.52588
alb,2010,54799999.23706
alb,2011,40419998.16895
alb,2012,32000000
alb,2013,9489999.77112
alb,2014,14130000.11444
alb,2015,25069999.69482
alb,2016,10220000.26703
alb,2017,7719999.79019
alb,2018,16139999.38965
alb,2019,19100000.38147
are,1967,39999.99911
are,1973,9999.99978
are,1978,9999.99978
are,1981,29999.99933
are,1984,50000.00075
are,1986,50000.00075
arg,1960,-1110000.01431
arg,1961,1559999.94278
arg,1962,4730000.01907
arg,1963,1340000.03338
arg,1964,5550000.19073
arg,1965,-14250000
arg,1966,-24120000.83923
arg,1967,9439999.58038
arg,1968,-8279999.73297
arg,1969,-7050000.19073
arg,1970,-10289999.96185
arg,1971,-1460000.03815
arg,1972,-4059999.94278
arg,1973,529999.97139
arg,1974,509999.99046
arg,1975,850000.02384
arg,1976,709999.97854
arg,1977,529999.97139
arg,1978,620000.00477
arg,1979,839999.97377
arg,1980,970000.02861
arg,1981,1039999.96185
arg,1982,1379999.99523
arg,1983,1470000.02861
arg,1984,2990000.00954
arg,1985,4380000.11444
arg,1986,9369999.88556
arg,1987,9729999.54224
arg,1988,46810001.37329
arg,1989,114589996.33789
arg,1990,81930000.30518
