geo,time,sp_pop_65up_ma_zs
abw,1960,2.03214
abw,1961,2.13376
abw,1962,2.263
abw,1963,2.36056
abw,1964,2.49132
abw,1965,2.64142
abw,1966,2.78928
abw,1967,2.96281
abw,1968,3.13528
abw,1969,3.35746
abw,1970,3.59319
abw,1971,3.94284
abw,1972,4.31359
abw,1973,4.68127
abw,1974,5.04022
abw,1975,5.37197
abw,1976,5.57082
abw,1977,5.74259
abw,1978,5.88336
abw,1979,6.03634
abw,1980,6.15547
abw,1981,6.24386
abw,1982,6.31734
abw,1983,6.37729
abw,1984,6.42073
abw,1985,6.43513
abw,1986,6.47292
abw,1987,6.50278
abw,1988,6.54611
abw,1989,6.57812
abw,1990,6.58534
abw,1991,6.38918
abw,1992,6.24796
abw,1993,6.16444
abw,1994,6.15028
abw,1995,6.18942
abw,1996,6.29415
abw,1997,6.40119
abw,1998,6.51913
abw,1999,6.66033
abw,2000,6.80548
abw,2001,6.98878
abw,2002,7.18683
abw,2003,7.39797
abw,2004,7.61036
abw,2005,7.8257
abw,2006,8.09012
abw,2007,8.34857
abw,2008,8.59843
abw,2009,8.87878
abw,2010,9.20458
abw,2011,9.49474
abw,2012,9.81379
abw,2013,10.16797
abw,2014,10.53719
abw,2015,10.9059
abw,2016,11.32253
abw,2017,11.72026
abw,2018,12.12682
abw,2019,12.54089
abw,2020,12.99712
afg,1960,2.92517
afg,1961,2.93078
afg,1962,2.91621
afg,1963,2.88286
afg,1964,2.83318
afg,1965,2.76847
afg,1966,2.77113
afg,1967,2.76076
afg,1968,2.73534
afg,1969,2.6926
afg,1970,2.63227
afg,1971,2.62581
afg,1972,2.60511
afg,1973,2.57218
afg,1974,2.53006
afg,1975,2.4812
afg,1976,2.48341
afg,1977,2.46939
afg,1978,2.43897
afg,1979,2.39316
afg,1980,2.33335
afg,1981,2.35089
afg,1982,2.34359
afg,1983,2.30754
afg,1984,2.23712
afg,1985,2.12502
afg,1986,2.15072
afg,1987,2.16659
afg,1988,2.16668
afg,1989,2.14145
afg,1990,2.08158
afg,1991,2.0963
afg,1992,2.12092
afg,1993,2.15346
afg,1994,2.19574
afg,1995,2.25313
afg,1996,2.25288
afg,1997,2.23821
afg,1998,2.21439
afg,1999,2.18413
afg,2000,2.14741
afg,2001,2.12431
afg,2002,2.10442
afg,2003,2.08778
afg,2004,2.07527
afg,2005,2.06787
afg,2006,2.09461
afg,2007,2.11635
afg,2008,2.1334
afg,2009,2.1464
afg,2010,2.15628
afg,2011,2.16934
afg,2012,2.18316
afg,2013,2.19782
afg,2014,2.21296
afg,2015,2.2287
afg,2016,2.26647
afg,2017,2.30048
afg,2018,2.33214
afg,2019,2.36316
afg,2020,2.39468
ago,1960,2.7885
ago,1961,2.81707
ago,1962,2.82704
ago,1963,2.8252
ago,1964,2.81639
ago,1965,2.79958
ago,1966,2.81727
ago,1967,2.83679
ago,1968,2.84292
ago,1969,2.82474
ago,1970,2.78521
ago,1971,2.81323
ago,1972,2.81499
ago,1973,2.79926
ago,1974,2.77549
ago,1975,2.74791
ago,1976,2.71036
ago,1977,2.67581
ago,1978,2.64223
ago,1979,2.60639
ago,1980,2.5679
ago,1981,2.55955
ago,1982,2.54343
ago,1983,2.52019
ago,1984,2.49073
ago,1985,2.45566
ago,1986,2.43664
ago,1987,2.41008
ago,1988,2.38083
ago,1989,2.35411
ago,1990,2.33257
ago,1991,2.3377
ago,1992,2.34156
ago,1993,2.34254
ago,1994,2.33927
ago,1995,2.33118
ago,1996,2.34317
ago,1997,2.34792
ago,1998,2.3451
ago,1999,2.33372
ago,2000,2.3137
ago,2001,2.30815
ago,2002,2.2936
ago,2003,2.27131
ago,2004,2.24233
ago,2005,2.2076
ago,2006,2.18975
ago,2007,2.16494
ago,2008,2.13635
ago,2009,2.10745
ago,2010,2.08015
ago,2011,2.07635
ago,2012,2.0717
ago,2013,2.06367
ago,2014,2.04903
ago,2015,2.02761
ago,2016,2.02296
ago,2017,2.01153
ago,2018,1.99722
ago,2019,1.98422
ago,2020,1.97481
alb,1960,4.73367
alb,1961,4.71712
alb,1962,4.73619
alb,1963,4.77204
alb,1964,4.8035
alb,1965,4.8189
alb,1966,4.78896
alb,1967,4.75016
alb,1968,4.71066
alb,1969,4.68211
alb,1970,4.67047
alb,1971,4.66345
alb,1972,4.65896
alb,1973,4.65763
alb,1974,4.66095
alb,1975,4.66874
alb,1976,4.69911
alb,1977,4.73051
alb,1978,4.76216
alb,1979,4.79072
alb,1980,4.81649
alb,1981,4.84522
alb,1982,4.86924
alb,1983,4.88539
alb,1984,4.8877
alb,1985,4.8745
alb,1986,4.86654
alb,1987,4.84051
alb,1988,4.81414
alb,1989,4.8121
alb,1990,4.84948
alb,1991,5.01497
alb,1992,5.20971
alb,1993,5.42533
alb,1994,5.64456
alb,1995,5.85488
alb,1996,6.01239
alb,1997,6.1627
alb,1998,6.31492
alb,1999,6.48098
alb,2000,6.66546
alb,2001,6.94588
alb,2002,7.24224
alb,2003,7.55308
alb,2004,7.8746
alb,2005,8.20509
alb,2006,8.63178
alb,2007,9.06008
alb,2008,9.48653
alb,2009,9.90533
alb,2010,10.31252
alb,2011,10.63807
alb,2012,10.95338
alb,2013,11.2681
alb,2014,11.59701
alb,2015,11.94851
alb,2016,12.25829
alb,2017,12.60156
alb,2018,12.9789
alb,2019,13.39221
alb,2020,13.84427
are,1960,3.14904
are,1961,2.77229
are,1962,2.47449
are,1963,2.2166
are,1964,1.97775
are,1965,1.74914
are,1966,1.55489
are,1967,1.38544
are,1968,1.24977
are,1969,1.15018
are,1970,1.08522
are,1971,0.91648
are,1972,0.89873
are,1973,0.97799
are,1974,1.10814
are,1975,1.25736
are,1976,1.23212
are,1977,1.23186
are,1978,1.24762
are,1979,1.25738
are,1980,1.24476
are,1981,1.22007
are,1982,1.16617
are,1983,1.10332
are,1984,1.05557
are,1985,1.02889
are,1986,1.00084
are,1987,0.99396
are,1988,1.00117
are,1989,1.00934
are,1990,1.01092
are,1991,0.99424
are,1992,0.97403
are,1993,0.95131
are,1994,0.92973
are,1995,0.91114
are,1996,0.91668
are,1997,0.93789
are,1998,0.96344
are,1999,0.9774
are,2000,0.97042
are,2001,0.91404
are,2002,0.86052
are,2003,0.81676
are,2004,0.78754
are,2005,0.77241
are,2006,0.69686
are,2007,0.65324
are,2008,0.63071
are,2009,0.62193
are,2010,0.62199
are,2011,0.68972
are,2012,0.75973
are,2013,0.82362
