geo,time,se_ter_tchr_fe_zs
abw,1999,43.13725
abw,2000,44.5122
abw,2001,41.76471
abw,2002,46.54088
abw,2003,45.56213
abw,2004,46.55172
abw,2005,44.73684
abw,2006,45.7265
abw,2007,50
abw,2008,53.99061
abw,2009,52.38095
abw,2010,53.57143
abw,2011,53.94737
abw,2012,53.20755
abw,2013,53.50877
abw,2014,54.31034
abw,2015,61.62791
abw,2016,53.95683
afg,1970,5.54855
afg,1973,5.45886
afg,1974,6.51731
afg,1979,6.97514
afg,1990,24.06855
afg,2003,11.96682
afg,2004,11.95957
afg,2009,15.52962
afg,2011,20.47759
afg,2014,10.72532
afg,2018,13.18617
afg,2020,13.67865
ago,1999,20.35176
ago,2000,20.41312
ago,2002,20.46693
ago,2011,38.0262
ago,2015,24.65358
alb,1971,14.57883
alb,1978,19.70443
alb,1981,19.9456
alb,1983,22.58065
alb,1984,22.64706
alb,1985,22.17044
alb,1986,23.6376
alb,1987,24.78463
alb,1988,25.23077
alb,1989,25.97951
alb,1991,28.40532
alb,1992,27.09141
alb,1993,29.58333
alb,1994,27.0575
alb,1995,26.99468
alb,1996,27.81885
alb,1998,31.43101
alb,1999,36.56527
alb,2000,38.19232
alb,2011,50.5317
alb,2016,55.2095
alb,2017,56.01902
alb,2018,56.35336
alb,2019,56.62082
alb,2020,56.96412
and,2002,44.44444
and,2003,50
and,2004,47.61905
and,2006,39.50617
and,2008,42.52874
and,2009,61.06195
and,2012,33.75796
and,2013,44.85981
and,2014,45.09804
and,2015,62.72727
and,2016,49.29577
and,2017,54.96689
and,2018,47.1831
and,2019,49.65517
and,2020,50
are,1978,10.71429
are,1979,2.63158
are,1981,7.7821
are,1984,9
are,1985,10.53922
are,1986,10.5618
are,1987,8.12065
are,1988,9.28854
are,1989,9.20502
are,1990,9.35484
are,1991,13.6742
are,1992,14.32532
are,2009,30.501
are,2011,28.82868
are,2012,29.98034
are,2013,31.32996
are,2014,31.89308
are,2015,34.39845
are,2016,36.87121
are,2017,36.03188
are,2019,35.73957
are,2020,37.22783
arg,1970,30.64911
arg,1971,34.5371
arg,1972,35.30063
arg,1973,34.92198
arg,1974,37.4452
arg,1975,39.0784
arg,1976,40.00564
arg,1977,38.28471
arg,1978,40.06419
arg,1979,40.25044
arg,1980,43.31165
arg,1981,43.98052
arg,1982,43.62563
arg,1983,45.86996
arg,1984,46.26343
arg,1985,46.24394
arg,1986,47.29728
arg,1987,50.47446
arg,1998,52.76797
arg,1999,53.97854
arg,2000,54.40424
arg,2001,49.10257
arg,2002,50.1263
arg,2004,50.36258
arg,2006,53.15329
arg,2009,48.56448
arm,2001,51.10406
arm,2002,54.788
arm,2003,53.54407
arm,2004,54.12751
arm,2005,54.04957
arm,2006,53.7778
arm,2007,54.3518
arm,2008,54.71792
arm,2009,55.1722
arm,2010,55.91113
arm,2011,55.31902
arm,2012,55.2939
arm,2013,56.47226
arm,2014,57.41287
arm,2015,58.46625
arm,2016,57.99948
arm,2017,58.03123
arm,2018,58.29521
arm,2019,59.4643
arm,2020,60.74582
asm,2007,43.80952
atg,2009,47.61905
atg,2010,61.84971
atg,2011,63.00578
atg,2012,54.3379
aus,1985,22.5694
aus,1988,28.31212
aus,1989,29.33845
aus,1990,33.07576
aus,1991,33.28102
aus,1992,31.43357
aut,1971,11.91977
aut,1972,11.47799
aut,1973,12.21789
aut,1974,11.61622
aut,1975,13.43568
aut,1981,14.67414
aut,1985,18.34266
aut,1994,24.70079
aut,1995,25.1576
aut,1996,26.11141
aut,1997,26.97678
aut,2007,32.05639
aut,2008,32.4512
aut,2009,33.06034
aut,2010,37.66479
aut,2012,39.8029
aut,2013,42.10128
aut,2014,42.55496
aut,2015,42.68943
aut,2016,42.1188
aut,2017,42.34026
aut,2019,42.84181
aze,2006,49.60453
aze,2007,50.0909
aze,2008,53.86273
aze,2009,51.92754
aze,2010,52.37929
aze,2011,52.80429
aze,2012,53.74694
aze,2013,54.02979
aze,2014,55.88704
aze,2015,56.32638
aze,2016,60.06101
aze,2017,59.07942
aze,2018,59.14351
aze,2019,56.16298
bdi,1971,6.86275
bdi,1979,8.46774
bdi,1980,11.25541
bdi,1986,6.63812
bdi,1991,8.25688
bdi,1992,11.13173
bdi,1993,10.97122
bdi,2001,9.46746
bdi,2003,14.37908
bdi,2004,14.49925
bdi,2005,14.46242
bdi,2010,12.05157
bdi,2012,12.25948
bdi,2013,12.25948
bdi,2014,12.2916
bdi,2015,11.42857
bdi,2016,20.67271
bdi,2017,12.54009
bdi,2018,14.40972
bel,1987,30.58811
bel,1989,31.36423
bel,1990,31.73991
bel,1991,32.50053
bel,1993,34.98357
bel,1994,35.82488
bel,2005,40.65725
bel,2008,42.47718
bel,2009,42.94259
bel,2010,44.96064
bel,2011,45.47972
bel,2012,45.96486
bel,2013,46.8774
bel,2014,48.16796
bel,2015,48.57632
bel,2016,48.26863
bel,2017,48.53391
bel,2018,48.35904
bel,2019,48.85472
ben,1971,12.12121
ben,1972,13.46154
ben,1973,10
