global,time,sh_sta_smss_ur_zs
world,2000,44.68913
world,2001,44.77461
world,2002,44.84977
world,2003,45.59568
world,2004,46.40707
world,2005,46.98067
world,2006,47.80671
world,2007,48.70001
world,2008,49.61685
world,2009,50.5781
world,2010,51.57028
world,2011,52.56048
world,2012,53.60682
world,2013,54.66779
world,2014,55.74355
world,2015,56.83386
world,2016,57.93825
world,2017,59.05382
world,2018,60.13274
world,2019,61.1738
world,2020,61.50917
