geo,time,sl_ind_empl_zs
afg,1991,12.43
afg,1992,12.21
afg,1993,11.57
afg,1994,11.48
afg,1995,11.51
afg,1996,11.08
afg,1997,10.69
afg,1998,10.33
afg,1999,9.95
afg,2000,9.48
afg,2001,8.98
afg,2002,9.99
afg,2003,10.35
afg,2004,10.61
afg,2005,11.33
afg,2006,11.79
afg,2007,12.2
afg,2008,12.48
afg,2009,13.63
afg,2010,14.66
afg,2011,14.75
afg,2012,15.77
afg,2013,16.33
afg,2014,16.77
afg,2015,17.17
afg,2016,17.32
afg,2017,18.03
afg,2018,18.46
afg,2019,18.55
ago,1991,8.88
ago,1992,8.76
ago,1993,8.65
ago,1994,8.56
ago,1995,8.49
ago,1996,8.46
ago,1997,8.46
ago,1998,8.5
ago,1999,8.5
ago,2000,8.57
ago,2001,8.67
ago,2002,8.79
ago,2003,8.93
ago,2004,9.1
ago,2005,8.84
ago,2006,8.58
ago,2007,8.32
ago,2008,8.01
ago,2009,7.75
ago,2010,7.85
ago,2011,7.96
ago,2012,7.94
ago,2013,7.86
ago,2014,7.73
ago,2015,7.57
ago,2016,7.39
ago,2017,7.19
ago,2018,6.99
ago,2019,6.8
alb,1991,11.58
alb,1992,11.45
alb,1993,11.63
alb,1994,11.79
alb,1995,12.03
alb,1996,11.73
alb,1997,11.63
alb,1998,11.72
alb,1999,12.17
alb,2000,12.81
alb,2001,13.67
alb,2002,14.46
alb,2003,14.81
alb,2004,15.23
alb,2005,15.76
alb,2006,16.48
alb,2007,16.95
alb,2008,17.78
alb,2009,19.94
alb,2010,20.59
alb,2011,18.87
alb,2012,17.28
alb,2013,16.88
alb,2014,17.74
alb,2015,18.67
alb,2016,19.38
alb,2017,19.38
alb,2018,19.75
alb,2019,20.15
are,1991,33.33
are,1992,33.36
are,1993,33.47
are,1994,33.49
are,1995,33.63
are,1996,33.65
are,1997,33.73
are,1998,33.64
are,1999,33.43
are,2000,33.38
are,2001,33.44
are,2002,33.42
are,2003,33.84
are,2004,34.19
are,2005,34.54
are,2006,35.2
are,2007,35.73
are,2008,35.95
are,2009,35.86
are,2010,35.48
are,2011,35.12
are,2012,34.94
are,2013,34.74
are,2014,34.8
are,2015,34.99
are,2016,34.87
are,2017,34.61
are,2018,34.6
are,2019,34.22
arg,1991,32.9
arg,1992,32.35
arg,1993,29.72
arg,1994,28.6
arg,1995,27.09
arg,1996,25
arg,1997,25.56
arg,1998,24.9
arg,1999,23.68
arg,2000,22.78
arg,2001,22.02
arg,2002,20.22
arg,2003,21.79
arg,2004,22.69
arg,2005,23.26
arg,2006,23.67
arg,2007,23.93
arg,2008,24.02
arg,2009,23.19
arg,2010,23.34
arg,2011,23.97
arg,2012,23.66
arg,2013,23.95
arg,2014,24.16
arg,2015,23.66
arg,2016,22.88
arg,2017,22.44
arg,2018,21.91
arg,2019,21.84
arm,1991,16.9
arm,1992,16.43
arm,1993,16.08
arm,1994,15.87
arm,1995,15.69
arm,1996,15.55
arm,1997,15.44
arm,1998,15.41
arm,1999,15.42
arm,2000,15.56
arm,2001,15.82
arm,2002,16.27
arm,2003,16.8
arm,2004,17.27
arm,2005,17.87
arm,2006,18.49
arm,2007,18.97
arm,2008,18.19
arm,2009,17.08
arm,2010,17.41
arm,2011,16.68
arm,2012,17.68
arm,2013,17
arm,2014,16.73
arm,2015,15.91
arm,2016,15.78
arm,2017,16.71
arm,2018,22.79
arm,2019,24.75
aus,1991,23.51
aus,1992,23.29
aus,1993,23.3
aus,1994,23.17
aus,1995,22.63
aus,1996,22.13
aus,1997,21.85
aus,1998,21.51
aus,1999,21.16
aus,2000,21.62
aus,2001,20.74
aus,2002,20.92
aus,2003,20.88
aus,2004,21.24
aus,2005,21.13
aus,2006,21.28
aus,2007,21.18
aus,2008,21.62
aus,2009,21.14
aus,2010,20.98
aus,2011,20.83
aus,2012,20.71
aus,2013,20.45
aus,2014,20.29
aus,2015,19.39
aus,2016,19.36
aus,2017,19.43
aus,2018,19.89
aus,2019,19.06
aut,1991,33.84
aut,1992,33.43
aut,1993,32.83
aut,1994,32.47
aut,1995,32.1
aut,1996,30.3
aut,1997,29.64
aut,1998,29.56
aut,1999,29.76
aut,2000,30.03
aut,2001,29.37
aut,2002,28.85
aut,2003,28.92
aut,2004,26.73
aut,2005,27.58
aut,2006,28.16
aut,2007,27.32
aut,2008,26.24
aut,2009,24.97
aut,2010,24.91
aut,2011,26.03
aut,2012,26.08
aut,2013,25.91
aut,2014,25.75
aut,2015,25.76
aut,2016,25.56
aut,2017,24.92
aut,2018,25.44
aut,2019,25.36
aze,1991,13.75
aze,1992,13.25
aze,1993,12.66
aze,1994,12.14
aze,1995,11.67
aze,1996,11.45
aze,1997,11.21
aze,1998,11.12
aze,1999,11.18
aze,2000,10.88
aze,2001,10.82
aze,2002,11.53
aze,2003,11.71
aze,2004,11.9
aze,2005,12.08
aze,2006,12.35
aze,2007,12.63
aze,2008,12.13
aze,2009,12.66
aze,2010,13.72
aze,2011,14.08
aze,2012,14.29
aze,2013,14.38
aze,2014,14.3
aze,2015,14.06
aze,2016,14.33
aze,2017,14.37
aze,2018,14.72
aze,2019,14.79
bdi,1991,2.53
bdi,1992,2.49
bdi,1993,2.45
bdi,1994,2.4
bdi,1995,2.33
bdi,1996,2.26
bdi,1997,2.22
bdi,1998,2.2
bdi,1999,2.23
bdi,2000,2.26
bdi,2001,2.3
bdi,2002,2.35
bdi,2003,2.41
bdi,2004,2.44
bdi,2005,2.54
bdi,2006,2.61
bdi,2007,2.71
bdi,2008,2.8
bdi,2009,2.91
bdi,2010,3.02
bdi,2011,3.13
bdi,2012,3.25
bdi,2013,3.37
bdi,2014,3.5
bdi,2015,3.48
bdi,2016,3.48
bdi,2017,3.47
bdi,2018,3.41
bdi,2019,3.35
bel,1991,31.21
bel,1992,30.63
bel,1993,29.46
bel,1994,28.88
bel,1995,28.25
bel,1996,27.63
bel,1997,27.55
bel,1998,27.25
bel,1999,25.77
bel,2000,25.81
bel,2001,25.49
bel,2002,25.78
bel,2003,24.92
bel,2004,24.94
bel,2005,24.69
bel,2006,24.69
bel,2007,24.43
bel,2008,24.67
bel,2009,23.47
bel,2010,23.38
bel,2011,23.23
bel,2012,21.76
bel,2013,21.7
bel,2014,21.39
bel,2015,21.43
bel,2016,21.26
bel,2017,20.76
bel,2018,21.06
bel,2019,20.84
ben,1991,20.12
ben,1992,20.09
ben,1993,20.01
ben,1994,20.4
ben,1995,20.28
ben,1996,20.24
ben,1997,20.18
ben,1998,20.06
ben,1999,20.01
ben,2000,19.91
ben,2001,19.8
ben,2002,19.71
ben,2003,19.6
ben,2004,19.44
ben,2005,19.37
ben,2006,19.24
ben,2007,19.05
ben,2008,18.86
ben,2009,18.76
ben,2010,18.65
ben,2011,18.55
ben,2012,18.46
ben,2013,18.44
ben,2014,18.39
ben,2015,18.43
ben,2016,18.28
ben,2017,18.28
ben,2018,18.28
ben,2019,18.31
bfa,1991,3.16
bfa,1992,3.21
bfa,1993,3.25
bfa,1994,3.33
bfa,1995,3.68
bfa,1996,4.07
bfa,1997,4.55
bfa,1998,5.07
bfa,1999,5.68
bfa,2000,6.34
bfa,2001,7.11
bfa,2002,8
bfa,2003,9.05
bfa,2004,10.2
bfa,2005,11.49
bfa,2006,13.02
bfa,2007,14.69
bfa,2008,16.49
bfa,2009,18.54
bfa,2010,20.78
bfa,2011,23.23
bfa,2012,25.83
bfa,2013,28.63
bfa,2014,31.55
bfa,2015,29.85
bfa,2016,28.21
bfa,2017,26.67
bfa,2018,25.25
bfa,2019,25.16
bgd,1991,13.58
bgd,1992,12.71
bgd,1993,11.88
bgd,1994,11.07
bgd,1995,10.4
bgd,1996,9.78
bgd,1997,9.94
bgd,1998,10.16
bgd,1999,10.4
bgd,2000,10.7
bgd,2001,11.21
bgd,2002,11.72
bgd,2003,12.31
bgd,2004,12.98
bgd,2005,13.79
bgd,2006,14.52
bgd,2007,15.29
bgd,2008,16.04
bgd,2009,16.79
bgd,2010,17.63
bgd,2011,18.08
bgd,2012,18.56
bgd,2013,19.02
bgd,2014,19.45
bgd,2015,19.96
bgd,2016,20.46
bgd,2017,20.42
bgd,2018,20.84
bgd,2019,21.32
bgr,1991,41.12
bgr,1992,40.19
bgr,1993,39.17
bgr,1994,38.38
bgr,1995,37.5
bgr,1996,37.01
bgr,1997,35.36
bgr,1998,35.12
bgr,1999,33.79
bgr,2000,32.83
bgr,2001,32.77
bgr,2002,32.66
bgr,2003,32.13
bgr,2004,32.92
bgr,2005,34.24
bgr,2006,34.47
bgr,2007,35.5
bgr,2008,36.43
bgr,2009,35.24
bgr,2010,32.98
bgr,2011,31.46
bgr,2012,31.32
bgr,2013,30.19
bgr,2014,30.12
bgr,2015,29.9
bgr,2016,29.79
bgr,2017,29.9
bgr,2018,30.11
bgr,2019,30.02
bhr,1991,28.53
bhr,1992,28.45
bhr,1993,28.79
bhr,1994,28.61
bhr,1995,28.47
bhr,1996,28.33
bhr,1997,28.22
bhr,1998,28.03
bhr,1999,28
bhr,2000,28.47
bhr,2001,28.57
bhr,2002,28.66
bhr,2003,29.06
bhr,2004,29.98
bhr,2005,31.01
bhr,2006,32.24
bhr,2007,33.4
bhr,2008,34.55
bhr,2009,34.51
bhr,2010,35.72
bhr,2011,35.21
bhr,2012,34.97
bhr,2013,35.1
bhr,2014,35.23
bhr,2015,35.16
bhr,2016,35.36
bhr,2017,35.48
bhr,2018,35.4
bhr,2019,35.25
bhs,1991,15.33
bhs,1992,15.3
bhs,1993,12.25
bhs,1994,12.91
bhs,1995,14.24
bhs,1996,14.8
bhs,1997,14.65
bhs,1998,15.3
bhs,1999,16.72
bhs,2000,17.01
bhs,2001,17.05
bhs,2002,16.69
bhs,2003,15.85
bhs,2004,16.08
bhs,2005,17.82
bhs,2006,18.31
bhs,2007,17.95
bhs,2008,16.25
bhs,2009,16.06
bhs,2010,16.12
bhs,2011,15.97
bhs,2012,15.96
bhs,2013,15.52
bhs,2014,15.38
bhs,2015,14.94
bhs,2016,14.87
bhs,2017,14.84
bhs,2018,14.59
bhs,2019,14.48
bih,1991,27.61
bih,1992,27.52
bih,1993,27.49
bih,1994,27.64
bih,1995,27.92
bih,1996,28.66
bih,1997,29.19
bih,1998,29.72
bih,1999,29.73
bih,2000,29.88
bih,2001,29.75
bih,2002,29.84
bih,2003,29.93
bih,2004,30
bih,2005,30.35
bih,2006,30.77
bih,2007,32.59
bih,2008,32.47
bih,2009,31.49
bih,2010,30.87
bih,2011,28.89
bih,2012,30.36
bih,2013,29.82
bih,2014,30
bih,2015,30.63
bih,2016,31.28
bih,2017,31.7
bih,2018,32.13
bih,2019,31.71
blr,1991,36.88
blr,1992,36.46
blr,1993,35.9
blr,1994,35.3
blr,1995,34.74
blr,1996,34.23
blr,1997,33.79
blr,1998,33.36
blr,1999,32.91
blr,2000,32.57
blr,2001,32.15
blr,2002,31.9
blr,2003,31.73
blr,2004,31.69
blr,2005,31.67
blr,2006,31.76
blr,2007,31.84
blr,2008,32
blr,2009,31.97
blr,2010,32.01
blr,2011,31.97
blr,2012,31.8
blr,2013,31.65
blr,2014,31.49
blr,2015,31.07
blr,2016,31.53
blr,2017,30.77
blr,2018,30.63
blr,2019,30.38
blz,1991,20.11
blz,1992,19.93
blz,1993,19.97
blz,1994,19.53
blz,1995,17.81
blz,1996,16.96
blz,1997,18.25
blz,1998,17.99
blz,1999,16.98
blz,2000,17.39
blz,2001,17.44
blz,2002,17.52
blz,2003,17.6
blz,2004,17.74
blz,2005,17.88
blz,2006,17.65
blz,2007,17.29
blz,2008,17.14
blz,2009,16.74
blz,2010,16.41
blz,2011,16.18
blz,2012,15.96
blz,2013,15.77
blz,2014,15.61
blz,2015,15.42
blz,2016,15.71
blz,2017,15.7
blz,2018,15.59
blz,2019,15.59
bol,1991,19.16
bol,1992,19.09
bol,1993,19.04
bol,1994,18.99
bol,1995,18.99
bol,1996,18.88
bol,1997,18.64
bol,1998,18.85
bol,1999,18.91
bol,2000,18.62
bol,2001,15.69
bol,2002,17.75
bol,2003,20.51
bol,2004,20.51
bol,2005,19.39
bol,2006,17.46
bol,2007,19.67
bol,2008,20.1
bol,2009,20.71
bol,2010,20.74
bol,2011,20.94
bol,2012,20.6
bol,2013,19.83
bol,2014,20.63
bol,2015,22.53
bol,2016,20.79
bol,2017,20.03
bol,2018,19.48
bol,2019,19.41
bra,1991,23.42
bra,1992,23.05
bra,1993,22.98
bra,1994,23.03
bra,1995,22.77
bra,1996,22.85
bra,1997,22.89
bra,1998,22.8
bra,1999,22.06
bra,2000,21.84
bra,2001,21.57
bra,2002,22.02
bra,2003,21.49
bra,2004,21.62
bra,2005,21.96
bra,2006,21.93
bra,2007,22.49
bra,2008,23.24
bra,2009,22.7
bra,2010,22.56
bra,2011,22.31
bra,2012,23.02
bra,2013,22.95
bra,2014,22.89
bra,2015,22.17
bra,2016,20.89
bra,2017,20.48
bra,2018,20.13
bra,2019,19.99
brb,1991,20.12
brb,1992,19.67
brb,1993,19.07
brb,1994,18.86
brb,1995,19.57
brb,1996,18.57
brb,1997,19.72
brb,1998,20.87
brb,1999,21.41
brb,2000,20.62
brb,2001,19.63
brb,2002,18.74
brb,2003,17.61
brb,2004,17.37
brb,2005,17.07
brb,2006,16.65
brb,2007,17.17
brb,2008,17.62
brb,2009,17.92
brb,2010,18.84
brb,2011,18.55
brb,2012,18.53
brb,2013,18.96
brb,2014,19.43
brb,2015,19.36
brb,2016,19.32
brb,2017,19.34
brb,2018,19.17
brb,2019,18.93
brn,1991,24.15
brn,1992,24.39
brn,1993,24.63
brn,1994,24.51
brn,1995,24.93
brn,1996,24.43
brn,1997,24.17
brn,1998,24.4
brn,1999,23.16
brn,2000,22.51
brn,2001,22.67
brn,2002,22.15
brn,2003,21.57
brn,2004,21.15
brn,2005,20.53
brn,2006,20.18
brn,2007,20.32
brn,2008,19.6
brn,2009,19.97
brn,2010,19.52
brn,2011,18.96
brn,2012,18.78
brn,2013,18.81
brn,2014,18.63
brn,2015,17.92
brn,2016,16.98
brn,2017,16.13
brn,2018,19.4
brn,2019,20.76
btn,1991,5.85
btn,1992,5.9
btn,1993,5.91
btn,1994,5.96
btn,1995,6.02
btn,1996,6.08
btn,1997,6.12
btn,1998,6.18
btn,1999,6.35
btn,2000,6.62
btn,2001,6.95
btn,2002,7.27
btn,2003,7.38
btn,2004,7.54
btn,2005,7.64
btn,2006,7.55
btn,2007,7.25
btn,2008,6.83
btn,2009,6.67
btn,2010,6.63
btn,2011,9.2
btn,2012,9.91
btn,2013,10.96
btn,2014,10.83
btn,2015,9.65
btn,2016,9.94
btn,2017,10.21
btn,2018,10.22
btn,2019,10.15
bwa,1991,25.46
bwa,1992,25.6
bwa,1993,25.65
bwa,1994,25.8
bwa,1995,25.97
bwa,1996,25.79
bwa,1997,23.83
