global,time,nv_srv_empl_kd
world,1991,18155.64755
world,1992,17972.99636
world,1993,17637.601
world,1994,20065.41856
world,1995,20640.73994
world,1996,20582.40978
world,1997,29246.08737
world,1998,29554.14689
world,1999,29915.00868
world,2000,30339.07917
world,2001,30573.16494
world,2002,30476.57618
world,2003,30509.23471
world,2004,30569.02021
world,2005,31005.95817
world,2006,31147.34195
world,2007,31682.01385
world,2008,31624.58904
world,2009,31026.78751
world,2010,31347.84292
world,2011,31564.36845
world,2012,31780.96013
world,2013,31700.20438
world,2014,31712.8472
world,2015,32048.39588
world,2016,31978.73353
world,2017,32172.42541
world,2018,32465.21151
world,2019,32675.66456
