geo,time,sl_fam_work_fe_zs
afg,1991,87.03
afg,1992,87.14
afg,1993,87.51
afg,1994,87.91
afg,1995,87.74
afg,1996,88.07
afg,1997,88.42
afg,1998,88.73
afg,1999,89.06
afg,2000,89.44
afg,2001,89.8
afg,2002,89.03
afg,2003,88.81
afg,2004,88.85
afg,2005,88.48
afg,2006,88.32
afg,2007,87.85
afg,2008,87.75
afg,2009,86.25
afg,2010,84.78
afg,2011,83.47
afg,2012,81.49
afg,2013,79.27
afg,2014,77.13
afg,2015,74.8
afg,2016,72.04
afg,2017,68.61
afg,2018,68.16
afg,2019,67.43
ago,1991,9.69
ago,1992,8.34
ago,1993,8.23
ago,1994,6.23
ago,1995,6.16
ago,1996,5.71
ago,1997,6.4
ago,1998,7.11
ago,1999,4.39
ago,2000,4.35
ago,2001,5.32
ago,2002,6.92
ago,2003,7.7
ago,2004,6.97
ago,2005,6.15
ago,2006,7.03
ago,2007,6.7
ago,2008,7.18
ago,2009,13.97
ago,2010,11.51
ago,2011,12.13
ago,2012,11.63
ago,2013,12.69
ago,2014,14.4
ago,2015,15.45
ago,2016,14.49
ago,2017,14.04
ago,2018,13.53
ago,2019,11.95
alb,1991,45.4
alb,1992,49.23
alb,1993,49.41
alb,1994,49.09
alb,1995,47.53
alb,1996,46.4
alb,1997,51.61
alb,1998,50.51
alb,1999,47.81
alb,2000,45.95
alb,2001,42.8
alb,2002,41.64
alb,2003,40.02
alb,2004,38.69
alb,2005,38.35
alb,2006,36.37
alb,2007,35.53
alb,2008,49.83
alb,2009,45.34
alb,2010,44.1
alb,2011,43.69
alb,2012,50.44
alb,2013,45.67
alb,2014,41.7
alb,2015,39.98
alb,2016,31.27
alb,2017,30.25
alb,2018,29.04
alb,2019,29.44
are,1991,0
are,1992,0
are,1993,0
are,1994,0
are,1995,0
are,1996,0
are,1997,0
are,1998,0
are,1999,0
are,2000,0
are,2001,0
are,2002,0
are,2003,0
are,2004,0
are,2005,0
are,2006,0
are,2007,0
are,2008,0
are,2009,0.01
are,2010,0.01
are,2011,0.01
are,2012,0.01
are,2013,0.02
are,2014,0.02
are,2015,0.02
are,2016,0.02
are,2017,0.16
are,2018,1.61
are,2019,3.72
arg,1991,1.81
arg,1992,2.02
arg,1993,2.11
arg,1994,2.56
arg,1995,2.08
arg,1996,2.75
arg,1997,2.35
arg,1998,2.13
arg,1999,2.02
arg,2000,1.83
arg,2001,1.75
arg,2002,1.57
arg,2003,2.44
arg,2004,2.02
arg,2005,1.69
arg,2006,1.61
arg,2007,1.45
arg,2008,1.21
arg,2009,1.17
arg,2010,1.25
arg,2011,1.18
arg,2012,0.85
arg,2013,0.79
arg,2014,0.95
arg,2015,0.96
arg,2016,0.97
arg,2017,0.98
arg,2018,0.79
arg,2019,0.82
arm,1991,32.26
arm,1992,32.35
arm,1993,31.75
arm,1994,31.79
arm,1995,31.38
arm,1996,31.58
arm,1997,31.7
arm,1998,31.22
arm,1999,31.32
arm,2000,31.48
arm,2001,30.56
arm,2002,30.31
arm,2003,30.05
arm,2004,29.19
arm,2005,28.95
arm,2006,27.94
arm,2007,26.72
arm,2008,25.97
arm,2009,24.96
arm,2010,22.24
arm,2011,19.06
arm,2012,18.92
arm,2013,18.79
arm,2014,10.11
arm,2015,10.65
arm,2016,8.79
arm,2017,3.38
arm,2018,2.09
arm,2019,1.95
aus,1991,1.28
aus,1992,1.4
aus,1993,1.45
aus,1994,1.44
aus,1995,1.34
aus,1996,1.33
aus,1997,1.31
aus,1998,1.1
aus,1999,1.22
aus,2000,1.17
aus,2001,0.72
aus,2002,0.58
aus,2003,0.55
aus,2004,0.53
aus,2005,0.45
aus,2006,0.41
aus,2007,0.35
aus,2008,0.32
aus,2009,0.31
aus,2010,0.32
aus,2011,0.28
aus,2012,0.27
aus,2013,0.25
aus,2014,0.27
aus,2015,0.27
aus,2016,0.26
aus,2017,0.23
aus,2018,0.23
aus,2019,0.2
aut,1991,6.5
aut,1992,6.24
aut,1993,6.02
aut,1994,5.62
aut,1995,5.33
aut,1996,5.46
aut,1997,4.9
aut,1998,4.39
aut,1999,4.34
aut,2000,4.14
aut,2001,3.91
aut,2002,3.78
aut,2003,3.18
aut,2004,1.63
aut,2005,1.87
aut,2006,1.99
aut,2007,2.84
aut,2008,2.66
aut,2009,2.57
aut,2010,2.43
aut,2011,2.19
aut,2012,2.06
aut,2013,1.97
aut,2014,2.06
aut,2015,1.73
aut,2016,1.64
aut,2017,1.67
aut,2018,1.29
aut,2019,1.12
aze,1991,41.88
aze,1992,42.2
aze,1993,41.55
aze,1994,42.06
aze,1995,42.72
aze,1996,42.71
aze,1997,42.55
aze,1998,42.13
aze,1999,41.77
aze,2000,41.48
aze,2001,41.7
aze,2002,41.8
aze,2003,41.85
aze,2004,41.84
aze,2005,42.11
aze,2006,42.26
aze,2007,41.88
aze,2008,42.08
aze,2009,42.15
aze,2010,42.42
aze,2011,41.48
aze,2012,42.51
aze,2013,41.8
aze,2014,41.99
aze,2015,42.51
aze,2016,41.33
aze,2017,41.33
aze,2018,43.26
aze,2019,42.51
bdi,1991,32.87
bdi,1992,33.22
bdi,1993,33.36
bdi,1994,33.04
bdi,1995,34.66
bdi,1996,36.74
bdi,1997,36.33
bdi,1998,36.36
bdi,1999,36.01
bdi,2000,35.28
bdi,2001,35.18
bdi,2002,35.27
bdi,2003,33.98
bdi,2004,37.92
bdi,2005,35.62
bdi,2006,36.72
bdi,2007,35.46
bdi,2008,36.64
bdi,2009,35
bdi,2010,36.23
bdi,2011,36.35
bdi,2012,35.26
bdi,2013,35.09
bdi,2014,34.93
bdi,2015,34.8
bdi,2016,33.36
bdi,2017,33.85
bdi,2018,33.93
bdi,2019,34.01
bel,1991,5.14
bel,1992,5.94
bel,1993,5.46
bel,1994,5.07
bel,1995,5.41
bel,1996,5.37
bel,1997,4.99
bel,1998,4.15
bel,1999,5.27
bel,2000,4.19
bel,2001,3.96
bel,2002,3.76
bel,2003,3.25
bel,2004,3.27
bel,2005,3.41
bel,2006,2.96
bel,2007,2.49
bel,2008,2.19
bel,2009,2.21
bel,2010,1.82
bel,2011,1.86
bel,2012,1.37
bel,2013,1.48
bel,2014,1.48
bel,2015,1.36
bel,2016,1.2
bel,2017,1.09
bel,2018,1.27
bel,2019,1.14
ben,1991,28.79
ben,1992,28.54
ben,1993,28.48
ben,1994,22.49
ben,1995,22.91
ben,1996,22.62
ben,1997,22.27
ben,1998,22.63
ben,1999,21.78
ben,2000,21.61
ben,2001,20.54
ben,2002,20.27
ben,2003,19.95
ben,2004,20.59
ben,2005,20.04
ben,2006,20.4
ben,2007,20.99
ben,2008,22.03
ben,2009,21.63
ben,2010,21.08
ben,2011,21.21
ben,2012,21.51
ben,2013,21.01
ben,2014,20.28
ben,2015,18.91
ben,2016,19.62
ben,2017,18.25
ben,2018,17.87
ben,2019,16.36
bfa,1991,73.5
bfa,1992,73.36
bfa,1993,73.65
bfa,1994,73.65
