geo,time,ne_imp_gnfs_cd
abw,1995,1141899441.34078
abw,1996,1224022346.36872
abw,1997,1321229050.27933
abw,1998,1392737430.1676
abw,1999,1458100558.65922
abw,2000,1324022346.36872
abw,2001,1316201117.31844
abw,2002,1346927374.30168
abw,2003,1432402234.63687
abw,2004,1527932960.89385
abw,2005,1816759776.53631
abw,2006,1893854748.60335
abw,2007,2008379888.26816
abw,2008,2146368715.0838
abw,2009,1906145251.39665
abw,2010,1854189944.13408
abw,2011,2136312849.16201
abw,2012,2089385474.86034
abw,2013,2328027932.96089
abw,2014,2361242028.97041
abw,2015,2162351876.27325
abw,2016,2101055845.11617
abw,2017,2203528844.71749
abw,2018,2389678248.48232
afg,1960,37777780
afg,1961,44444446.66667
afg,1962,51111111.11111
afg,1963,126666717.77778
afg,1964,144444451.11111
afg,1965,215555548.88889
afg,1966,259999993.33333
afg,1967,237777784.44444
afg,1968,208888900
afg,1969,211111117.77778
afg,1970,208888900
afg,1971,295555548.88889
afg,1972,288888877.77778
afg,1973,255555562.22222
afg,1974,320000000
afg,1975,337777777.77778
afg,1976,380000006.66667
afg,1977,437777795.55556
afg,1978,457777788.88889
ago,2000,5739005248.74259
ago,2001,6697298360.22468
ago,2002,7370216539.32213
ago,2003,8831519590.16866
ago,2004,10645428494.1358
ago,2005,15181994765.8936
ago,2006,16320505275.1029
ago,2007,26207276865.8555
ago,2008,43286243193.0314
ago,2009,44777816509.1355
ago,2010,35682259098.1843
ago,2011,43947386910.9212
ago,2012,45919711316.8811
ago,2013,49304202033.1896
ago,2014,50471640780.8965
ago,2015,38499512246.7219
ago,2016,25529394463.6446
ago,2017,28397112166.3975
ago,2018,25887460713.7589
ago,2019,22304897296.189
ago,2020,16998681213.3252
alb,1984,372867136.18296
alb,1985,362610725.83534
alb,1986,336224987.5
alb,1987,335624987.5
alb,1988,408575012.5
alb,1989,483800000
alb,1990,487500000
alb,1991,314316659.72222
alb,1992,627952433.94529
alb,1993,764996711.81874
alb,1994,773426393.922
alb,1995,836744255.23881
alb,1996,1064684221.5564
alb,1997,795638991.13838
alb,1998,933614580.57687
alb,1999,1097558435.916
alb,2000,1508343772.56819
alb,2001,1771127105.66616
alb,2002,2068787044.40985
alb,2003,2591005963.89867
alb,2004,3220867804.41529
alb,2005,3853670510.65232
alb,2006,4364189416.47282
alb,2007,5867639633.34325
alb,2008,6717539984.69508
alb,2009,6004539467.51935
alb,2010,5792185435.94322
alb,2011,6700236778.93431
alb,2012,5860877558.83022
alb,2013,5999380803.48862
alb,2014,6243003602.57869
alb,2015,5070976018.90098
alb,2016,5436220794.65131
alb,2017,6070360621.32662
alb,2018,6856192656.30267
alb,2019,6926961751.75784
alb,2020,5636282466.63599
are,2001,42053369639.2104
are,2002,47845064669.8434
are,2003,57668073519.401
are,2004,78428046289.99318
are,2005,93862491490.81009
are,2006,112930428863.172
are,2007,166134240980.259
are,2008,219714363512.59399
are,2009,187139823008.85001
are,2010,178610755616.065
are,2011,215973042886.31696
are,2012,239748672566.37201
are,2013,252509462219.19696
are,2014,277888359428.18201
are,2015,266276378488.76801
are,2016,270442477876.10599
are,2017,290782845473.11102
are,2018,281535738597.68494
are,2019,295599807278.08899
arg,1962,2294367226.53985
arg,1963,1441753153.10994
arg,1964,1424602863.7313
arg,1965,1176470539.39431
arg,1966,1428571371.44429
arg,1967,1212121237.48041
arg,1968,1428571474.83812
arg,1969,2000000041.3448
arg,1970,1495789482.224
arg,1971,2199999958.62685
arg,1972,2374999979.49003
arg,1973,3000000101.96424
arg,1974,4555555489.85516
arg,1975,3135135020.645
arg,1976,3030000057.09425
arg,1977,4159999872.70227
arg,1978,3319672098.15378
arg,1979,4383512570.58549
arg,1980,4989980079.95196
arg,1981,5800000170.81341
arg,1982,5497685333.13496
arg,1983,6068376037.18012
arg,1984,3762000095.03612
arg,1985,5546666806.78726
arg,1986,7015555449.2007
arg,1987,8417142923.96163
arg,1988,7839772666.04089
arg,1989,5042239480.95944
arg,1990,6546483925.69926
arg,1991,11531201153.6445
arg,1992,18606904906.1175
arg,1993,22049649649.6497
arg,1994,27299960000
arg,1995,26038017000
arg,1996,30148400000
arg,1997,37413700000
arg,1998,38667300000
arg,1999,32762700000
arg,2000,33070146000
arg,2001,27603881800
arg,2002,13065823829.1753
arg,2003,18772898618.6064
arg,2004,27736672323.6712
arg,2005,34392237786.5721
arg,2006,40480743015.8524
arg,2007,52567536062.3157
arg,2008,66316154417.0834
arg,2009,48268743529.53729
arg,2010,67937933972.3653
arg,2011,88839174034.69501
arg,2012,78013690406.70598
arg,2013,81240190816.9153
arg,2014,73691675720.0984
arg,2015,70064879911.70419
arg,2016,75639125936.7673
arg,2017,89910533566.3871
arg,2018,85681285075.63622
arg,2019,65613813215.7878
arg,2020,52773153797.5553
arm,1990,1045655213.09657
arm,1991,1244415584.41558
arm,1992,779688141.15716
arm,1993,729847643.45721
arm,1994,961398392.54881
arm,1995,913101627.206
arm,1996,894135832.28674
arm,1997,955405625.76437
arm,1998,1000634291.3776
arm,1999,919091316.86166
arm,2000,957156466.97286
arm,2001,968529888.66068
arm,2002,1096735501.87495
arm,2003,1391414378.76877
arm,2004,1605180991.65807
arm,2005,2098701754.40896
arm,2006,2482540157.15781
arm,2007,3570727647.4944
arm,2008,4697073302.10145
arm,2009,3684309463.16552
arm,2010,4157364238.39287
arm,2011,4757906356.73632
arm,2012,5139736511.98216
arm,2013,5471934988.45409
arm,2014,5481836161.68309
arm,2015,4427830447.17057
arm,2016,4464567912.38578
arm,2017,5646878995.6173
arm,2018,6612702098.74823
arm,2019,7458380572.51495
arm,2020,5022013709.77093
asm,2002,562000000
asm,2003,574000000
asm,2004,570000000
asm,2005,618000000
asm,2006,638000000
