global,time,eg_elc_accs_zs
world,1998,73.40649
world,1999,74.70848
world,2000,78.22395
world,2001,77.87494
world,2002,79.33658
world,2003,79.93478
world,2004,80.15175
world,2005,80.64799
world,2006,81.35628
world,2007,81.84758
world,2008,82.47616
world,2009,82.84905
world,2010,83.22254
world,2011,82.16658
world,2012,84.74071
world,2013,85.24042
world,2014,85.64832
world,2015,86.61952
world,2016,87.69676
world,2017,88.59377
world,2018,89.56614
world,2019,90.0113
world,2020,90.52104
