global,time,bx_gsr_gnfs_cd
world,1979,2023908062141.19995
world,1980,2434305286354.25977
world,1981,2423179750703.68945
world,1982,2258253818872.89014
world,1983,2189712359895.47998
world,1984,2289639965310.62939
world,1985,2307868527667.20947
world,1986,2536325899113.97021
world,1987,3010978982862.60938
world,1988,3425532033274.33984
world,1989,3710952312870.50977
world,1990,4325745990991.74023
world,1991,4426211506329.07031
world,1992,4774780861937.23047
world,1993,4717969138808.75
world,1994,5296207160088.42969
world,1995,6342028047639.12988
world,1996,6743493236756.09961
world,1997,6933950597775.68945
world,1998,6868219221048.16016
world,1999,7135658547624.0498
world,2000,7955256669036.33008
world,2001,7684632820014.28027
world,2002,8025586672001.0498
world,2003,9415091270828.65039
world,2004,11474017470982.30078
world,2005,13012972106021.59961
world,2006,14967287451580.59961
world,2007,17428530420130.19922
world,2008,19962990281678.5
world,2009,15977382890976.40039
world,2010,18998085903552.60156
world,2011,22513510145994.39844
world,2012,22902743727110.60156
world,2013,23609901914678.60156
world,2014,23989307951750.80078
world,2015,21333422886199.60156
world,2016,20912381195147.19922
world,2017,23092501400929.80078
world,2018,25331387035339.60156
world,2019,24947613283234.89453
world,2020,22549504569432.30078
