global,time,se_prm_rept_fe_zs
world,1970,8.82412
world,1971,8.68971
world,1972,8.59985
world,1973,8.41638
world,1974,8.15904
world,1975,7.92617
world,1976,7.78764
world,1977,7.76767
world,1978,7.73885
world,1979,7.55333
world,1980,7.56224
world,1981,7.42258
world,1982,7.3157
world,1983,7.20556
world,1984,7.02237
world,1985,6.79823
world,1986,6.77772
world,1987,6.50573
world,1988,6.45628
world,1989,6.37396
world,1990,6.17386
world,1991,6.09042
world,1992,5.75608
world,1993,5.60369
world,1994,5.46324
world,1995,5.34964
world,1996,5.20148
world,1997,4.96696
world,1998,4.9323
world,1999,4.91648
world,2000,4.89794
world,2001,4.7961
world,2002,4.74816
world,2003,4.64547
world,2004,4.58405
world,2005,4.48866
world,2006,4.37077
world,2007,4.40377
world,2008,4.24736
world,2009,4.3808
world,2010,4.38962
world,2011,4.37289
world,2012,3.82481
world,2013,3.57722
world,2014,3.29112
world,2015,3.02441
world,2016,2.9264
world,2017,2.91912
world,2018,2.85942
