geo,time,ag_lnd_arbl_ha
abw,1961,2000
abw,1962,2000
abw,1963,2000
abw,1964,2000
abw,1965,2000
abw,1966,2000
abw,1967,2000
abw,1968,2000
abw,1969,2000
abw,1970,2000
abw,1971,2000
abw,1972,2000
abw,1973,2000
abw,1974,2000
abw,1975,2000
abw,1976,2000
abw,1977,2000
abw,1978,2000
abw,1979,2000
abw,1980,2000
abw,1981,2000
abw,1982,2000
abw,1983,2000
abw,1984,2000
abw,1985,2000
abw,1986,2000
abw,1987,2000
abw,1988,2000
abw,1989,2000
abw,1990,2000
abw,1991,2000
abw,1992,2000
abw,1993,2000
abw,1994,2000
abw,1995,2000
abw,1996,2000
abw,1997,2000
abw,1998,2000
abw,1999,2000
abw,2000,2000
abw,2001,2000
abw,2002,2000
abw,2003,2000
abw,2004,2000
abw,2005,2000
abw,2006,2000
abw,2007,2000
abw,2008,2000
abw,2009,2000
abw,2010,2000
abw,2011,2000
abw,2012,2000
abw,2013,2000
abw,2014,2000
abw,2015,2000
abw,2016,2000
abw,2017,2000
abw,2018,2000
afg,1961,7650000
afg,1962,7700000
afg,1963,7750000
afg,1964,7800000
afg,1965,7800000
afg,1966,7835000
afg,1967,7844000
afg,1968,7844000
afg,1969,7860000
afg,1970,7870000
afg,1971,7900000
afg,1972,7910000
afg,1973,7910000
afg,1974,7910000
afg,1975,7910000
afg,1976,7910000
afg,1977,7910000
afg,1978,7910000
afg,1979,7910000
afg,1980,7910000
afg,1981,7910000
afg,1982,7910000
afg,1983,7910000
afg,1984,7910000
afg,1985,7910000
afg,1986,7910000
afg,1987,7910000
afg,1988,7910000
afg,1989,7910000
afg,1990,7910000
afg,1991,7910000
afg,1992,7910000
afg,1993,7824000
afg,1994,7703000
afg,1995,7653000
afg,1996,7647000
afg,1997,7685000
afg,1998,7757000
afg,1999,7653000
afg,2000,7683000
afg,2001,7683000
afg,2002,7678000
afg,2003,7772000
afg,2004,7816000
afg,2005,7805000
afg,2006,7794000
afg,2007,7794000
afg,2008,7794000
afg,2009,7793000
afg,2010,7793000
