global,time,sh_dth_2024
world,1990,888615
world,1991,888377
world,1992,891729
world,1993,903125
world,1994,985912
world,1995,909732
world,1996,906542
world,1997,900575
world,1998,898708
world,1999,904705
world,2000,896520
world,2001,896515
world,2002,897187
world,2003,897635
world,2004,904711
world,2005,893616
world,2006,884070
world,2007,878343
world,2008,877744
world,2009,860122
world,2010,863730
world,2011,832090
world,2012,819190
world,2013,804477
world,2014,790283
world,2015,778818
world,2016,767922
world,2017,761449
world,2018,756748
world,2019,750097
world,2020,745832
