global,time,se_sec_enrl_lo_tc_zs
world,1993,17.34015
world,1994,17.70224
world,1995,18.04026
world,1996,18.60775
world,1997,18.58851
world,1998,18.10733
world,1999,18.55962
world,2000,18.64903
world,2001,18.83275
world,2002,18.76386
world,2003,18.93788
world,2004,18.90834
world,2005,18.60626
world,2006,18.30713
world,2007,18.17956
world,2008,17.83815
world,2009,17.55004
world,2010,17.62234
world,2011,17.79098
world,2012,17.86417
world,2013,17.47601
world,2014,17.37316
world,2015,17.26269
world,2016,16.8994
world,2017,16.78126
world,2018,16.87411
