geo,time,dt_nfl_pngc_cd
afg,2015,-5130000
afg,2016,-4050000
afg,2017,-4320000
afg,2018,-5817000
afg,2019,-5749000
afg,2020,-4792000
ago,2009,2758155000
ago,2010,2105437000
ago,2011,3509062000
ago,2012,-1494944000
ago,2013,-406864000
ago,2014,-527687000
ago,2015,2992588000
ago,2016,1133635000
ago,2017,-568194000
ago,2018,-1239172000
ago,2019,533970000
ago,2020,-1261424000
alb,1999,-2000000
alb,2001,-4000000
alb,2002,1020000
alb,2003,-1982000
alb,2004,24320000
alb,2005,357534000
alb,2006,-40740000
alb,2007,94807000
alb,2008,183926000
alb,2009,124812000
alb,2010,112931000
alb,2011,224736000
alb,2012,186629000
alb,2013,269159000
alb,2014,-148060000
alb,2015,-97386000
alb,2016,-66780000
alb,2017,126968000
alb,2018,-82690000
alb,2019,36053000
alb,2020,-84782000
arg,1970,-4000000
arg,1971,119000000
arg,1972,51000000
arg,1973,-28000000
arg,1974,28000000
arg,1975,-3000000
arg,1976,-159000000
arg,1977,-31000000
arg,1978,-165000000
arg,1979,2336800000
arg,1980,1162400000
arg,1981,5581600000
arg,1982,2020000000
arg,1983,100000000
arg,1984,-29000000
arg,1985,-182000000
arg,1986,-233500000
arg,1987,11676000
arg,1988,10000000
arg,1989,1000000
arg,1992,-220000000
arg,1994,1709828000
arg,1995,881763000
arg,1996,599000000
arg,1997,2145000000
arg,1998,2892292000
arg,1999,196173000
arg,2000,-119646000
arg,2001,-3100270000
arg,2002,-72805000
arg,2003,109215000
arg,2004,-818008000
arg,2005,-119118000
arg,2006,816695000
arg,2007,-134424000
arg,2008,2730189000
arg,2009,-1793755000
arg,2010,-2422007000
arg,2011,156753000
arg,2012,-442975000
arg,2013,612584000
arg,2014,467118000
arg,2015,2147364000
arg,2016,5048548000
arg,2017,7542203000
arg,2018,4453568000
arg,2019,2283529000
arg,2020,-2056139000
arm,2002,-2110000
arm,2003,8880000
arm,2004,13780000
arm,2005,64080000
arm,2006,50630000
arm,2007,502510000
arm,2008,373800000
arm,2009,27711000
arm,2010,702841000
arm,2011,571066000
arm,2012,529053000
arm,2013,817366000
arm,2014,761907000
arm,2015,-64428000
arm,2016,151359000
arm,2017,-201885000
arm,2018,187618000
arm,2019,492262000
arm,2020,666622000
aze,1998,69441000
aze,1999,49074000
