global,time,ic_bus_disc_xq
world,2005,4.62842
world,2006,4.67053
world,2007,4.72842
world,2008,4.81263
world,2009,4.92842
world,2010,4.98105
world,2011,5.07053
world,2012,5.18632
world,2013,5.26526
world,2014,5.45474
world,2015,5.54947
world,2016,5.61263
world,2017,5.66526
world,2018,5.74031
world,2019,5.82932
