global,time,sl_tlf_acti_1524_fe_zs
world,1990,49.64038
world,1991,49.11383
world,1992,48.47155
world,1993,47.59145
world,1994,47.08035
world,1995,46.22053
world,1996,45.36334
world,1997,44.50472
world,1998,43.81597
world,1999,43.31173
world,2000,42.63844
world,2001,42.22107
world,2002,41.99141
world,2003,41.56981
world,2004,41.35412
world,2005,41.08689
world,2006,40.44001
world,2007,39.76179
world,2008,39.04971
world,2009,38.36324
world,2010,37.44795
world,2011,36.6055
world,2012,35.76211
world,2013,35.04565
world,2014,34.46865
world,2015,34.17224
world,2016,33.77503
world,2017,33.45197
world,2018,33.03521
world,2019,32.97954
world,2020,30.71312
