geo,time,sp_rur_totl
abw,1960,26683
abw,1961,27295
abw,1962,27697
abw,1963,27936
abw,1964,28107
abw,1965,28277
abw,1966,28456
abw,1967,28633
abw,1968,28807
abw,1969,28992
abw,1970,29166
abw,1971,29359
abw,1972,29570
abw,1973,29770
abw,1974,29923
abw,1975,29994
abw,1976,29971
abw,1977,29871
abw,1978,29749
abw,1979,29694
abw,1980,29765
abw,1981,30004
abw,1982,30400
abw,1983,30841
abw,1984,31155
abw,1985,31263
abw,1986,31084
abw,1987,30693
abw,1988,30322
abw,1989,30312
abw,1990,30878
abw,1991,32115
abw,1992,34121
abw,1993,36546
abw,1994,38984
abw,1995,41152
abw,1996,42973
abw,1997,44480
abw,1998,45791
abw,1999,47062
abw,2000,48416
abw,2001,49847
abw,2002,51322
abw,2003,52771
abw,2004,54072
abw,2005,55140
abw,2006,55950
abw,2007,56538
abw,2008,56983
abw,2009,57401
abw,2010,57889
abw,2011,58230
abw,2012,58506
abw,2013,58814
abw,2014,59110
abw,2015,59361
abw,2016,59572
abw,2017,59747
abw,2018,59897
abw,2019,60016
abw,2020,60112
afg,1960,8241132
afg,1961,8373135
afg,1962,8512057
afg,1963,8657973
afg,1964,8810638
afg,1965,8970244
afg,1966,9133649
afg,1967,9300663
afg,1968,9475709
afg,1969,9665499
afg,1970,9872705
afg,1971,10095986
afg,1972,10327931
afg,1973,10557926
afg,1974,10772091
afg,1975,10958235
afg,1976,11121482
afg,1977,11259217
afg,1978,11343621
afg,1979,11340124
afg,1980,11220128
afg,1981,10990186
afg,1982,10673553
afg,1983,10312661
afg,1984,9962985
afg,1985,9670303
afg,1986,9430370
afg,1987,9247192
afg,1988,9178459
afg,1989,9365965
afg,1990,9783756
afg,1991,10470847
afg,1992,11392155
afg,1993,12424889
afg,1994,13398641
afg,1995,14194412
afg,1996,14759607
afg,1997,15136305
afg,1998,15416185
afg,1999,15736085
afg,2000,16192158
afg,2001,16816938
afg,2002,17569616
afg,2003,18387486
afg,2004,19163184
afg,2005,19829984
afg,2006,20378037
afg,2007,20836794
afg,2008,21257445
afg,2009,21714076
afg,2010,22257746
afg,2011,22904893
afg,2012,23632789
afg,2013,24404524
afg,2014,25165924
afg,2015,25877997
afg,2016,26530194
afg,2017,27131343
afg,2018,27694940
afg,2019,28244483
afg,2020,28796851
ago,1960,4885715
ago,1961,4934165
ago,1962,4980123
ago,1963,5019234
ago,1964,5043469
ago,1965,5049021
ago,1966,5031759
ago,1967,4998298
ago,1968,4967822
ago,1969,4965858
ago,1970,5009339
ago,1971,5096873
ago,1972,5220698
ago,1973,5372603
ago,1974,5530872
ago,1975,5680444
ago,1976,5817007
ago,1977,5945083
ago,1978,6067299
ago,1979,6189275
ago,1980,6314523
ago,1981,6442600
ago,1982,6570406
ago,1983,6696843
ago,1984,6820227
ago,1985,6939724
ago,1986,7054522
ago,1987,7164147
ago,1988,7266950
ago,1989,7361875
ago,1990,7447421
ago,1991,7523275
ago,1992,7589480
ago,1993,7647462
ago,1994,7697139
ago,1995,7785747
ago,1996,7870571
ago,1997,7952573
ago,1998,8031535
ago,1999,8108447
ago,2000,8183474
ago,2001,8256988
ago,2002,8328556
ago,2003,8400211
ago,2004,8473614
ago,2005,8550786
ago,2006,8712013
ago,2007,8879761
ago,2008,9050985
ago,2009,9223198
ago,2010,9393182
ago,2011,9560379
ago,2012,9724802
ago,2013,9885478
ago,2014,10040929
ago,2015,10192856
ago,2016,10340318
ago,2017,10483874
ago,2018,10625063
ago,2019,10764271
ago,2020,10903384
alb,1960,1114818
alb,1961,1146208
alb,1962,1180553
alb,1963,1214693
alb,1964,1248887
alb,1965,1282417
alb,1966,1315273
alb,1967,1348911
alb,1968,1386348
alb,1969,1424962
alb,1970,1457678
alb,1971,1489206
alb,1972,1522477
alb,1973,1554419
alb,1974,1585958
alb,1975,1618163
alb,1976,1649474
alb,1977,1681437
alb,1978,1711648
alb,1979,1740858
alb,1980,1769877
alb,1981,1798543
alb,1982,1829633
alb,1983,1861315
alb,1984,1893194
alb,1985,1924635
alb,1986,1954134
alb,1987,1985256
alb,1988,2014614
alb,1989,2060783
alb,1990,2089320
alb,1991,2067878
alb,1992,2037549
alb,1993,2007405
alb,1994,1977318
alb,1995,1947385
alb,1996,1917515
alb,1997,1887867
alb,1998,1858316
alb,1999,1828925
alb,2000,1799636
alb,2001,1761589
alb,2002,1723790
alb,2003,1684768
alb,2004,1645111
alb,2005,1604189
alb,2006,1561661
alb,2007,1517619
alb,2008,1473922
alb,2009,1432259
alb,2010,1393502
alb,2011,1358266
alb,2012,1324613
alb,2013,1291587
alb,2014,1258985
alb,2015,1226200
alb,2016,1195854
alb,2017,1167112
alb,2018,1137407
alb,2019,1106598
alb,2020,1075204
