geo,time,bx_gsr_mrch_cd
abw,1986,29553072.6257
abw,1987,45139664.80447
abw,1988,87374301.67598
abw,1989,107486033.51955
abw,1990,155474860.3352
abw,1991,878770949.72067
abw,1992,1069217877.09497
abw,1993,1154357541.89944
abw,1994,1296759776.53631
abw,1995,1346145251.39665
abw,1996,1734860335.19553
abw,1997,1728324022.34637
abw,1998,1164469273.74302
abw,1999,282519553.07263
abw,2000,234692737.43017
abw,2001,191899441.34078
abw,2002,223798882.68156
abw,2003,159273743.01676
abw,2004,3434581005.58659
abw,2005,4416215839.35408
abw,2006,4717024446.35535
abw,2007,5206592178.77095
abw,2008,5456592178.77095
abw,2009,1951843575.41899
abw,2010,264525139.6648
abw,2011,5180167597.76536
abw,2012,1388882681.56425
abw,2013,278988734.07821
abw,2014,258945444.69274
abw,2015,332533356.42458
abw,2016,284010007.65835
abw,2017,134599535.76346
abw,2018,194096880.9558
abw,2019,130708110.21728
abw,2020,89770179.28249
afg,1979,493700000
afg,1980,705200000
afg,1981,690800000
afg,1982,707800000
afg,1983,728800000
afg,1984,787700000
afg,1985,628200000
afg,1986,497000000
afg,1987,538700000
afg,1988,453800000
afg,1989,252300000
afg,2008,563299197.53
afg,2009,408756401.27
afg,2010,435773347.55
afg,2011,460318410.71
afg,2012,475530985.17791
afg,2013,505792648.17849
afg,2014,641767413.46202
afg,2015,577859765.73454
afg,2016,614217572.05571
afg,2017,783962916.81029
afg,2018,875242667.37064
afg,2019,863834412.22375
afg,2020,776734541.77054
ago,1985,2301000000
ago,1986,1346000000
ago,1987,2322000000
ago,1988,2492000000
ago,1989,3014000000
ago,1990,3883900000
ago,1991,3449300000
ago,1992,3832800000
ago,1993,2900500000
ago,1994,3016600000
ago,1995,3722700000
ago,1996,5095000000
ago,1997,5006760000
ago,1998,3542870000
ago,1999,5156530000
ago,2000,7920710000
ago,2001,6534320000
ago,2002,8327889093
ago,2003,9508176643
ago,2004,13475002110
ago,2005,24109411611
ago,2006,31862236056
ago,2007,44396193769
ago,2008,63913941114
ago,2009,40827945315.81
ago,2010,50594853215.38
ago,2011,67310283732.3282
ago,2012,71093269879.5401
ago,2013,68246518070.6135
ago,2014,59169884894.9568
ago,2015,33181130225.6441
ago,2016,27588875075.4791
ago,2017,34613454927.6954
ago,2018,40757766796.592
ago,2019,34725561391.1333
ago,2020,20937437117.7636
alb,1980,367200000
alb,1981,418000000
alb,1982,359900000
alb,1983,341000000
alb,1984,319100000
alb,1985,303500000
alb,1986,311300000
alb,1987,311200000
alb,1988,344600000
alb,1989,393700000
alb,1990,322100000
alb,1991,73000000
alb,1992,70000000
alb,1993,111600000
alb,1994,141300000
alb,1995,204900000
alb,1996,243700000
alb,1997,90900000
alb,1998,100670000
alb,1999,91700000
alb,2000,95200000
alb,2001,109500000
alb,2002,85180000
alb,2003,100716315.5355
alb,2004,149032362.10616
alb,2005,194117835.56633
alb,2006,223619399.42383
alb,2007,359838411.99162
alb,2008,546214691.48492
alb,2009,403524040.62297
alb,2010,739411255.8456
alb,2011,962502319.00352
alb,2012,1123281060.92358
alb,2013,1417739063.45629
alb,2014,1239878797.11331
alb,2015,855336790.67565
alb,2016,789221582.35936
alb,2017,901243616.77058
alb,2018,1163648667.07628
alb,2019,1014731694.61824
alb,2020,908550736.11101
and,2019,129972471.32651
arg,1976,3918000000
arg,1977,5651000000
arg,1978,6401000000
arg,1979,7810000000
arg,1980,8021000000
arg,1981,9143000000
arg,1982,7623000000
arg,1983,7835000000
arg,1984,8100000000
arg,1985,8396000000
arg,1986,6852000000
arg,1987,6360000000
arg,1988,9134000000
arg,1989,9573000000
arg,1990,12354000000
arg,1991,11978000000
arg,1992,12397400000
arg,1993,13262600000
arg,1994,16026700000
arg,1995,21141832000
arg,1996,24034600000
arg,1997,26420900000
arg,1998,26408700000
arg,1999,23287800000
arg,2000,26337200000
arg,2001,26528000000
arg,2002,25634300000
arg,2003,29950400000
arg,2004,34588800000
arg,2005,40434150000
arg,2006,46617500000
arg,2007,56076562000
arg,2008,70159472000
arg,2009,55790984000
arg,2010,68305873000
arg,2011,83119709000
arg,2012,80083655000
arg,2013,75928228361.0699
arg,2014,68440435907
arg,2015,56809053493
arg,2016,57959933690.53
arg,2017,58661873551.7799
arg,2018,61801002638.2899
arg,2019,65156010193.56
arg,2020,54945406752.15
arm,1993,156190000
arm,1994,215350000
arm,1995,275019740
arm,1996,292039423
arm,1997,233966582
arm,1998,232508497
arm,1999,246894782
arm,2000,313760102
arm,2001,369336820
arm,2002,554555704
arm,2003,724987013
arm,2004,770352079.78
arm,2005,1028698417
arm,2006,1052970724
arm,2007,1204225219
arm,2008,1106287496
arm,2009,773615111
arm,2010,1197479193.0037
arm,2011,1431559506.23018
arm,2012,1515701954.51278
arm,2013,1635856170.26272
arm,2014,1698148849.62406
arm,2015,1623898609.17599
arm,2016,1892025432.6924
arm,2017,2386839092.41216
arm,2018,2723561957.06813
arm,2019,3287505520.96936
arm,2020,2657608222.67885
atg,1977,6600000
atg,1978,12600000
atg,1979,12000000
atg,1980,59500000
atg,1981,51400000
atg,1982,49300000
atg,1983,36500000
atg,1984,35200000
atg,1985,28300000
atg,1986,31529629.62963
atg,1987,26303703.7037
atg,1988,28192592.59259
atg,1989,29144444.44444
atg,1990,33425925.92593
atg,1991,55203703.7037
atg,1992,75007407.40741
atg,1993,62077777.77778
atg,1994,44448148.14815
atg,1995,53144444.44444
atg,1996,38033333.33333
atg,1997,37874074.07407
atg,1998,36433333.33333
atg,1999,37875585.18519
atg,2000,52353966.66667
atg,2001,44649629.62963
atg,2002,33639382.22222
atg,2003,44725100.37037
atg,2004,57061044.44444
atg,2005,82670221.48148
atg,2006,73995931.11111
atg,2007,59283601.85185
atg,2008,65385681.11111
atg,2009,50741039.62963
atg,2010,45715381.11111
atg,2011,56150986.2963
atg,2012,59042074.07407
atg,2013,64197195.55556
atg,2014,98707946.47019
atg,2015,67572501.52593
atg,2016,50060382.71481
atg,2017,37177841.74033
atg,2018,42970058.46667
atg,2019,50071207.30643
atg,2020,34439129.74784
aus,1989,37237292830.3793
aus,1990,39732496801.3425
aus,1991,42447458920.6395
aus,1992,42915586221.0808
aus,1993,42716537707.00929
aus,1994,47436944946.5434
aus,1995,53307054295.3491
aus,1996,60515586486.30129
aus,1997,64969123660.5911
aus,1998,55848921246.0652
aus,1999,56029835314.3814
aus,2000,64039984645.4577
aus,2001,63666859385.98
aus,2002,65090759266.5292
aus,2003,70510644518.68491
aus,2004,87128030618.7002
aus,2005,106941616296.545
aus,2006,124640948584.01801
aus,2007,142512505539.39499
aus,2008,188946626618.983
aus,2009,154778034177.392
aus,2010,213809673280.71201
aus,2011,271925907371.40897
aus,2012,258389569714.08096
aus,2013,254151549253.004
aus,2014,240655811679.60501
aus,2015,188212275427.04697
aus,2016,192876229205.84799
aus,2017,231536493449.10599
aus,2018,257957671511.957
aus,2019,271522330125.41296
aus,2020,251420432034.13599
aut,2005,114048373178.308
aut,2006,129502213823.209
aut,2007,156813049415.62201
aut,2008,172808455482.50601
aut,2009,131816675706.73
aut,2010,145030989197.69101
