geo,time,gc_xpn_gsrv_zs
afg,2006,57.21638
afg,2007,66.59014
afg,2008,72.45878
afg,2009,71.72412
afg,2010,74.70011
afg,2011,75.73348
afg,2012,68.10746
afg,2013,67.02839
afg,2014,66.71607
afg,2015,61.03925
afg,2016,58.77513
afg,2017,54.77887
ago,1999,47.5878
ago,2000,52.49248
ago,2001,46.07718
ago,2002,43.83485
ago,2003,40.81467
ago,2004,26.67077
ago,2005,35.41329
ago,2006,34.663
ago,2007,32.87855
ago,2008,33.55539
ago,2009,25.20345
ago,2010,26.39968
ago,2011,32.65765
ago,2012,35.46096
ago,2013,40.57509
ago,2014,34.2316
ago,2015,21.93922
ago,2016,21.53337
ago,2017,24.94487
ago,2018,21.46426
ago,2019,15.48483
alb,1995,17.56665
alb,1996,10.3831
alb,1998,8.9533
alb,2002,14.75427
alb,2003,11.44587
alb,2004,11.71682
alb,2011,9.16434
alb,2012,8.96025
alb,2013,10.07974
alb,2014,7.38241
alb,2015,8.32493
alb,2016,9.31837
alb,2017,9.04659
alb,2018,8.95713
alb,2019,9.3443
are,1997,50.14554
are,1998,48.63187
are,1999,45.69898
are,2011,30.87437
are,2012,29.15533
are,2013,29.23039
are,2014,29.39173
are,2015,36.78363
are,2016,39.31903
are,2017,36.6008
are,2018,36.64476
are,2019,40.09363
arg,1990,7.05965
arg,1991,7.84091
arg,1992,6.51841
arg,1993,5.76215
arg,1994,5.23636
arg,1995,5.44275
arg,1996,5.15737
arg,1997,5.05839
arg,1998,5.29226
arg,1999,4.97997
arg,2000,4.02762
arg,2001,4.20935
arg,2002,4.01142
arg,2003,3.67333
arg,2004,4.58081
arg,2014,4.54858
arg,2015,4.64859
arg,2016,3.89929
arg,2017,3.95111
arg,2018,3.65418
arg,2019,3.6547
arm,2004,41.5526
arm,2005,39.81705
arm,2006,34.77191
arm,2007,36.21912
arm,2008,11.8836
arm,2009,12.71901
arm,2010,13.35066
arm,2011,14.1979
arm,2012,16.36817
arm,2013,15.7056
arm,2014,17.10826
arm,2015,15.91663
arm,2016,10.41109
arm,2017,14.68422
arm,2018,13.91357
arm,2019,14.45725
aus,1990,26.2241
aus,1991,25.72599
aus,1992,25.50684
aus,1993,25.29143
aus,1994,25.25452
aus,1995,26.79484
aus,1996,27.15113
