global,time,ny_gdp_mktp_kd_zg
world,1961,3.80105
world,1962,5.32037
world,1963,5.19249
world,1964,6.56866
world,1965,5.55505
world,1966,5.71893
world,1967,4.1647
world,1968,5.95149
world,1969,5.83162
world,1970,3.91759
world,1971,4.29031
world,1972,5.63031
world,1973,6.4235
world,1974,1.80594
world,1975,0.60017
world,1976,5.29745
world,1977,4.0765
world,1978,4.11356
world,1979,4.18826
world,1980,1.81116
world,1981,1.92862
world,1982,0.41735
world,1983,2.62114
world,1984,4.67749
world,1985,3.71257
world,1986,3.44539
world,1987,3.74096
world,1988,4.66052
world,1989,3.74061
world,1990,2.87625
world,1991,1.4465
world,1992,2.05613
world,1993,1.80817
world,1994,3.2969
world,1995,3.08935
world,1996,3.61366
world,1997,3.86903
world,1998,2.79317
world,1999,3.50442
world,2000,4.50122
world,2001,2.00013
world,2002,2.33716
world,2003,3.15933
world,2004,4.47989
world,2005,4.04817
world,2006,4.49563
world,2007,4.43875
world,2008,2.00083
world,2009,-1.30726
world,2010,4.49469
world,2011,3.33962
world,2012,2.67282
world,2013,2.84465
world,2014,3.11775
world,2015,3.1683
world,2016,2.82506
world,2017,3.39437
world,2018,3.26958
world,2019,2.60081
world,2020,-3.29368
