geo,time,sl_uem_1524_fe_zs
afg,1991,22.142
afg,1992,22.349
afg,1993,22.188
afg,1994,22.192
afg,1995,22.845
afg,1996,22.579
afg,1997,22.352
afg,1998,22.393
afg,1999,22.394
afg,2000,22.359
afg,2001,22.194
afg,2002,22.656
afg,2003,22.323
afg,2004,21.96
afg,2005,22.166
afg,2006,22.119
afg,2007,22.53
afg,2008,22.349
afg,2009,22.727
afg,2010,22.794
afg,2011,22.186
afg,2012,22.366
afg,2013,21.951
afg,2014,21.681
afg,2015,21.479
afg,2016,21.386
afg,2017,21.292
afg,2018,21.244
afg,2019,21.337
afg,2020,21.333
ago,1991,7.557
ago,1992,7.496
ago,1993,7.477
ago,1994,7.329
ago,1995,7.219
ago,1996,7.156
ago,1997,7.117
ago,1998,7.075
ago,1999,7.032
ago,2000,6.976
ago,2001,6.906
ago,2002,6.809
ago,2003,6.77
ago,2004,6.679
ago,2005,6.598
ago,2006,6.527
ago,2007,6.441
ago,2008,6.371
ago,2009,6.325
ago,2010,21.195
ago,2011,16.736
ago,2012,16.686
ago,2013,16.703
ago,2014,16.697
ago,2015,16.717
ago,2016,16.726
ago,2017,16.695
ago,2018,16.693
ago,2019,16.665
ago,2020,18.102
alb,1991,15.635
alb,1992,41.029
alb,1993,34.689
alb,1994,28.555
alb,1995,21.249
alb,1996,19.502
alb,1997,23.874
alb,1998,29.716
alb,1999,30.539
alb,2000,27.748
alb,2001,28.326
alb,2002,27.289
alb,2003,26.044
alb,2004,25.075
alb,2005,24.719
alb,2006,24.351
alb,2007,24.966
alb,2008,26.726
alb,2009,28.626
alb,2010,32.242
alb,2011,19.449
alb,2012,22.986
alb,2013,27.024
alb,2014,32.512
alb,2015,40.381
alb,2016,34.082
alb,2017,27.352
alb,2018,25.732
alb,2019,25.978
alb,2020,29.119
are,1991,5.166
are,1992,5.011
are,1993,4.922
are,1994,4.806
are,1995,4.73
are,1996,4.837
are,1997,4.931
are,1998,5.088
are,1999,5.191
are,2000,5.257
are,2001,6.899
are,2002,8.447
are,2003,9.928
are,2004,11.507
are,2005,13.252
are,2006,12.815
are,2007,12.525
are,2008,12.093
are,2009,11.718
are,2010,11.055
are,2011,10.403
are,2012,9.848
are,2013,9.267
are,2014,8.705
are,2015,8.141
are,2016,7.728
are,2017,13.141
are,2018,13.732
are,2019,14.106
are,2020,16.646
arg,1991,12.006
arg,1992,14.07
arg,1993,26.414
arg,1994,29.335
arg,1995,46.292
arg,1996,40.619
arg,1997,37.621
arg,1998,29.927
arg,1999,32.079
arg,2000,34.814
arg,2001,36.531
arg,2002,39.609
arg,2003,38.137
arg,2004,34.573
arg,2005,30.661
arg,2006,29.19
arg,2007,24.387
arg,2008,22.101
arg,2009,24.496
arg,2010,23.472
arg,2011,22.033
arg,2012,22.999
arg,2013,23.301
arg,2014,22.327
arg,2015,23.637
arg,2016,25.671
arg,2017,26.959
arg,2018,27.87
arg,2019,28.492
arg,2020,35.056
arm,1991,2.739
arm,1992,3.108
arm,1993,9.394
arm,1994,10.634
arm,1995,12.532
arm,1996,18.013
arm,1997,20.54
arm,1998,16.161
arm,1999,17.851
arm,2000,16.842
arm,2001,15.884
arm,2002,14.941
arm,2003,13.971
arm,2004,12.964
arm,2005,12.071
arm,2006,11.149
arm,2007,10.263
arm,2008,28.561
arm,2009,45.52
arm,2010,47.612
arm,2011,44.05
arm,2012,39.601
arm,2013,40.675
arm,2014,44.62
arm,2015,36.659
arm,2016,45.19
arm,2017,44.294
arm,2018,39.574
arm,2019,34.211
arm,2020,38.513
aus,1991,16.275
aus,1992,17.621
aus,1993,17.224
aus,1994,16.274
aus,1995,14.837
aus,1996,14.814
aus,1997,14.622
aus,1998,13.511
aus,1999,12.416
aus,2000,11.223
aus,2001,12.289
aus,2002,11.721
aus,2003,11.27
aus,2004,10.853
aus,2005,10.321
aus,2006,9.424
aus,2007,9.199
aus,2008,8.548
aus,2009,10.321
aus,2010,11.097
aus,2011,10.738
aus,2012,10.897
aus,2013,11.315
aus,2014,12.426
aus,2015,11.888
aus,2016,11.4
aus,2017,11.508
aus,2018,10.719
aus,2019,10.63
aus,2020,13.164
aut,1991,3.404
aut,1992,3.994
