geo,time,se_pre_enrr
abw,1999,94.33043
abw,2000,95.90304
abw,2001,97.55019
abw,2002,98.43591
abw,2003,99.6229
abw,2004,98.74652
abw,2005,100.4272
abw,2006,108.98138
abw,2007,107.32965
abw,2008,101.66976
abw,2009,100.85693
abw,2010,104.38499
abw,2011,102.12922
abw,2012,106.52335
abw,2013,105.33781
abw,2014,105.79601
abw,2015,103.52086
afg,1970,0.29684
afg,1971,0.29061
afg,1972,0.38426
afg,1973,0.36336
afg,1974,0.39066
afg,1975,0.49143
afg,1976,0.73101
afg,1977,0.92171
afg,1980,1.08048
afg,1981,1.20796
afg,1982,1.16483
afg,1984,3.2383
afg,1985,4.40996
afg,1986,4.71247
afg,1988,5.12917
afg,2003,3.08047
ago,1981,42.4482
ago,1982,36.4049
ago,1983,30.46443
ago,1984,25.60521
ago,1985,20.21901
ago,1986,21.35334
ago,1987,19.71661
ago,1988,18.10671
ago,1989,17.24548
ago,1990,15.32051
ago,1991,12.61039
ago,1992,15.92413
ago,1998,19.45463
ago,1999,23.65814
ago,2007,135.91823
ago,2008,99.41978
ago,2009,92.73418
ago,2010,85.83747
ago,2011,73.32898
ago,2016,39.61102
alb,1971,25.16428
alb,1972,27.99386
alb,1980,43.6474
alb,1981,46.51689
alb,1982,48.41001
alb,1983,49.36845
alb,1984,51.03988
alb,1985,52.70955
alb,1986,53.49601
alb,1987,54.02891
alb,1988,54.95607
alb,1989,55.11399
alb,1990,56.0783
alb,1991,58.00259
alb,1992,48.07037
alb,1993,35.80265
alb,1994,35.85797
alb,1995,36.92981
alb,1996,39.89354
alb,1997,40.95692
alb,1998,40.52646
alb,1999,42.31086
alb,2000,44.13253
alb,2001,45.23442
alb,2002,44.79487
alb,2003,48.33761
alb,2004,49.66252
alb,2005,51.28998
alb,2006,53.76874
alb,2007,54.83866
alb,2008,58.60956
alb,2009,61.71825
alb,2010,65.03855
alb,2011,70.0033
alb,2012,77.32688
alb,2013,81.55834
alb,2014,83.35005
alb,2015,86.41825
alb,2016,87.68227
alb,2017,83.82008
alb,2018,80.49873
alb,2019,75.75499
alb,2020,75.14018
and,1975,123.47018
and,1983,167.53699
are,1973,21.73855
are,1974,25.47052
are,1975,21.51035
are,1976,32.38489
are,1977,30.95622
are,1978,30.59939
are,1979,25.88209
are,1980,32.3311
are,1981,36.78536
are,1982,47.71647
are,1983,54.36403
are,1984,49.93117
are,1985,49.83809
are,1986,50.65322
are,1987,51.43915
are,1988,54.24642
are,1989,57.38444
are,1990,57.69358
are,1991,54.46495
are,1992,55.22862
are,1993,57.18364
are,1994,60.33749
are,1995,60.72489
are,1996,60.1728
are,1997,57.21633
are,1998,58.65331
are,1999,61.16708
are,2000,60.24378
are,2001,59.86322
are,2002,66.15516
are,2003,73.49327
are,2004,78.22607
are,2005,80.71118
are,2006,80.32287
are,2007,85.80561
are,2009,85.39125
are,2010,85.29518
are,2011,85.10507
are,2012,80.79339
are,2013,81.48179
are,2014,88.53074
are,2015,80.56197
are,2019,99.02424
are,2020,94.20541
arg,1970,23.44487
arg,1971,24.93766
arg,1972,26.51997
arg,1973,29.06558
arg,1974,31.40225
arg,1975,35.70194
arg,1976,37.91075
arg,1977,39.39728
arg,1979,39.18934
arg,1980,40.08113
arg,1981,42.40367
arg,1982,44.24095
arg,1983,45.24946
arg,1984,48.17186
arg,1985,50.82999
arg,1986,53.03755
arg,1987,57.26319
arg,1988,60.677
arg,1991,48.56701
arg,1994,47.71864
arg,1996,52.24382
arg,1997,53.40724
arg,1998,54.83638
arg,1999,55.53286
arg,2000,58.7352
arg,2001,59.57181
arg,2002,60.24095
arg,2003,60.61656
arg,2004,62.30033
arg,2005,63.74701
arg,2006,63.67605
arg,2007,64.63763
arg,2008,66.605
arg,2009,68.05104
arg,2010,68.89225
arg,2011,68.87405
arg,2012,70.58965
arg,2013,72.24957
arg,2014,73.2492
arg,2015,74.69316
arg,2016,75.33119
arg,2017,76.08473
arg,2018,77.20121
arg,2019,77.77883
arm,1980,54.34493
arm,1986,58.53982
arm,1987,59.07789
arm,1988,56.97419
arm,1989,53.99796
arm,1990,48.0632
arm,1991,47.29974
arm,1992,47.70856
arm,1993,41.3167
arm,1994,36.23882
arm,1995,32.01623
arm,1996,26.96917
arm,1997,29.21395
arm,2015,36.44082
arm,2016,34.73277
arm,2017,37.21287
arm,2018,38.02129
arm,2019,39.33663
arm,2020,46.55171
asm,1981,71.34373
asm,1982,65.04854
asm,1983,62.80193
asm,1984,60.85092
asm,1985,62.27431
asm,1986,60.93179
asm,1987,65.60023
asm,1988,66.21083
asm,1989,80.05556
asm,1990,77.75974
asm,1991,76.10994
asm,1992,68.39299
atg,1975,16.67134
atg,1976,28.23968
atg,1977,24.07516
atg,1978,31.54744
atg,1979,27.74566
atg,1984,22.58172
atg,2000,55.38253
atg,2007,82.72662
atg,2008,84.7787
atg,2010,93.69638
atg,2011,92.03473
atg,2012,95.86411
atg,2013,93.54955
atg,2014,92.74593
atg,2016,74.85694
atg,2017,72.65406
atg,2018,70.2536
aus,1971,73.77542
aus,1974,73.82506
aus,1975,75.75531
aus,1976,81.65689
aus,1977,80.4294
aus,1978,76.24854
aus,1979,67.33267
aus,1980,65.08006
aus,1981,64.54881
aus,1982,65.8376
aus,1983,68.49383
aus,1984,69.59317
aus,1985,71.98876
aus,1986,73.59632
aus,1987,73.19599
aus,1988,71.52797
aus,1989,71.13269
aus,1990,70.81198
aus,1991,70.45321
aus,1992,70.57665
aus,1993,71.04508
aus,1994,72.57817
aus,1995,94.40611
aus,1996,76.77609
aus,1997,78.34647
aus,2001,103.526
aus,2002,101.39624
aus,2003,82.51852
aus,2004,84.05777
aus,2005,86.60517
aus,2006,82.87441
aus,2007,81.79469
aus,2008,81.62627
aus,2009,81.34398
aus,2010,78.54856
aus,2011,95.16196
aus,2012,107.5956
aus,2013,108.85986
aus,2014,113.62543
aus,2015,124.22573
aus,2016,166.99306
aus,2017,164.55399
aus,2018,165.6936
aus,2019,166.16092
aut,1971,30.82319
aut,1972,32.91591
aut,1973,35.44544
aut,1974,38.56633
aut,1975,41.8278
aut,1976,45.20126
aut,1977,48.17462
aut,1978,53.46527
aut,1979,58.09703
aut,1980,60.89919
aut,1981,62.03496
aut,1982,62.84181
aut,1983,64.03703
aut,1984,65.67865
aut,1985,68.16185
aut,1986,71.99378
aut,1987,73.99218
aut,1988,72.86986
aut,1989,71.02432
aut,1990,71.51101
aut,1991,72.09907
aut,1992,73.10984
aut,1993,75.4896
aut,1994,78.5934
aut,1995,78.6338
aut,1996,79.35611
aut,1997,80.18115
aut,1998,79.89919
aut,1999,79.04097
aut,2000,79.90164
aut,2001,81.5127
aut,2002,83.60645
aut,2003,86.26103
aut,2004,88.24196
aut,2005,88.96066
aut,2006,89.92086
aut,2007,91.18306
aut,2008,93.89929
aut,2009,97.18798
aut,2010,100.72959
aut,2011,100.81418
aut,2012,103.59786
aut,2013,100.18848
aut,2014,101.01944
aut,2015,102.5314
aut,2016,104.22311
aut,2017,104.38375
aut,2018,103.29884
aut,2019,102.70375
aze,1981,20.29015
aze,1986,21.78473
aze,1989,19.04954
aze,1990,21.01805
aze,1991,19.26637
aze,1992,18.07339
aze,1993,16.70457
aze,1994,16.44501
aze,1995,19.07327
aze,1996,18.19916
aze,1997,17.27764
aze,1998,16.8631
aze,1999,18.07306
aze,2000,19.27133
aze,2001,20.89849
aze,2002,22.36726
aze,2003,23.4206
aze,2004,24.08114
aze,2005,25.44998
aze,2006,26.74821
aze,2007,26.05709
aze,2008,24.15975
aze,2009,23.53097
aze,2010,25.58294
aze,2011,26.55766
aze,2012,24.84933
aze,2013,25.73653
aze,2014,23.10554
aze,2015,23.87579
aze,2016,22.73687
aze,2017,35.98
aze,2018,39.71233
aze,2019,41.13872
aze,2020,44.68513
bdi,1971,0.27774
bdi,1972,0.17843
bdi,1973,0.21737
bdi,1974,0.1552
bdi,1982,0.26483
bdi,1983,0.31866
bdi,1984,0.30497
bdi,1985,0.31629
bdi,1986,0.3741
bdi,1987,0.39789
bdi,1988,0.41491
bdi,1989,0.44524
bdi,1998,0.67662
bdi,1999,0.74585
bdi,2000,0.79012
bdi,2001,1.15103
bdi,2002,1.25501
bdi,2003,1.25077
bdi,2004,1.33181
bdi,2005,1.78957
bdi,2006,1.76593
bdi,2007,3.48443
bdi,2009,12.06869
bdi,2010,10.69071
bdi,2011,8.10977
bdi,2012,8.41098
bdi,2013,9.09977
bdi,2014,11.07118
bdi,2015,13.68522
bdi,2016,14.08462
bdi,2017,14.02447
bdi,2018,15.36692
bdi,2019,16.63183
bdi,2021,16.4923
bel,1971,99.76163
bel,1972,100.25658
bel,1973,101.40989
bel,1974,104.60944
bel,1975,106.50045
bel,1976,108.37226
bel,1977,107.05785
bel,1978,103.11543
bel,1979,101.2359
bel,1980,101.29682
bel,1981,103.07738
bel,1982,105.50391
bel,1983,107.75842
bel,1984,110.16759
bel,1985,111.71511
bel,1986,111.61598
bel,1987,107.81909
bel,1988,104.67165
bel,1989,102.64548
bel,1990,103.38296
bel,1991,104.45363
bel,1992,110.99538
bel,1993,114.27843
bel,1994,117.1088
bel,1995,118.21443
bel,1996,117.02286
bel,1999,108.53545
bel,2000,109.67374
bel,2001,110.63129
bel,2002,112.50084
bel,2003,114.81359
bel,2004,115.83693
bel,2005,119.41279
bel,2006,118.88985
bel,2007,118.01522
bel,2008,117.93306
bel,2009,118.35961
bel,2010,119.37523
bel,2011,120.61282
bel,2012,120.08512
bel,2013,118.83549
bel,2014,118.24409
bel,2015,117.01423
bel,2016,116.09559
bel,2017,115.14532
bel,2018,114.03566
bel,2019,113.51067
ben,1976,0
ben,1978,0
ben,1979,0
ben,1980,0
ben,1981,1.51162
ben,1982,1.29638
ben,1983,1.43881
ben,1984,1.87893
ben,1985,2.36438
ben,1986,2.62493
ben,1987,2.92588
ben,1988,2.88545
ben,1989,2.82793
ben,1990,2.69698
ben,1991,2.70856
ben,1992,2.65479
ben,1993,2.74743
ben,1994,2.60389
ben,1995,2.7865
ben,1996,2.83864
ben,1999,4.22347
ben,2000,6.37897
ben,2001,5.61851
ben,2002,5.10867
ben,2003,4.64478
ben,2004,4.56141
ben,2005,5.59762
ben,2006,6.17604
ben,2008,12.77246
ben,2009,13.56472
ben,2010,17.42143
ben,2011,19.15302
ben,2012,19.00469
ben,2013,19.74098
ben,2014,20.7799
ben,2015,23.92585
ben,2016,24.79332
ben,2017,25.20878
ben,2018,25.45034
ben,2019,24.43139
ben,2020,22.21568
bfa,1971,0.07069
bfa,1972,0.08034
bfa,1973,0.10891
bfa,1974,0.09801
bfa,1975,0.08542
bfa,1976,0.08764
bfa,1977,0.12488
bfa,1978,0.0968
bfa,1979,0.12796
bfa,1980,0.13216
bfa,1981,0.05958
bfa,1982,0.0819
bfa,1983,0.09926
bfa,1984,0.22612
bfa,1985,0.36399
bfa,1986,0.46421
bfa,1987,0.59802
bfa,1988,0.68549
bfa,1989,0.74476
bfa,1990,0.65018
bfa,1991,0.77355
bfa,1992,0.84205
bfa,1993,0.85859
bfa,1994,1.05171
bfa,1995,1.04102
bfa,1996,1.38882
bfa,1997,1.67227
bfa,1998,1.72079
bfa,1999,1.838
bfa,2007,2.99717
bfa,2009,2.89914
bfa,2010,2.79054
bfa,2011,3.09035
bfa,2012,3.64866
bfa,2013,4.00374
bfa,2014,4.17748
bfa,2015,4.13881
bfa,2016,3.05085
bfa,2017,3.67813
bfa,2018,4.365
bfa,2019,5.52065
bfa,2020,6.37287
bgd,1972,0.22052
bgd,1973,0.363
bgd,1988,78.33684
bgd,1998,21.80455
bgd,1999,19.04226
bgd,2000,17.65191
bgd,2001,17.01263
bgd,2002,14.66028
bgd,2003,11.95502
bgd,2004,11.39976
bgd,2005,11.36851
bgd,2009,11.22079
bgd,2010,13.11622
bgd,2011,25.60045
bgd,2013,32.83701
