global,time,ms_mil_totl_p1
world,1985,22209230
world,1989,24298000
world,1990,23918000
world,1991,22726000
world,1992,24533000
world,1993,23741000
world,1994,23195000
world,1995,30182200
world,1996,30196640
world,1997,29863220
world,1998,29926660
world,1999,29584140
world,2000,29353100
world,2001,28211700
world,2002,28306950
world,2003,28161400
world,2004,27081142
world,2005,28539442
world,2006,27029682
world,2007,27253882
world,2008,27493342
world,2009,27924096
world,2010,28133971
world,2011,28020079
world,2012,28154374
world,2013,27206623
world,2014,27309630
world,2015,27437280
world,2016,27542350
world,2017,27414000
world,2018,27645315
world,2019,27671000
