geo,time,ag_yld_crel_kg
afg,1961,1115.1
afg,1962,1079
afg,1963,985.8
afg,1964,1082.8
afg,1965,1098.9
afg,1966,1012.3
afg,1967,1224.5
afg,1968,1287.5
afg,1969,1310.4
afg,1970,1105.1
afg,1971,976.2
afg,1972,1006.9
afg,1973,1279.6
afg,1974,1301.9
afg,1975,1316.4
afg,1976,1362.4
afg,1977,1224
afg,1978,1291.9
afg,1979,1323.7
afg,1980,1349
afg,1981,1338.3
afg,1982,1330.2
afg,1983,1355.6
afg,1984,1334.1
afg,1985,1331.7
afg,1986,1314
afg,1987,1359.8
afg,1988,1285.7
afg,1989,1237.6
afg,1990,1200.6
afg,1991,1160.4
afg,1992,1097.8
afg,1993,1132.9
afg,1994,1140.4
afg,1995,1214.5
afg,1996,1204.4
afg,1997,1348.8
afg,1998,1388
afg,1999,1285.7
afg,2000,806.3
afg,2001,1006.7
afg,2002,1669.8
afg,2003,1458
afg,2004,1334.8
afg,2005,1790.4
afg,2006,1551.7
afg,2007,1915.3
afg,2008,1455.4
afg,2009,2040.7
afg,2010,2011.1
afg,2011,1659.9
afg,2012,2029.6
afg,2013,2048.5
afg,2014,2017.5
afg,2015,2133.7
afg,2016,1981.9
afg,2017,2025.1
afg,2018,2164.9
ago,1961,828
ago,1962,830.3
ago,1963,798.4
ago,1964,875.8
ago,1965,932
ago,1966,824.3
ago,1967,814.6
ago,1968,805.7
ago,1969,898.9
ago,1970,911.3
ago,1971,805.7
ago,1972,780.3
ago,1973,764
ago,1974,712.6
ago,1975,773.9
ago,1976,775.5
ago,1977,603.1
ago,1978,667.1
ago,1979,509.2
ago,1980,617.9
ago,1981,451.1
ago,1982,450.6
ago,1983,484.6
ago,1984,466
ago,1985,449.1
ago,1986,379.8
ago,1987,381.2
ago,1988,332.4
ago,1989,277.4
ago,1990,320.9
ago,1991,417.5
ago,1992,397.1
ago,1993,268
ago,1994,298.4
ago,1995,401.5
ago,1996,653.1
ago,1997,567.4
ago,1998,701.6
ago,1999,620.4
ago,2000,564.4
ago,2001,585.4
ago,2002,627.2
ago,2003,646.1
ago,2004,491.7
ago,2005,583.4
ago,2006,445.9
ago,2007,464.3
