global,time,se_prm_uner_ma
world,1970,48340932
world,1971,49130340
world,1972,48625632
world,1973,46169032
world,1974,46061964
world,1975,45209084
world,1976,44554544
world,1977,44294500
world,1978,45905516
world,1979,45341656
world,1980,43147508
world,1981,42035148
world,1982,41578848
world,1983,41542060
world,1984,41743400
world,1985,41234428
world,1986,40433956
world,1987,40406696
world,1988,39330424
world,1989,38484240
world,1990,39280656
world,1991,39591276
world,1992,41226504
world,1993,42259132
world,1994,43499832
world,1995,45229088
world,1996,47448544
world,1997,48261952
world,1998,46456168
world,1999,44138476
world,2000,41880400
world,2001,40415860
world,2002,39144940
world,2003,37243124
world,2004,34502844
world,2005,32073240
world,2006,31587476
world,2007,27024730
world,2008,27426988
world,2009,28775978
world,2010,28822968
world,2011,29592204
world,2012,28286754
world,2013,27424896
world,2014,28902888
world,2015,29702852
world,2016,29042490
world,2017,29304460
world,2018,28162752
world,2019,29018332
