global,time,sh_xpd_chex_gd_zs
world,2000,8.63019
world,2001,9.0266
world,2002,9.36973
world,2003,9.51744
world,2004,9.41879
world,2005,9.33834
world,2006,9.25851
world,2007,9.09943
world,2008,9.09255
world,2009,9.82473
world,2010,9.49259
world,2011,9.38089
world,2012,9.38956
world,2013,9.36631
world,2014,9.45061
world,2015,9.74292
world,2016,9.87793
world,2017,9.78255
world,2018,9.72282
world,2019,9.84452
