geo,time,sl_tlf_acti_1524_fe_zs
afg,1990,13.643
afg,1991,13.714
afg,1992,13.744
afg,1993,13.709
afg,1994,13.66
afg,1995,13.665
afg,1996,13.458
afg,1997,13.286
afg,1998,13.179
afg,1999,13.129
afg,2000,13.111
afg,2001,13.37
afg,2002,13.682
afg,2003,14.002
afg,2004,14.303
afg,2005,14.579
afg,2006,14.263
afg,2007,13.954
afg,2008,13.701
afg,2009,13.553
afg,2010,13.541
afg,2011,14.001
afg,2012,14.58
afg,2013,15.507
afg,2014,16.478
afg,2015,17.491
afg,2016,18.537
afg,2017,19.615
afg,2018,20.019
afg,2019,20.414
afg,2020,16.068
ago,1990,58.805
ago,1991,58.929
ago,1992,58.985
ago,1993,58.898
ago,1994,58.903
ago,1995,58.914
ago,1996,58.982
ago,1997,58.962
ago,1998,58.885
ago,1999,58.771
ago,2000,58.65
ago,2001,58.642
ago,2002,58.649
ago,2003,58.591
ago,2004,58.559
ago,2005,58.544
ago,2006,58.614
ago,2007,58.674
ago,2008,58.708
ago,2009,58.681
ago,2010,58.654
ago,2011,57.203
ago,2012,57.224
ago,2013,57.199
ago,2014,57.148
ago,2015,57.055
ago,2016,56.964
ago,2017,56.854
ago,2018,56.707
ago,2019,56.541
ago,2020,55.458
alb,1990,49.207
alb,1991,53.249
alb,1992,54.14
alb,1993,52.937
alb,1994,51.866
alb,1995,50.209
alb,1996,49.062
alb,1997,50.417
alb,1998,49.292
alb,1999,47.732
alb,2000,46.863
alb,2001,45.754
alb,2002,45.17
alb,2003,42.391
alb,2004,39.648
alb,2005,36.949
alb,2006,34.192
alb,2007,31.489
alb,2008,28.868
alb,2009,29.093
alb,2010,26.799
alb,2011,35.867
alb,2012,27.629
alb,2013,18.65
alb,2014,20.215
alb,2015,22.861
alb,2016,26.323
alb,2017,25.199
alb,2018,27.469
alb,2019,29.68
alb,2020,26.625
are,1990,21.744
are,1991,22.221
are,1992,22.456
are,1993,22.638
are,1994,22.454
are,1995,22.224
are,1996,22.632
are,1997,23.098
are,1998,23.616
are,1999,24.185
are,2000,24.805
are,2001,25.323
are,2002,25.983
are,2003,26.654
are,2004,27.255
are,2005,27.772
are,2006,27.739
are,2007,27.939
are,2008,28.287
are,2009,28.793
are,2010,29.481
are,2011,30.102
are,2012,30.774
are,2013,31.504
are,2014,32.271
are,2015,33.043
are,2016,33.317
are,2017,33.901
are,2018,31.732
are,2019,31.639
are,2020,28.522
arg,1990,38.923
arg,1991,39.1
arg,1992,39.25
arg,1993,39.455
arg,1994,39.565
arg,1995,39.191
arg,1996,39.324
arg,1997,39.65
arg,1998,39.771
arg,1999,39.491
arg,2000,39.419
arg,2001,39.114
arg,2002,38.435
arg,2003,38.987
arg,2004,39.55
arg,2005,36.801
arg,2006,38.269
arg,2007,36.599
arg,2008,34.954
arg,2009,34.067
arg,2010,32.55
arg,2011,32.14
arg,2012,31.52
arg,2013,30.948
arg,2014,30.242
arg,2015,30.503
arg,2016,30.765
arg,2017,31.023
arg,2018,32.528
arg,2019,32.229
arg,2020,27.505
arm,1990,27.381
arm,1991,27.301
arm,1992,27.266
arm,1993,27.273
arm,1994,27.31
arm,1995,27.363
arm,1996,27.431
arm,1997,27.504
arm,1998,27.572
arm,1999,27.625
arm,2000,27.66
arm,2001,27.688
arm,2002,27.709
arm,2003,27.725
arm,2004,27.736
arm,2005,27.74
arm,2006,27.738
arm,2007,27.728
arm,2008,27.13
arm,2009,28.271
arm,2010,28.766
arm,2011,31.274
arm,2012,31.858
arm,2013,32.442
arm,2014,33.49
arm,2015,35.844
arm,2016,30.226
arm,2017,32.7
arm,2018,31.71
arm,2019,36
arm,2020,31.736
aus,1990,68.823
aus,1991,66.67
aus,1992,66.465
aus,1993,65.701
aus,1994,68.122
aus,1995,69.527
aus,1996,69.438
aus,1997,67.466
aus,1998,67.569
aus,1999,67.944
aus,2000,68.465
aus,2001,69.078
aus,2002,68.209
aus,2003,68.991
aus,2004,69.05
aus,2005,69.544
aus,2006,69.418
aus,2007,69.611
aus,2008,69.395
aus,2009,67.68
aus,2010,67.142
aus,2011,67.414
aus,2012,66.732
aus,2013,66.227
aus,2014,66.21
aus,2015,66.694
aus,2016,66.365
aus,2017,66.37
aus,2018,67.559
aus,2019,67.991
aus,2020,66.482
aut,1990,60.169
aut,1991,60.61
aut,1992,61.765
aut,1993,58.356
aut,1994,59.149
aut,1995,58.822
aut,1996,56.298
aut,1997,55.365
aut,1998,55.391
aut,1999,54.036
aut,2000,51.335
aut,2001,50.015
aut,2002,50.888
aut,2003,49.637
aut,2004,51.084
aut,2005,54.003
aut,2006,53.963
aut,2007,55.935
aut,2008,56.086
aut,2009,56.113
aut,2010,53.898
aut,2011,54.694
aut,2012,55.279
aut,2013,55.203
aut,2014,55.29
aut,2015,54.075
aut,2016,54.559
aut,2017,53.649
aut,2018,53.704
aut,2019,52.388
aut,2020,52.676
aze,1990,49.356
aze,1991,49.51
aze,1992,52.618
aze,1993,55.825
aze,1994,58.513
aze,1995,60.088
aze,1996,60.056
aze,1997,59.528
aze,1998,58.558
aze,1999,57.862
aze,2000,56.769
aze,2001,52.371
aze,2002,51.677
aze,2003,48.732
aze,2004,43.865
aze,2005,45.79
aze,2006,43.419
aze,2007,39.379
aze,2008,35.66
aze,2009,37.887
aze,2010,41.749
aze,2011,32.435
aze,2012,32.18
aze,2013,33.581
aze,2014,34.477
aze,2015,36.252
aze,2016,39.166
aze,2017,41.422
aze,2018,43.532
aze,2019,43.053
aze,2020,38.094
bdi,1990,84.538
bdi,1991,83.284
bdi,1992,81.981
bdi,1993,80.638
bdi,1994,79.265
bdi,1995,77.87
bdi,1996,76.41
bdi,1997,74.922
bdi,1998,73.411
bdi,1999,72.792
bdi,2000,72.182
bdi,2001,71.509
bdi,2002,70.811
bdi,2003,70.08
bdi,2004,69.306
bdi,2005,68.482
bdi,2006,67.598
bdi,2007,66.664
bdi,2008,65.679
bdi,2009,64.638
bdi,2010,63.542
bdi,2011,62.395
bdi,2012,61.205
bdi,2013,59.988
bdi,2014,58.76
bdi,2015,58.611
bdi,2016,58.461
bdi,2017,58.304
bdi,2018,58.146
bdi,2019,57.993
bdi,2020,56.964
bel,1990,33.989
bel,1991,35.325
bel,1992,35.666
bel,1993,32.625
bel,1994,32.943
bel,1995,31.642
bel,1996,29.843
bel,1997,29.269
bel,1998,29.356
bel,1999,30.063
bel,2000,32.583
bel,2001,29.901
bel,2002,30.192
bel,2003,28.783
bel,2004,32.145
bel,2005,32.308
bel,2006,31.927
bel,2007,31.557
bel,2008,30.769
bel,2009,29.918
bel,2010,29.767
bel,2011,29.783
bel,2012,27.914
bel,2013,28.249
bel,2014,28.086
bel,2015,27.117
bel,2016,26.146
bel,2017,25.405
bel,2018,27.707
bel,2019,29.401
bel,2020,26.459
ben,1990,54.561
ben,1991,54.578
ben,1992,54.528
ben,1993,54.744
ben,1994,54.998
ben,1995,55.292
ben,1996,55.631
ben,1997,56.015
ben,1998,56.444
ben,1999,56.919
ben,2000,57.442
ben,2001,58.015
ben,2002,58.635
ben,2003,57.459
ben,2004,56.297
ben,2005,55.146
ben,2006,54.003
ben,2007,52.87
ben,2008,51.745
ben,2009,50.628
ben,2010,49.516
ben,2011,48.407
ben,2012,48.28
ben,2013,48.146
ben,2014,47.98
ben,2015,47.748
ben,2016,47.562
ben,2017,47.367
ben,2018,47.154
ben,2019,46.919
ben,2020,46.102
bfa,1990,74.48
bfa,1991,74.683
bfa,1992,73.681
bfa,1993,72.652
bfa,1994,71.597
bfa,1995,70.516
bfa,1996,69.412
bfa,1997,68.284
bfa,1998,67.131
bfa,1999,65.951
bfa,2000,64.745
bfa,2001,63.518
bfa,2002,62.269
bfa,2003,60.999
bfa,2004,59.709
bfa,2005,58.403
bfa,2006,57.086
bfa,2007,55.579
bfa,2008,54.064
bfa,2009,52.542
bfa,2010,51.017
bfa,2011,49.49
bfa,2012,47.965
bfa,2013,46.443
bfa,2014,44.926
bfa,2015,44.767
bfa,2016,44.63
bfa,2017,44.478
bfa,2018,44.309
bfa,2019,44.102
bfa,2020,43.375
bgd,1990,22.767
bgd,1991,22.718
bgd,1992,22.739
bgd,1993,22.82
bgd,1994,22.951
bgd,1995,23.122
bgd,1996,23.129
bgd,1997,23.181
bgd,1998,23.253
bgd,1999,23.313
bgd,2000,23.339
bgd,2001,23.278
bgd,2002,23.211
bgd,2003,23.124
bgd,2004,23.011
bgd,2005,22.878
bgd,2006,22.604
bgd,2007,22.678
bgd,2008,22.745
bgd,2009,22.803
bgd,2010,22.853
bgd,2011,22.915
bgd,2012,22.977
bgd,2013,23.037
bgd,2014,23.1
bgd,2015,23.17
bgd,2016,23.269
bgd,2017,26.188
bgd,2018,26.257
bgd,2019,26.202
bgd,2020,23.928
bgr,1990,48.237
bgr,1991,49.393
bgr,1992,50.348
bgr,1993,47.036
bgr,1994,43.74
bgr,1995,40.477
bgr,1996,37.27
bgr,1997,34.134
bgr,1998,31.088
bgr,1999,28.158
bgr,2000,25.363
bgr,2001,32.444
bgr,2002,28.465
bgr,2003,25.585
bgr,2004,25.521
bgr,2005,24.429
bgr,2006,26.26
bgr,2007,25.86
bgr,2008,26.006
bgr,2009,24.75
bgr,2010,26.565
bgr,2011,24.786
bgr,2012,25.296
bgr,2013,24.678
bgr,2014,22.626
bgr,2015,21.152
bgr,2016,19.54
bgr,2017,21.812
bgr,2018,19.274
bgr,2019,20.017
bgr,2020,18.212
bhr,1990,23.996
bhr,1991,23.609
bhr,1992,23.649
bhr,1993,23.935
bhr,1994,24.26
bhr,1995,24.542
bhr,1996,24.754
bhr,1997,24.949
bhr,1998,25.149
bhr,1999,25.428
bhr,2000,25.733
