global,time,ic_tax_durs
world,2005,301.97239
world,2006,299.95808
world,2007,291.82647
world,2008,276.38275
world,2009,263.02006
world,2010,258.38547
world,2011,253.13506
world,2012,247.52809
world,2013,260.99627
world,2014,257.14971
world,2015,254.86796
world,2016,243.76347
world,2017,238.74865
world,2018,235.04366
world,2019,233.36445
