global,time,ms_mil_xpnd_zs
world,1995,5.18406
world,1996,5.27687
world,1997,5.43869
world,2000,5.4283
world,2001,6.70841
world,2002,6.84151
world,2003,6.88584
world,2004,6.97977
world,2005,7.00263
world,2006,7.04602
world,2007,6.8883
world,2008,6.66739
world,2009,6.63324
world,2010,6.705
world,2011,6.49356
world,2012,6.50453
world,2013,6.42857
world,2014,6.34206
world,2015,6.49407
world,2016,6.27515
world,2017,6.27435
world,2018,6.09443
world,2019,6.09986
world,2020,5.46145
