geo,time,se_sec_enrl_vo
abw,1999,1125
abw,2000,939
abw,2001,1076
abw,2002,1198
abw,2003,1321
abw,2004,1163
abw,2005,1128
abw,2006,1128
abw,2007,1514
abw,2008,1349
abw,2009,1238
abw,2010,1142
abw,2011,1097
abw,2012,1088
afg,1970,8565
afg,1971,6907
afg,1972,6072
afg,1973,5882
afg,1974,5400
afg,1975,5960
afg,1976,7898
afg,1977,12192
afg,1978,14143
afg,1979,16784
afg,1980,12410
afg,1981,14532
afg,1982,0
afg,1984,0
afg,1985,0
afg,1986,0
afg,1988,0
afg,1989,0
afg,1990,0
afg,1991,0
afg,1993,0
afg,1994,0
afg,1995,0
afg,2001,0
afg,2003,1893
afg,2004,2765
afg,2005,9011
afg,2007,7400
afg,2008,9716
afg,2009,22711
afg,2011,18085
afg,2012,23419
afg,2013,29520
afg,2014,25019
afg,2015,26986
afg,2016,25629
afg,2017,23766
afg,2018,21902
ago,1971,13863
ago,1972,15632
ago,1973,20123
ago,1980,3009
ago,1981,4798
ago,1982,5206
ago,1983,7060
ago,1984,6866
ago,1985,7147
ago,1986,8745
ago,1987,9774
ago,1988,10662
ago,1989,12194
ago,1990,15899
ago,1991,20624
ago,1992,22888
ago,1998,44334
ago,1999,58196
ago,2000,70260
ago,2001,76540
ago,2002,95096
ago,2008,252481
ago,2009,302868
ago,2010,362805
ago,2011,400265
ago,2016,287600
alb,1976,77723
alb,1978,99444
alb,1979,113981
alb,1980,126529
alb,1981,133086
alb,1982,121240
alb,1983,118293
alb,1984,123748
alb,1985,123797
alb,1986,135546
alb,1987,133552
alb,1988,135051
alb,1989,135207
alb,1990,139822
alb,1991,138185
alb,1994,30032
alb,1995,20614
alb,1998,15560
alb,1999,15133
alb,2000,14501
alb,2001,16387
alb,2002,18495
alb,2003,20291
alb,2004,24029
alb,2006,29249
alb,2007,30151
alb,2008,29652
alb,2009,21658
alb,2010,20006
alb,2011,18697
alb,2012,19180
alb,2013,24288
alb,2014,26681
alb,2015,22801
alb,2016,21424
alb,2017,20981
alb,2018,20605
and,1971,0
and,1972,0
and,1973,0
and,1974,0
and,1975,0
and,1976,0
and,1983,0
and,2002,215
and,2003,219
and,2004,222
and,2005,231
and,2006,246
and,2007,245
and,2008,262
and,2009,312
and,2010,367
and,2011,370
and,2012,325
and,2013,318
and,2014,363
and,2015,391
and,2016,419
and,2017,439
and,2018,488
are,1971,614
are,1972,711
are,1973,538
are,1974,428
are,1975,420
are,1976,414
are,1977,317
are,1978,295
are,1979,284
are,1980,392
are,1981,422
