global,time,ne_con_totl_kd_zg
world,1971,4.36961
world,1972,5.28736
world,1973,4.92604
world,1974,1.82249
world,1975,3.06246
world,1976,4.25792
world,1977,3.27903
world,1978,3.77964
world,1979,3.56869
world,1980,1.93682
world,1981,1.73465
world,1982,1.5502
world,1983,2.96009
world,1984,3.10329
world,1985,3.55165
world,1986,3.63359
world,1987,3.21533
world,1988,3.56321
world,1989,2.99274
world,1990,2.95839
world,1991,1.59141
world,1992,2.47504
world,1993,1.77846
world,1994,2.5862
world,1995,2.34533
world,1996,3.22997
world,1997,3.05064
world,1998,3.16524
world,1999,3.8774
world,2000,4.00376
world,2001,2.90512
world,2002,2.79866
world,2003,2.76468
world,2004,3.50733
world,2005,3.73214
world,2006,3.44766
world,2007,4.02884
world,2008,2.05487
world,2009,0.93053
world,2010,2.88667
world,2011,2.71836
world,2012,2.18359
world,2013,2.40163
world,2014,2.59241
world,2015,2.87556
world,2016,2.82675
world,2017,2.98077
world,2018,3.17305
world,2019,2.64285
world,2020,-3.46497
