geo,time,se_sec_tcaq_fe_zs
swz,2005,99.18616
swz,2006,99.14848
swz,2009,77.5
swz,2010,69.79211
swz,2011,72.15887
swz,2012,73.3358
swz,2013,74.91289
swz,2015,71.94813
syc,1998,89.49153
syc,1999,89.24051
syc,2000,92.22973
syc,2001,82.07885
syc,2003,88.31169
syc,2012,78.14208
syc,2013,85.55556
syc,2014,87.02065
syc,2015,98.88889
syc,2016,89.71722
syc,2017,90.43928
syc,2018,100
syc,2019,90.25641
syc,2020,91.25
tca,1999,100
tca,2000,43.20988
tca,2003,96.62921
tca,2017,99.41176
tca,2018,98.10127
tcd,2016,44.1308
tha,2015,100
tha,2017,100
tha,2018,100
tha,2019,100
tha,2020,100
ton,1998,89.819
ton,2013,68.10207
ton,2014,59.15916
ton,2015,58.37321
tun,2017,100
tun,2018,100
tun,2020,100
tuv,2016,48
tuv,2018,63.76812
tuv,2019,57.44681
tuv,2020,58.97436
uga,2010,90.6408
uga,2012,96.29705
uga,2013,86.77357
uga,2014,86.0144
uga,2015,79.02896
uga,2016,93.05835
uga,2017,85.63193
ukr,2018,92.32446
ukr,2020,93.33544
uzb,2006,100
uzb,2007,100
uzb,2008,100
uzb,2009,100
uzb,2010,100
uzb,2011,100
uzb,2017,97.87843
uzb,2018,97.64834
uzb,2019,98.99421
uzb,2020,99.63306
vct,2000,46.75325
vct,2001,56.46552
vct,2002,46.61355
vct,2003,46.51163
vct,2004,50.74627
vct,2007,31.42857
vct,2008,59.04255
vct,2009,59.00901
vct,2010,62.70023
vct,2011,61.98157
vct,2012,60.71429
vct,2013,61.75824
vct,2014,51.93622
vct,2015,59.95624
vct,2016,56.90377
vct,2017,63.44538
vct,2018,60.16598
vct,2019,64.69388
vgb,1999,66.41221
vgb,2003,76.57658
vgb,2015,83.13253
vgb,2018,98.8024
vgb,2019,72.51462
vgb,2020,75.29412
vut,2010,62.99694
vut,2011,66.29213
vut,2012,59.5
vut,2014,72.41379
vut,2015,71.49758
vut,2016,92.07317
vut,2017,80.13857
zmb,2010,76.94637
zmb,2012,75.54113
zmb,2013,77.60729
zmb,2014,79.77095
zmb,2015,81.72075
zmb,2016,83.92589
zwe,2012,75.14473
zwe,2013,75.07447
zwe,2014,75.95807
zwe,2015,78.01091
zwe,2016,82.42041
zwe,2017,86.24271
zwe,2018,88.03737
zwe,2019,89.57305
