geo,time,se_sec_tchr_fe_zs
abw,1999,49.36709
abw,2000,49.38272
abw,2001,50.58548
abw,2002,48.77506
abw,2003,49.89154
abw,2004,50.73069
abw,2005,51.79283
abw,2006,54.44015
abw,2007,56.53775
abw,2008,56.93694
abw,2009,57.32369
abw,2010,59.21053
abw,2011,59.4697
abw,2012,59.27928
afg,1970,12.30831
afg,1971,13.22023
afg,1972,13.05827
afg,1973,13.19935
afg,1974,12.24256
afg,1990,44.43991
afg,1993,52.39396
afg,1994,34.43127
afg,2007,27.58631
afg,2015,33.02583
afg,2016,34.18972
afg,2017,34.35923
afg,2018,35.62986
ago,1998,32.51707
ago,1999,32.51657
ago,2000,30.07216
ago,2001,30.0165
ago,2015,29.00946
ago,2016,29.08404
alb,1997,51.90279
alb,2000,53.94607
alb,2001,54.10682
alb,2003,56.10061
alb,2008,61.21943
alb,2009,61.44003
alb,2010,62.08371
alb,2011,63.21573
alb,2012,63.55535
alb,2013,64.61591
alb,2014,64.66501
alb,2015,65.46787
alb,2016,65.13163
alb,2017,65.92179
alb,2018,66.64029
alb,2019,67.17216
alb,2020,67.97824
and,2002,54.27873
and,2003,56.36364
and,2004,58.04348
and,2005,59.3361
and,2013,61.69429
and,2014,63.52705
and,2015,63.23529
and,2016,63.55476
and,2017,61.90476
and,2018,67.49556
and,2019,67.49117
and,2020,63.23024
are,1979,41.36974
are,1980,42.40899
are,1983,46.01449
are,1984,47.09505
are,1985,48.35669
are,1986,49.02053
are,1987,50.99492
are,1988,51.21805
are,1989,53.76
are,1990,53.79564
are,1991,54.81611
are,1992,55.72641
are,1993,55.7654
are,1994,55.54696
are,1995,55.48223
are,2016,67.9391
are,2019,74.42775
are,2020,72.44646
arg,1970,61.85351
arg,1971,61.74666
arg,1972,61.78318
arg,1973,61.91079
arg,1974,62.363
arg,1975,62.53344
arg,1976,62.17001
arg,1977,63.58785
arg,1978,63.79702
arg,1979,63.61505
arg,1983,65.34402
arg,1984,65.48857
arg,1985,65.69865
arg,1986,66.52422
arg,1987,66.48683
arg,1988,66.89564
arg,1994,65.60884
arg,1998,69.01915
arg,2000,69.01931
arg,2001,66.04064
arg,2002,66.03232
arg,2003,66.99046
arg,2004,67.85429
arg,2005,67.55423
arg,2006,69.10342
arg,2007,68.64826
arg,2008,68.3211
arm,1991,79.0003
arm,1994,44.20028
arm,1996,78.99909
arm,2018,79.87445
arm,2019,88.03252
arm,2020,88.04121
asm,1972,15
asm,1973,14.4
asm,1974,14.4
asm,1975,14.4
asm,1977,14.4
asm,1978,14.72868
asm,1979,14.72868
asm,1980,14.72868
asm,1984,27.58621
asm,1985,33.55705
asm,1986,35.96059
asm,1987,36.40351
asm,1988,39.82684
asm,1989,39.90826
asm,1990,39.18919
asm,1991,39.13043
asm,1992,38.7218
atg,1972,51.91489
atg,1974,61.04294
atg,1975,57.02479
atg,1976,62.9393
atg,1977,62.84916
atg,1978,81.08108
atg,2000,70.55838
atg,2009,68.58407
atg,2010,71.75793
atg,2011,70.96317
atg,2012,68.18811
atg,2014,72.7003
atg,2015,72.89586
atg,2017,74.04674
atg,2018,73.13609
aus,1971,48.12102
aus,1973,46.88473
aus,1974,46.75255
aus,1975,46.54583
aus,1976,46.2338
aus,1977,46.07434
aus,1978,45.67776
aus,1979,45.39271
aus,1980,45.23553
aus,1981,45.14381
aus,1984,48.22246
aus,1985,48.09589
aus,1986,47.29862
aus,1987,48.02218
aus,1988,48.32172
aus,1989,48.80133
aus,1990,50.091
aus,1991,50.41507
aus,1992,50.62914
aut,1971,42.56179
aut,1973,46.49308
aut,1974,46.5556
aut,1978,49.13715
aut,1979,51.21647
aut,1980,51.71146
aut,1981,49.04806
aut,1982,49.83797
aut,1983,50.84137
aut,1984,51.29896
aut,1985,52.26381
aut,1986,52.53466
aut,1987,52.91007
aut,1988,53.45875
aut,1989,53.61403
aut,1990,53.91019
aut,1991,54.3299
aut,1992,54.7093
aut,1993,55.79402
aut,1994,56.34372
aut,1995,56.65487
aut,1996,55.4286
aut,1997,55.61236
aut,1998,55.73676
aut,1999,57.48788
aut,2002,59.72898
aut,2003,59.86176
aut,2004,60.8347
aut,2005,61.19772
aut,2006,61.70683
aut,2007,61.93836
aut,2008,61.81646
aut,2009,62.25034
aut,2010,62.77489
aut,2011,63.27421
aut,2012,63.61487
aut,2013,63.86576
aut,2014,64.64917
aut,2015,65.13131
aut,2016,65.35879
aut,2017,65.55447
aut,2019,65.69491
aze,2016,72.90177
aze,2017,73.11705
aze,2018,74.35654
aze,2019,74.7903
aze,2020,75.54733
bdi,1972,19.38776
bdi,1973,20.60703
bdi,1974,17.34007
bdi,1976,21.34063
bdi,1977,20.75257
bdi,1978,20.67465
bdi,1982,18.2684
bdi,1983,20.40977
bdi,1984,21.62698
bdi,1985,20.86375
bdi,1986,20.65982
bdi,1987,20.1782
bdi,1989,20.34261
bdi,1990,20.48305
bdi,1991,21.17473
bdi,1992,20.75984
bdi,1993,20.25761
bdi,2003,20.78775
bdi,2004,20.94482
bdi,2005,21.08562
bdi,2006,23.02806
bdi,2007,24.41008
bdi,2009,18.53144
bdi,2010,19.78714
bdi,2011,20.3578
bdi,2012,20.82597
bdi,2013,20.38829
bdi,2014,22.90563
bdi,2015,20.88048
bdi,2016,21.34417
bdi,2017,25.90922
bdi,2018,25.57938
bdi,2019,25.67872
bel,1972,43.33165
bel,1973,43.07902
bel,1974,43.11167
bel,1977,47.57623
bel,1987,51.33992
bel,1988,52.81345
bel,1989,51.64465
bel,1990,52.2075
bel,1991,52.52604
bel,1992,53.12073
bel,1993,52.98677
bel,1994,53.149
bel,2013,62.42307
bel,2014,62.64864
bel,2015,62.94362
bel,2016,63.00711
bel,2017,63.05067
bel,2018,63.28133
bel,2019,63.44183
ben,1971,15.37468
ben,1977,18.82041
ben,1999,12.19404
ben,2000,12.27175
ben,2001,11.39059
ben,2003,11.53543
ben,2004,12.29702
ben,2013,10.64662
ben,2014,11.0417
ben,2015,12.12111
ben,2016,9.95451
ben,2020,11.9258
bfa,1976,29.2176
bfa,1983,30.73742
bfa,2003,11.09935
bfa,2006,16.92279
bfa,2007,16.71467
bfa,2008,16.85763
bfa,2009,16.0046
bfa,2010,16.77728
bfa,2011,16.27428
bfa,2012,16.51612
bfa,2013,16.36139
bfa,2014,16.4425
bfa,2015,16.53097
bfa,2016,16.27701
bfa,2017,16.9778
bfa,2018,17.00868
bfa,2019,17.36258
bfa,2020,17.12137
bgd,1973,9.8585
bgd,1979,6.58763
bgd,1980,6.69097
bgd,1985,8.49601
bgd,1986,9.56796
bgd,1987,9.98054
bgd,1988,9.68339
bgd,1989,9.52651
bgd,1990,9.55105
bgd,1998,12.63786
bgd,1999,13.37032
bgd,2000,13.52326
bgd,2001,14.64878
bgd,2002,14.45076
bgd,2003,16.00421
bgd,2004,18.08891
bgd,2005,17.22996
bgd,2006,19.55984
bgd,2007,19.7672
bgd,2008,19.53452
bgd,2009,19.95053
bgd,2010,19.5842
bgd,2011,21.54072
bgd,2012,20.80392
bgd,2013,20.79908
bgd,2016,22.37854
bgd,2017,22.01056
bgd,2018,22.41167
bgd,2020,26.19136
bgr,1996,71.23772
bgr,1997,72.36018
bgr,1998,73.26577
bgr,2000,75.57141
bgr,2001,76.57699
bgr,2002,75.67111
bgr,2003,77.06444
bgr,2004,77.1928
bgr,2005,77.24661
bgr,2006,77.48941
bgr,2007,77.8465
bgr,2008,78.56286
bgr,2009,78.71821
bgr,2010,79.10024
bgr,2011,79.17851
bgr,2012,79.26623
bgr,2013,79.44683
bgr,2014,79.30604
bgr,2016,78.59441
bgr,2017,78.33813
bgr,2018,78.41176
bgr,2019,78.48156
bhr,1977,46.77835
bhr,1978,45.37915
bhr,1981,50.92905
bhr,1982,50.06993
bhr,1983,49.33575
bhr,1984,50.93819
bhr,1985,49.24123
bhr,1987,46.82193
bhr,1988,47.04846
bhr,1990,48.26535
bhr,1991,49.96353
bhr,1992,50.32456
bhr,1993,51.05364
bhr,1994,50.34744
bhr,1995,50.56
bhr,2012,59.68078
bhr,2013,58.14032
bhr,2014,58.21843
bhr,2015,57.20077
bhr,2016,56.57114
bhr,2017,57.18439
bhr,2018,58.49447
bhr,2019,59.01472
bhr,2020,59.34033
bhs,1973,55.47753
bhs,1985,47.99107
bhs,1994,69.40845
bhs,1995,67.44017
bhs,1997,64.20118
bhs,2002,66.60422
bhs,2004,67.75379
bhs,2005,72.55814
bhs,2006,58.57757
bhs,2007,69.58393
bhs,2008,70.39764
bhs,2009,70.17986
bhs,2010,76.41875
bhs,2011,72.02421
bhs,2012,69.4673
bhs,2013,70.85902
bhs,2014,69.41594
bhs,2015,73.72998
bhs,2016,70.54681
bhs,2017,73.72998
bhs,2018,73.76973
bih,2013,60.16568
bih,2014,60.50465
bih,2015,60.69695
bih,2016,60.79251
bih,2017,61.13634
bih,2018,61.80164
bih,2019,62.38146
bih,2020,62.78859
blr,1972,69.65466
blr,1973,69.59374
blr,1974,69.55817
blr,1975,69.52279
blr,1976,69.5584
blr,1977,69.42145
blr,1978,69.34619
blr,1980,69.33896
blr,2013,80.55409
blr,2014,80.77205
blr,2015,80.77193
blr,2016,80.55091
blr,2017,80.21528
blr,2018,80.08439
blz,1999,62.40353
blz,2000,64.05622
blz,2001,64.72795
blz,2003,64.67213
blz,2004,63.28534
blz,2005,63.09371
blz,2006,58.12751
blz,2007,60.85746
blz,2008,59.23706
blz,2009,59.73615
blz,2010,60.19517
blz,2011,60.29126
blz,2012,61.39122
blz,2013,61.53119
blz,2015,62.9199
blz,2016,63.40807
blz,2017,62.59892
blz,2018,62.90924
blz,2019,63.68098
blz,2020,62.63781
bmu,1971,51.82724
bmu,1972,37.42138
bmu,1974,50.31056
bmu,1975,53.53846
bmu,1977,53.64807
bmu,1978,51.23762
bmu,2001,66.51163
bmu,2002,67.28111
bmu,2003,67.83115
bmu,2004,65.57143
bmu,2005,66.86217
bmu,2006,67.46988
bmu,2010,73.09091
bmu,2011,66.86567
bmu,2012,64.59909
bmu,2013,67.64331
bmu,2014,69.82968
bmu,2016,67.41071
bol,1999,51.95451
bol,2013,50.85819
bol,2014,51.37216
bol,2015,51.85393
bol,2016,52.11467
bol,2017,52.05373
bol,2018,51.99394
bra,1970,53.29961
bra,2002,79.45621
bra,2003,81.81163
bra,2004,80.02953
bra,2005,81.13593
bra,2007,69.10348
bra,2008,68.23362
bra,2009,68.04207
bra,2010,67.07278
bra,2011,66.29653
bra,2012,65.71754
bra,2013,65.58739
bra,2014,65.15714
bra,2015,64.80649
bra,2016,64.26245
bra,2017,63.63696
bra,2018,63.15001
bra,2019,62.32731
brb,1985,45.06556
brb,1989,53.81499
brb,1990,55.31046
brb,1999,57.72358
brb,2000,57.61317
brb,2001,56.44628
brb,2002,59.12519
brb,2003,58.9428
brb,2004,56.64557
brb,2005,56.89911
brb,2006,58.81119
brb,2015,62.96928
brb,2016,63.49497
brb,2017,65.26892
brb,2018,65.9945
brb,2019,64.01099
brb,2020,64.16526
brn,1970,25.48673
brn,1971,28.44702
brn,1972,25.94458
brn,1973,28.5545
brn,1974,30.38417
brn,1975,36.70077
brn,1976,29.77473
brn,1977,32.30047
brn,1978,31.28295
brn,1979,33.38558
brn,1980,33.8995
brn,1981,34.91547
brn,1984,30.76069
brn,1991,44.75138
brn,1992,45.90747
brn,1993,45.10056
brn,1994,43.34853
brn,1995,44.09361
brn,1996,47.01114
brn,1998,47.48131
brn,1999,47.776
brn,2000,50
brn,2001,51.4658
brn,2002,52.67883
brn,2003,54.84728
brn,2004,55.83756
brn,2005,58.09195
brn,2006,59.20094
brn,2007,59.99064
brn,2008,61.41023
brn,2009,63.20365
brn,2011,65.29962
brn,2012,65.79353
brn,2013,66.76094
brn,2014,66.78485
brn,2015,67.88854
brn,2016,67.68739
brn,2017,68.614
brn,2018,68.29863
brn,2019,69.18805
brn,2020,68.02768
btn,1999,32.08092
btn,2005,31.02068
btn,2006,39.76722
btn,2008,33.13582
btn,2009,48.95947
btn,2010,41.24777
btn,2011,38.44895
btn,2012,39.25346
btn,2013,40.69325
btn,2014,39.22173
btn,2015,41.13417
btn,2016,41.47352
btn,2017,41.79192
