geo,time,sh_xpd_ghed_pc_cd
bel,2010,3455.36397
bel,2011,3762.45015
bel,2012,3603.06503
bel,2013,3765.96692
bel,2014,3871.98093
bel,2015,3257.5653
bel,2016,3501.82487
bel,2017,3692.65746
bel,2018,3944.48729
bel,2019,3808.43817
ben,2000,4.13761
ben,2001,4.8031
ben,2002,4.172
ben,2003,4.72825
ben,2004,5.8441
ben,2005,5.61846
ben,2006,6.15901
ben,2007,5.75803
ben,2008,6.33502
ben,2009,8.13668
ben,2010,7.50893
ben,2011,8.99635
ben,2012,8.55101
ben,2013,9.5671
ben,2014,7.42984
ben,2015,6.30409
ben,2016,6.25093
ben,2017,9.25649
ben,2018,6.09103
ben,2019,6.59708
bfa,2000,2.45821
bfa,2001,2.59517
bfa,2002,3.11753
bfa,2003,3.67205
bfa,2004,7.11148
bfa,2005,5.59985
bfa,2006,6.77496
bfa,2007,7.66278
bfa,2008,8.75747
bfa,2009,10.24757
bfa,2010,8.46274
bfa,2011,10.1123
bfa,2012,8.06892
bfa,2013,12.69689
bfa,2014,12.89844
bfa,2015,9.51367
bfa,2016,16.42738
bfa,2017,19.27521
bfa,2018,17.11736
bfa,2019,17.70577
bgd,2000,2.45598
bgd,2001,1.84568
bgd,2002,2.30798
bgd,2003,2.56999
bgd,2004,2.70856
bgd,2005,2.57636
bgd,2006,2.84802
bgd,2007,3.2748
bgd,2008,3.37194
bgd,2009,3.6486
bgd,2010,4.37442
bgd,2011,4.7799
bgd,2012,4.80208
bgd,2013,5.26288
bgd,2014,5.66213
bgd,2015,5.79152
bgd,2016,5.67698
bgd,2017,6.24579
bgd,2018,7.11579
bgd,2019,8.54124
bgr,2000,56.27174
bgr,2001,67.18396
bgr,2002,87.91287
bgr,2003,118.84365
bgr,2004,138.53304
bgr,2005,159.49854
bgr,2006,163.76175
bgr,2007,201.38201
bgr,2008,252.367
bgr,2009,247.12506
bgr,2010,267.77278
bgr,2011,300.93875
bgr,2012,283.79799
bgr,2013,309.65639
bgr,2014,352.4943
bgr,2015,291.45916
bgr,2016,310.03734
bgr,2017,343.09524
bgr,2018,397.63744
bgr,2019,412.84511
bhr,2000,320.71233
bhr,2001,324.3404
bhr,2002,335.61868
bhr,2003,354.13611
bhr,2004,357.5717
bhr,2005,385.61803
bhr,2006,407.66982
