geo,time,se_pre_enrr_ma
abw,1999,95.11019
abw,2000,98.38275
abw,2001,97.4
abw,2002,100
abw,2003,100.47361
abw,2004,96.9697
abw,2005,101.05634
abw,2006,109.94953
abw,2007,106.24093
abw,2008,101.09329
abw,2009,101.74927
abw,2010,105.73295
abw,2011,100
abw,2012,106.72451
abw,2013,106.27737
abw,2014,106.93727
abw,2015,104.73684
afg,1970,0.31523
afg,1975,0.4966
afg,1977,1.01638
afg,1980,1.16466
afg,1981,1.31888
afg,1982,1.25843
afg,1984,3.46851
afg,1985,4.77229
afg,1986,4.25708
afg,1988,5.11549
afg,2003,3.44001
ago,1981,50.76593
ago,1982,38.18412
ago,1986,23.67293
ago,1987,21.77783
ago,1988,19.73941
ago,1989,18.74989
ago,1990,16.5565
ago,1991,16.72226
ago,1992,18.84605
ago,1998,25.57007
ago,1999,28.67053
ago,2007,124.4873
ago,2008,111.35933
ago,2009,98.89659
ago,2010,85.72018
ago,2011,59.87823
ago,2016,41.89328
alb,1991,56.02653
alb,1992,46.51097
alb,1993,34.7793
alb,1994,35.03547
alb,1995,36.02395
alb,1996,38.80498
alb,1997,40.11373
alb,1999,40.62718
alb,2001,42.9776
alb,2003,46.84538
alb,2004,48.9365
alb,2005,50.94156
alb,2006,53.35505
alb,2007,54.62926
alb,2008,57.95473
alb,2009,61.17151
alb,2010,64.31346
alb,2011,68.89207
alb,2012,75.82705
alb,2013,79.94115
alb,2014,81.94647
alb,2015,85.17571
alb,2016,86.53592
alb,2017,82.81608
alb,2018,80.23322
alb,2019,75.91484
alb,2020,75.14298
and,1975,126.50602
and,1983,162.14876
are,1973,22.85141
are,1976,30.90773
are,1977,31.43987
are,1978,31.99546
are,1979,27.15816
are,1980,33.84608
are,1981,38.97682
are,1982,48.40096
are,1983,56.19846
are,1984,52.13023
are,1985,53.00151
are,1986,52.5499
are,1987,52.6982
are,1988,56.47781
are,1989,59.63231
are,1990,59.28418
are,1991,55.12573
are,1992,55.80761
are,1993,58.16539
are,1994,61.78364
are,1995,61.97008
are,1996,61.5248
are,1997,58.17977
are,1998,59.61654
are,1999,62.01578
are,2000,61.13767
are,2001,60.11126
are,2002,66.93107
are,2003,75.89977
are,2004,81.19051
are,2005,82.96854
are,2006,80.75961
are,2007,86.50557
are,2009,84.5539
are,2010,84.40757
are,2011,85.74867
are,2012,80.46083
are,2013,80.66176
are,2014,88.54041
are,2015,80.71192
are,2019,99.75172
are,2020,94.14677
arg,1970,22.83699
arg,1971,24.43576
arg,1972,26.08872
arg,1973,28.65689
arg,1974,30.78168
arg,1975,35.00346
arg,1976,37.10951
arg,1977,38.71186
arg,1981,41.4833
arg,1982,43.36032
arg,1983,44.36077
arg,1984,47.41655
arg,1985,49.76304
arg,1986,52.17361
arg,1987,57.00395
arg,1988,59.44723
arg,1996,51.03078
arg,1997,52.67564
arg,1998,54.21676
arg,1999,54.88128
arg,2000,58.22506
arg,2001,59.09358
arg,2002,59.76678
arg,2003,60.28069
arg,2004,61.89193
arg,2005,63.18005
arg,2006,63.20575
arg,2007,64.06151
arg,2008,65.93786
arg,2009,67.43721
arg,2010,68.38039
arg,2011,68.33667
arg,2012,69.96003
arg,2013,71.67487
arg,2014,72.66288
arg,2015,74.15027
arg,2016,74.78226
arg,2017,75.55777
arg,2018,76.60599
arg,2019,77.22287
arm,2015,35.27957
arm,2016,33.22074
arm,2017,35.48923
arm,2018,36.57668
arm,2019,38.55135
arm,2020,46.36509
asm,1981,76.14476
asm,1984,56.30355
asm,1985,57.53666
asm,1986,59.71831
asm,1987,64.99172
asm,1988,67.28767
asm,1989,78.66885
asm,1990,75.29162
atg,1975,15.44532
atg,1976,27.93522
atg,1977,21.42857
atg,1978,29.42943
atg,1979,24.89323
atg,1984,20.88353
atg,2007,82.73684
atg,2008,85.07779
atg,2010,94.49339
atg,2011,88.69888
atg,2012,97.09091
atg,2013,94.6733
atg,2014,92.94693
atg,2016,71.96328
atg,2017,68.87509
atg,2018,66.59919
aus,1971,74.28317
aus,1974,73.96315
aus,1975,76.01721
aus,1976,81.53298
aus,1977,80.60671
aus,1978,76.74861
aus,1979,68.01231
aus,1980,65.53542
aus,1981,64.90669
aus,1982,66.15018
aus,1983,68.75722
aus,1984,69.66229
aus,1985,72.3938
aus,1986,73.54567
aus,1987,73.06044
aus,1988,71.74697
aus,1989,71.12885
aus,1990,70.69437
aus,1991,70.54033
aus,1992,70.6423
aus,1993,71.05652
aus,1994,72.60601
aus,2001,102.39494
aus,2002,100.42824
aus,2003,81.97325
aus,2004,83.71763
aus,2005,86.33977
aus,2006,83.78526
aus,2007,82.60455
aus,2008,82.63359
aus,2009,82.14108
aus,2010,79.4074
aus,2013,110.10998
aus,2014,115.11814
aus,2015,126.21588
aus,2016,170.45859
aus,2017,167.74548
aus,2018,169.29346
aus,2019,169.48991
aut,1971,30.77089
aut,1972,33.08407
aut,1973,35.44525
aut,1974,38.8049
aut,1975,41.79454
aut,1976,45.1273
aut,1977,48.11184
aut,1978,53.4979
aut,1979,58.08688
aut,1980,60.80129
aut,1981,61.74212
aut,1982,62.89055
aut,1983,64.06223
aut,1984,65.8248
aut,1985,68.30724
aut,1986,71.98719
aut,1987,73.99146
aut,1988,72.80963
aut,1989,71.05424
aut,1990,71.69295
aut,1991,72.38706
aut,1992,73.42508
aut,1993,75.93912
aut,1994,79.0305
aut,1995,79.09438
aut,1996,79.79631
aut,1997,80.66309
aut,1998,80.32192
aut,1999,79.29571
aut,2000,79.91956
aut,2001,81.52143
aut,2002,83.68601
aut,2003,86.34546
aut,2004,88.62362
aut,2005,89.33921
aut,2006,90.37396
aut,2007,91.56347
aut,2008,94.17914
aut,2009,96.73672
aut,2010,100.96532
aut,2011,100.93407
aut,2012,104.11838
aut,2013,100.45715
aut,2014,101.40362
aut,2015,101.60484
aut,2016,104.45176
aut,2017,104.91191
aut,2018,103.78334
aut,2019,103.15655
aze,1981,22.22222
aze,1986,23.939
aze,1991,21.069
aze,1992,19.78248
aze,1993,18.30253
aze,1994,17.83903
aze,1995,20.73464
aze,1996,19.64355
aze,1997,18.67772
aze,1998,18.38119
aze,1999,19.05382
aze,2000,19.84112
aze,2001,21.61051
aze,2002,23.17416
aze,2003,24.67001
aze,2004,25.33681
aze,2005,26.23483
aze,2006,27.21379
aze,2007,26.11211
aze,2008,24.02631
aze,2009,23.44039
aze,2010,25.98625
aze,2011,26.91526
aze,2012,24.98301
aze,2013,25.54878
aze,2014,22.71797
aze,2015,23.71716
aze,2016,22.65076
aze,2017,35.97306
aze,2018,39.90365
aze,2019,38.99179
aze,2020,44.92633
bdi,1971,0.30196
bdi,1972,0.19667
bdi,1973,0.21138
bdi,1974,0.1398
bdi,1982,0.25958
bdi,1983,0.34379
bdi,1984,0.32649
bdi,1985,0.33191
bdi,1986,0.37699
bdi,1987,0.40156
bdi,1988,0.42956
bdi,1989,0.45546
bdi,1998,0.70567
bdi,1999,0.74164
bdi,2000,0.81314
bdi,2001,1.18089
bdi,2002,1.28635
bdi,2003,1.26321
bdi,2004,1.34992
bdi,2005,1.80922
bdi,2006,1.68895
bdi,2007,3.33216
bdi,2009,11.72084
bdi,2010,10.66056
bdi,2011,8.00031
bdi,2012,8.31885
bdi,2013,8.90168
bdi,2014,10.98536
bdi,2015,13.48856
bdi,2016,13.84937
bdi,2017,13.85529
bdi,2018,15.07427
bdi,2019,16.28297
bdi,2021,16.2427
bel,1971,99.28462
bel,1972,99.6805
bel,1973,100.94318
bel,1974,103.98142
bel,1975,106.10174
bel,1976,108.02826
bel,1977,106.73308
bel,1978,103.02195
bel,1979,100.9982
bel,1980,101.03466
bel,1981,102.43651
bel,1982,104.5937
bel,1983,107.02916
bel,1984,109.72463
bel,1985,111.47029
bel,1986,111.32318
bel,1987,107.58793
bel,1988,104.41426
bel,1989,102.32963
bel,1990,103.07018
bel,1991,104.34058
bel,1992,110.94619
bel,1993,114.16455
bel,1994,117.1588
bel,1995,118.79618
bel,1996,117.34492
bel,1999,109.34649
bel,2000,110.25605
bel,2001,110.97854
bel,2002,112.71495
bel,2003,115.44876
bel,2004,116.26209
bel,2005,119.81428
bel,2006,119.3176
bel,2007,118.45472
bel,2008,118.34528
bel,2009,118.54604
bel,2010,119.69182
bel,2011,120.77354
bel,2012,120.38658
bel,2013,119.20235
bel,2014,118.71951
bel,2015,117.40892
bel,2016,116.28511
bel,2017,115.26128
bel,2018,113.85586
bel,2019,113.16439
ben,1976,0
ben,1978,0
ben,1979,0
ben,1980,0
ben,1982,1.44752
ben,1983,1.57943
ben,1984,2.08222
ben,1985,2.63302
ben,1986,2.86472
ben,1987,3.22864
ben,1988,3.14116
ben,1989,3.06693
ben,1990,2.9275
ben,1991,2.93279
ben,1992,2.86213
ben,1993,2.94052
ben,1994,2.74116
ben,1995,2.88906
ben,1996,2.95274
ben,1999,4.31031
ben,2000,6.50654
ben,2001,5.71249
ben,2002,5.18794
ben,2003,4.71327
ben,2004,4.57489
ben,2005,5.56553
ben,2006,6.04814
ben,2008,12.8064
ben,2009,13.22935
ben,2010,16.98099
ben,2011,18.7764
ben,2012,18.58466
ben,2013,19.41436
ben,2014,20.5725
ben,2015,23.596
ben,2016,24.33521
ben,2017,24.80548
ben,2018,25.03818
ben,2019,24.13374
ben,2020,22.03773
bfa,1971,0.07305
bfa,1972,0.08988
bfa,1973,0.11903
bfa,1974,0.10977
bfa,1975,0.08845
bfa,1976,0.08972
bfa,1977,0.12601
bfa,1978,0.10665
bfa,1979,0.13728
bfa,1980,0.14652
bfa,1981,0.06245
bfa,1982,0.08166
bfa,1983,0.09943
bfa,1984,0.23069
bfa,1985,0.37551
bfa,1986,0.45699
bfa,1987,0.5845
bfa,1988,0.67885
bfa,1989,0.74078
bfa,1990,0.6314
bfa,1991,0.75915
bfa,1992,0.82473
bfa,1993,0.85621
bfa,1994,1.03555
bfa,1995,1.01819
bfa,1996,1.34332
bfa,1997,1.61673
bfa,1998,1.67567
bfa,1999,1.81116
bfa,2007,2.98302
bfa,2009,2.88035
bfa,2010,2.82169
bfa,2011,3.08073
bfa,2012,3.62785
bfa,2013,3.98511
bfa,2014,4.0632
bfa,2015,4.10556
bfa,2016,3.05674
bfa,2017,3.69362
bfa,2018,4.38337
bfa,2019,5.52964
bfa,2020,6.35476
bgd,1973,0.27484
bgd,1988,85.11934
bgd,1998,21.07711
bgd,1999,18.749
bgd,2000,17.47674
bgd,2001,17.33052
bgd,2002,14.63855
bgd,2003,11.90683
bgd,2004,11.3546
bgd,2005,11.26699
bgd,2009,11.17169
bgd,2010,13.19943
bgd,2011,25.93355
bgd,2013,32.82702
bgd,2015,32.09245
bgd,2016,34.89104
bgd,2017,41.02868
bgd,2018,40.03688
bgd,2020,44.41832
bgr,1971,64.47783
bgr,1972,62.52039
bgr,1973,64.90575
bgr,1974,70.32997
bgr,1975,72.52871
bgr,1976,74.7907
bgr,1977,74.57816
bgr,1978,74.12306
bgr,1979,76.02961
bgr,1980,77.55911
bgr,1981,77.99222
bgr,1982,75.12393
bgr,1983,74.65798
bgr,1984,72.62784
bgr,1985,71.58877
bgr,1986,68.92296
bgr,1987,68.81419
bgr,1988,70.39941
bgr,1989,72.21695
bgr,1990,68.759
bgr,1991,67.44362
bgr,1992,58.6937
bgr,1993,60.73045
bgr,1994,58.42271
bgr,1995,60.80523
bgr,1996,65.69016
bgr,1997,67.87864
bgr,1998,64.15462
bgr,1999,68.24673
bgr,2000,69.93238
bgr,2001,70.15759
bgr,2002,73.82189
bgr,2003,78.92272
bgr,2004,82.24632
bgr,2005,84.90967
bgr,2006,87.16319
bgr,2007,85.51785
bgr,2008,82.51257
bgr,2009,80.63649
bgr,2010,80.83872
bgr,2011,80.84884
bgr,2012,79.99511
bgr,2013,79.92051
bgr,2014,79.93229
bgr,2015,80.17042
bgr,2016,77.7353
bgr,2017,77.59879
bgr,2018,79.71358
bgr,2019,83.11483
bhr,1974,6.29468
bhr,1975,6.66129
bhr,1976,8.68565
bhr,1977,11.31191
bhr,1978,10.10109
bhr,1979,10.68045
bhr,1980,11.61605
bhr,1981,14.22358
bhr,1982,16.01001
bhr,1983,17.81803
bhr,1984,17.87299
bhr,1985,23.16212
bhr,1986,25.19957
bhr,1987,26.62747
bhr,1988,26.48771
bhr,1989,26.31431
bhr,1991,24.9008
bhr,1992,27.40764
bhr,1993,31.18734
bhr,1994,32.7728
bhr,1995,36.79296
bhr,1996,35.34568
bhr,1997,33.43212
bhr,1998,35.28401
bhr,1999,35.16426
bhr,2000,34.07132
bhr,2001,33.82077
bhr,2002,35.10386
bhr,2003,36.65301
bhr,2004,39.08922
bhr,2005,38.49809
bhr,2006,37.7154
bhr,2008,43.66317
bhr,2009,48.51765
bhr,2010,50.3012
bhr,2011,50.9135
bhr,2012,51.39258
bhr,2013,54.53812
bhr,2014,58.26959
bhr,2015,56.63055
bhr,2016,55.46447
bhr,2017,54.30443
bhr,2018,52.79139
bhr,2019,49.75777
bhr,2020,49.86507
bhs,1993,6.91813
bhs,1997,9.10445
bhs,1999,10.9823
bhs,2000,15.25451
