global,time,ne_con_prvt_zs
world,1970,58.52967
world,1971,58.6503
world,1972,58.47872
world,1973,57.60281
world,1974,57.21008
world,1975,58.22562
world,1976,57.97783
world,1977,58.07225
world,1978,57.85696
world,1979,57.80167
world,1980,57.92638
world,1981,57.59337
world,1982,58.79766
world,1983,59.529
world,1984,59.23901
world,1985,59.45826
world,1986,59.42196
world,1987,59.16532
world,1988,58.8434
world,1989,58.41625
world,1990,58.54954
world,1991,58.72166
world,1992,58.95659
world,1993,59.40114
world,1994,59.28404
world,1995,58.82068
world,1996,59.1065
world,1997,59.28732
world,1998,59.7098
world,1999,59.90532
world,2000,59.75835
world,2001,60.32649
world,2002,60.30469
world,2003,59.92897
world,2004,59.17492
world,2005,58.81433
world,2006,58.10929
world,2007,57.62156
world,2008,57.29694
world,2009,58.19635
world,2010,57.16509
world,2011,56.61972
world,2012,56.53912
world,2013,56.56985
world,2014,56.59033
world,2015,56.73863
world,2016,57.0116
world,2017,56.61896
world,2018,56.19184
world,2019,56.32029
world,2020,55.32738
