geo,time,dc_dac_canl_cd
afg,1965,9999.99978
afg,1966,29999.99933
afg,1967,29999.99933
afg,1968,9999.99978
afg,1969,9999.99978
afg,1970,699999.98808
afg,1971,2140000.1049
afg,1972,1139999.98569
afg,1973,2220000.02861
afg,1974,540000.02146
afg,1975,1470000.02861
afg,1976,379999.99523
afg,1977,340000.00358
afg,1978,4190000.05722
afg,1979,6030000.20981
afg,1980,2220000.02861
afg,1981,109999.9994
afg,1988,2190000.05722
afg,1989,980000.01907
afg,1990,2730000.01907
afg,1991,5309999.94278
afg,1992,4670000.07629
afg,1993,7630000.11444
afg,1994,7170000.07629
afg,1995,7139999.86649
afg,1996,3880000.11444
afg,1997,13369999.88556
afg,1998,4800000.19073
afg,1999,8670000.07629
afg,2000,6659999.84741
afg,2001,14229999.54224
afg,2002,35810001.37329
afg,2003,73129997.25342
afg,2004,56240001.67847
afg,2005,89470001.2207
afg,2006,140270004.27246
afg,2007,345390014.64844
afg,2008,207860000.61035
afg,2009,232580001.83105
afg,2010,267119995.11719
afg,2011,225149993.89648
afg,2012,101400001.52588
afg,2013,122120002.74658
afg,2014,84190002.44141
afg,2015,148080001.83105
afg,2016,96330001.83105
afg,2017,68459999.08447
afg,2018,126599998.47412
afg,2019,117069999.69482
ago,1981,519999.98093
ago,1982,180000.00715
ago,1983,170000.00179
ago,1984,680000.00715
ago,1985,1769999.98093
ago,1986,3759999.99046
ago,1987,460000.00834
ago,1988,5949999.80927
ago,1989,3150000.09537
ago,1990,11159999.84741
ago,1991,6340000.15259
ago,1992,4099999.90463
ago,1993,2769999.98093
ago,1994,5949999.80927
ago,1995,3839999.91417
ago,1996,2170000.07629
ago,1997,4590000.15259
ago,1998,2630000.11444
ago,1999,3069999.93324
ago,2000,3640000.1049
ago,2001,2319999.93324
ago,2002,2630000.11444
ago,2003,5570000.17166
ago,2004,4820000.17166
ago,2005,4039999.96185
ago,2006,1389999.98569
ago,2007,4489999.77112
ago,2008,439999.99762
ago,2009,899999.97616
ago,2010,660000.02623
ago,2011,1019999.98093
ago,2012,200000.00298
ago,2013,540000.02146
