global,time,se_sec_tchr
world,1970,11804397
world,1971,12212361
world,1972,12771884
world,1973,13380478
world,1974,13824570
world,1975,14208073
world,1976,14834314
world,1977,15763656
world,1978,16450639
world,1979,17361566
world,1980,17654364
world,1981,17845510
world,1982,17976938
world,1983,18238376
world,1984,18547126
world,1985,18184356
world,1986,19461006
world,1987,20010094
world,1988,20451980
world,1989,20748598
world,1990,21212440
world,1991,21666006
world,1992,22056200
world,1993,22571768
world,1994,22971528
world,1995,23284944
world,1996,23795958
world,1997,24189376
world,1998,24541452
world,1999,24988544
world,2000,25485038
world,2001,25558670
world,2002,26266036
world,2003,27120146
world,2004,27676784
world,2005,28482456
world,2006,29035508
world,2007,30017214
world,2008,30997900
world,2009,31573850
world,2010,32172152
world,2011,32529100
world,2012,32812792
world,2013,32471412
world,2014,33015682
world,2015,33576388
world,2016,34452900
world,2017,34862476
world,2018,35227016
world,2019,37015844
