global,time,sh_dth_imrt
world,1990,8748042
world,1991,8570569
world,1992,8381696
world,1993,8189873
world,1994,8017260
world,1995,7808870
world,1996,7624218
world,1997,7438220
world,1998,7249318
world,1999,7059286
world,2000,6850048
world,2001,6644815
world,2002,6440300
world,2003,6242661
world,2004,6063543
world,2005,5866396
world,2006,5690092
world,2007,5515902
world,2008,5358183
world,2009,5182941
world,2010,5034887
world,2011,4869239
world,2012,4725601
world,2013,4589704
world,2014,4461422
world,2015,4339959
world,2016,4226228
world,2017,4105663
world,2018,3994435
world,2019,3890216
world,2020,3788952
