global,time,dc_dac_swel_cd
world,1960,1000000
world,1961,1519999.98093
world,1962,3129999.87602
world,1963,7159999.84741
world,1964,13689999.58038
world,1965,17110000.61035
world,1967,26100000.38147
world,1968,41680000.30518
world,1969,54860000.61035
world,1970,63069999.69482
world,1971,67659996.03271
world,1972,106720001.2207
world,1973,153080001.83105
world,1974,233570007.32422
world,1975,373170013.42773
world,1976,401350006.10352
world,1977,486029998.7793
world,1978,473029998.7793
world,1979,650739990.23438
world,1980,714109985.35156
world,1981,602690002.44141
world,1982,585349975.58594
world,1983,525580017.08984
world,1984,525900024.41406
world,1985,579739990.23438
world,1986,776809997.55859
world,1987,895739990.23438
world,1988,1033339965.82031
world,1989,1275290039.0625
world,1990,1384920043.94531
world,1991,1491219970.70313
world,1992,2055939941.40625
world,1993,1355809936.52344
world,1994,1444040039.0625
world,1995,1272430053.71094
world,1996,1502290039.0625
world,1997,1292010009.76563
world,1998,1123930053.71094
world,1999,1221089965.82031
world,2000,1328309936.52344
world,2001,1285410034.17969
world,2002,1339510009.76563
world,2003,1844969970.70313
world,2004,2126530029.29688
world,2005,2255030029.29688
world,2006,2851560058.59375
world,2007,2930659912.10938
world,2008,3141339843.75
world,2009,3008050048.82813
world,2010,2929020019.53125
world,2011,3650890136.71875
world,2012,3637760009.76563
world,2013,3917899902.34375
world,2014,4342890136.71875
world,2015,4827439941.40625
world,2016,3451090087.89063
world,2017,3826729980.46875
world,2018,3834100097.65625
world,2019,3457610107.42188
