global,time,se_prm_tenr_ma
world,2010,90.40824
world,2011,90.24007
world,2012,90.74577
world,2013,90.95355
world,2014,91.19433
world,2015,91.15254
world,2016,91.41351
world,2017,91.40409
world,2018,91.46353
