global,time,ny_adj_nnty_pc_kd
world,1971,5082.32677
world,1972,5256.77189
world,1973,5459.30573
world,1974,5270.15036
world,1975,5199.78146
world,1976,5357.8796
world,1977,5450.04002
world,1978,5598.66138
world,1979,5598.64314
world,1980,5517.57664
world,1981,5528.08909
world,1982,5478.52123
world,1983,5591.55548
world,1984,5834.1709
world,1985,6022.234
world,1986,6135.91538
world,1987,6190.40796
world,1988,6236.53852
world,1989,6328.92101
world,1990,6409.8625
world,1991,6391.71004
world,1992,6454.56851
world,1993,6446.1627
world,1994,6595.62739
world,1995,6695.58301
world,1996,6762.89071
world,1997,6931.55059
world,1998,6972.12155
world,1999,7085.05722
world,2000,7234.50871
world,2001,7296.53694
world,2002,7471.49977
world,2003,7503.56734
world,2004,7805.04165
world,2005,7995.51403
world,2006,8307.1316
world,2007,8619.77092
world,2008,8500.62766
world,2009,8346.84187
world,2010,8667.86326
world,2011,8798.98749
world,2012,7937.13058
world,2013,8027.58218
world,2014,8203.25945
world,2015,8366.63109
world,2016,8488.75163
world,2017,8703.79912
world,2018,8826.87935
world,2019,8932.80053
