geo,time,se_sec_cuat_up_ma_zs
abw,2010,32.09336
afg,1975,4.55595
afg,2021,12.09541
ago,2014,19.85885
alb,2001,42.0749
alb,2008,44.99318
alb,2011,48.42879
alb,2012,46.15177
and,2003,41.79567
and,2004,51.45769
and,2005,43.85687
and,2006,49.65984
and,2014,48.08825
and,2015,47.80815
and,2016,47.66096
are,2005,43.00298
are,2017,68.98441
are,2018,70.40626
are,2019,71.66245
arg,2001,32.44736
arm,2001,82.19042
arm,2011,90.0856
arm,2015,91.5891
arm,2017,89.93428
arm,2020,89.77474
asm,1974,40.86023
asm,1980,46.60952
aus,2004,69.73225
aus,2005,69.87157
aus,2006,70.93267
aus,2007,72.25382
aus,2008,73.05068
aus,2009,73.49311
aus,2010,74.99108
aus,2011,75.5101
aus,2012,77.98783
aus,2013,73.9877
aus,2014,76.27531
aus,2015,77.82122
aus,2016,78.30603
aus,2017,79.03854
aus,2018,79.80776
aus,2019,80.34078
aus,2020,81.00551
aut,1971,54.0458
aut,1981,66.11986
aut,2014,85.76526
aut,2015,86.01934
aut,2016,86.02884
aut,2017,85.93864
aut,2019,86.27928
aze,1999,88.93218
aze,2007,92.06411
aze,2008,92.11276
aze,2009,92.16642
aze,2010,92.05364
aze,2011,92.04576
aze,2012,92.20008
aze,2013,92.24452
aze,2014,92.26732
aze,2015,92.25587
aze,2016,92.25019
aze,2017,92.2037
aze,2019,92.24055
bdi,2008,8.52707
bdi,2014,4.52406
bdi,2017,7.57016
bel,1970,17.43129
bel,2006,60.17384
bel,2008,63.42278
bel,2009,64.28475
bel,2010,63.8468
bel,2011,64.76729
bel,2012,64.98013
bel,2013,65.82226
bel,2014,65.85807
bel,2015,67.8251
bel,2016,68.86349
bel,2017,70.74452
bel,2019,72.37714
ben,1979,1.82565
bfa,2006,6.03677
bfa,2007,0.86336
bfa,2014,4.29634
bfa,2018,9.04013
bgd,1981,9.41456
bgd,2001,20.82129
bgd,2011,30.05593
bgd,2012,30.41053
bgd,2013,27.27117
bgd,2014,27.6012
bgd,2015,33.43652
bgd,2016,33.99496
bgd,2017,34.64087
bgd,2018,35.29529
bgd,2019,35.96361
bgd,2020,41.72376
bgr,2001,61.21909
bgr,2006,66.18071
bgr,2007,69.11069
bgr,2008,69.57175
bgr,2009,70.06805
bgr,2010,71.4571
bgr,2011,72.63747
bgr,2012,74.58359
bgr,2013,75.89795
bgr,2014,75.23806
bgr,2015,76.28874
bgr,2016,76.99095
bgr,2017,77.67054
bgr,2020,78.78908
bhr,2001,51.70949
bhr,2010,40.5956
bhr,2016,56.81504
bhr,2017,59.41471
bhr,2018,65.89412
bhr,2020,69.48378
bhs,2000,66.24524
bhs,2010,81.22307
bih,2010,34.58285
bih,2011,36.36145
bih,2014,72.83046
bih,2015,72.89743
bih,2016,74.91976
bih,2018,75.38995
bih,2020,79.51641
blr,1989,13.7319
blr,2009,87.66409
blr,2019,95.81998
blz,2005,25.0887
blz,2010,36.37405
blz,2020,40.74152
bmu,2000,84.9348
bmu,2010,73.3567
bmu,2016,85.42524
bol,1976,15.57681
bol,1992,33.13193
bol,2001,44.01233
bol,2006,36.80522
bol,2008,40.31931
bol,2009,42.78086
bol,2012,46.8778
bol,2015,52.88999
bol,2019,81.00975
bra,1970,6.35159
bra,2004,28.13504
bra,2006,30.9705
bra,2007,32.29662
bra,2008,34.04795
bra,2009,35.68628
bra,2010,34.09899
bra,2011,37.58249
bra,2012,38.78265
bra,2013,39.66946
bra,2014,40.30262
bra,2015,41.57235
bra,2016,43.15603
bra,2017,43.87432
bra,2018,45.06645
brb,2000,22.89339
brn,2011,63.65321
btn,2012,8.1684
btn,2017,20.41818
bwa,1971,1.94156
caf,1975,3.05343
can,1986,46.56533
can,1991,51.15077
can,2001,71.4653
can,2006,79.70666
can,2011,82.75808
can,2016,84.02371
che,2009,88.72781
che,2010,87.45368
che,2011,87.12902
che,2012,87.69522
che,2014,88.84205
che,2015,88.92318
che,2016,88.54595
che,2018,88.9693
che,2019,89.65671
chl,2004,50.10164
chl,2007,51.1079
chl,2008,52.76566
chl,2010,53.80666
chl,2011,52.14506
chl,2013,54.99754
chl,2015,58.1536
chl,2017,60.26116
chn,1982,8.9177
chn,2010,25.37281
civ,1998,23.57886
civ,2014,16.23456
cmr,2010,25.39947
cod,2013,30.56529
cod,2016,38.59873
cog,1984,14.14201
col,2004,35.00967
col,2005,33.8038
col,2006,32.26939
col,2007,36.47847
col,2008,38.03555
col,2009,37.20102
col,2010,38.80944
col,2011,39.83192
col,2012,40.96829
col,2013,42.57691
col,2014,43.8089
col,2015,44.60783
col,2016,46.26018
