geo,time,sh_xpd_pvtd_ch_zs
afg,2002,85.37561
afg,2003,86.06919
afg,2004,84.5276
afg,2005,78.97009
afg,2006,76.82497
afg,2007,78.16999
afg,2008,75.40339
afg,2009,72.77924
afg,2010,78.99665
afg,2011,73.25517
afg,2012,74.48621
afg,2013,72.04787
afg,2014,73.05592
afg,2015,78.38229
afg,2016,75.97433
afg,2017,75.48405
afg,2018,76.31966
afg,2019,79.39915
ago,2000,41.27678
ago,2001,52.92855
ago,2002,59.41811
ago,2003,57.65278
ago,2004,55.55617
ago,2005,52.128
ago,2006,40.36954
ago,2007,39.40857
ago,2008,33.15677
ago,2009,28.49826
ago,2010,34.63728
ago,2011,32.38171
ago,2012,32.57002
ago,2013,35.40424
ago,2014,42.67659
ago,2015,49.96445
ago,2016,52.2201
ago,2017,50.60656
ago,2018,54.58914
ago,2019,55.6057
alb,2000,60.40231
alb,2001,57.77629
alb,2002,59.70919
alb,2003,54.01492
alb,2004,52.66172
alb,2005,52.5319
alb,2006,51.34706
alb,2007,55.98058
alb,2008,53.0756
alb,2009,47.12737
alb,2010,47.36393
alb,2011,49.56391
alb,2012,50.40052
alb,2013,50.89258
alb,2014,52.15228
alb,2015,43.2874
alb,2016,41.76972
alb,2017,44.57442
alb,2018,44.65778
and,2000,34.56111
and,2001,34.91378
and,2002,33.25002
and,2003,35.48929
and,2004,37.40074
and,2005,34.96701
and,2006,39.41439
and,2007,39.60276
and,2008,34.31566
and,2009,31.52625
and,2010,30.50433
and,2011,33.20068
and,2012,33.57224
and,2013,33.10811
and,2014,31.78808
and,2015,31.01266
and,2016,30.90909
and,2017,30.28571
and,2018,32.06522
and,2019,30.51296
are,2000,31.16954
are,2001,22.9896
are,2002,38.77114
are,2003,38.72492
are,2004,42.89269
are,2005,43.15894
are,2006,42.69578
are,2007,41.3263
are,2008,36.08961
are,2009,26.31716
are,2010,29.14584
are,2011,27.57903
are,2012,27.45521
are,2013,28.02827
are,2014,29.02361
are,2015,28.74895
are,2016,27.87212
are,2017,45.18861
are,2018,48.42154
are,2019,47.70217
arg,2000,45.23767
arg,2001,44.94722
arg,2002,43.47652
arg,2003,44.94412
arg,2004,41.91095
arg,2005,47.39782
arg,2006,47.07147
arg,2007,45.46094
arg,2008,43.97575
arg,2009,39.75199
arg,2010,40.73146
arg,2011,39.0985
arg,2012,37.05214
arg,2013,35.95694
arg,2014,34.04806
arg,2015,33.0024
arg,2016,37.58024
arg,2017,36.36764
arg,2018,38.29129
arg,2019,37.38851
arm,2000,64.46514
arm,2001,53.16602
arm,2002,76.67763
arm,2003,77.96792
arm,2004,73.17188
arm,2005,63.10401
arm,2006,61.30872
arm,2007,58.42901
arm,2008,71.6987
arm,2009,73.9541
arm,2010,78.01216
arm,2011,79.00801
arm,2012,79.7625
arm,2013,84.60213
arm,2014,83.67941
arm,2015,83.00221
arm,2016,81.67638
arm,2017,85.46838
arm,2018,86.44311
arm,2019,86.59965
atg,2000,41.80509
atg,2001,40.84837
atg,2002,41.42495
atg,2003,40.09137
atg,2004,41.92371
atg,2005,44.22232
atg,2006,46.90572
atg,2007,48.52498
atg,2008,49.04826
atg,2009,45.07782
atg,2010,41.55626
atg,2011,42.99833
atg,2012,43.70473
atg,2013,43.68274
atg,2014,40.84021
atg,2015,40.21234
atg,2016,44.13654
atg,2017,43.81507
atg,2018,39.82854
atg,2019,41.51376
aus,2000,28.16368
aus,2001,28.89152
aus,2002,28.06231
aus,2003,28.65875
aus,2004,28.31289
aus,2005,28.16252
aus,2006,28.33368
aus,2007,27.0938
aus,2008,27.67008
aus,2009,26.98946
aus,2010,27.64272
aus,2011,26.7397
aus,2012,28.76534
aus,2013,32.23441
aus,2014,32.48654
aus,2015,31.56111
aus,2016,31.46706
aus,2017,31.30914
aus,2018,31.21686
aus,2019,28.31804
aut,2000,25.83659
aut,2001,26.35471
aut,2002,26.56186
aut,2003,26.86173
aut,2004,27.94505
aut,2005,27.34831
aut,2006,27.14986
aut,2007,27.20099
aut,2008,26.2124
aut,2009,27.15329
aut,2010,27.60429
aut,2011,27.31097
aut,2012,27.12621
aut,2013,27.83094
aut,2014,27.48291
aut,2015,27.54399
aut,2016,27.64033
aut,2017,28.29989
aut,2018,27.41218
aut,2019,26.99226
aze,2000,68.60791
aze,2001,70.08419
aze,2002,72.29127
aze,2003,68.86583
aze,2004,65.77505
aze,2005,58.51049
aze,2006,56.38795
aze,2007,52.71387
aze,2008,54.16812
aze,2009,55.53509
aze,2010,57.9222
aze,2011,59.8685
aze,2012,60.62774
aze,2013,64.2056
aze,2014,65.57722
aze,2015,67.44889
aze,2016,70.6705
aze,2017,72.51228
aze,2018,73.22861
aze,2019,67.96252
bdi,2000,75.57232
bdi,2001,53.6508
