geo,time,sl_tlf_totl_fe_zs
afg,1990,15.92703
afg,1991,15.88746
afg,1992,15.81488
afg,1993,15.72195
afg,1994,15.66243
afg,1995,15.68956
afg,1996,15.56821
afg,1997,15.47887
afg,1998,15.43165
afg,1999,15.40484
afg,2000,15.37229
afg,2001,15.46201
afg,2002,15.57664
afg,2003,15.702
afg,2004,15.83596
afg,2005,15.983
afg,2006,15.87237
afg,2007,15.77555
afg,2008,15.71474
afg,2009,15.71355
afg,2010,15.78503
afg,2011,16.08655
afg,2012,16.45428
afg,2013,17.34519
afg,2014,18.27534
afg,2015,19.25134
afg,2016,20.3103
afg,2017,21.40786
afg,2018,21.74149
afg,2019,22.07382
afg,2020,18.91919
afg,2021,17.44314
ago,1990,48.32984
ago,1991,48.37729
ago,1992,48.43604
ago,1993,48.50504
ago,1994,48.58651
ago,1995,48.68017
ago,1996,48.74602
ago,1997,48.82695
ago,1998,48.92002
ago,1999,49.02021
ago,2000,49.12495
ago,2001,49.18964
ago,2002,49.26386
ago,2003,49.34413
ago,2004,49.4266
ago,2005,49.50594
ago,2006,49.55477
ago,2007,49.60811
ago,2008,49.6612
ago,2009,49.71096
ago,2010,49.76088
ago,2011,49.26437
ago,2012,49.28729
ago,2013,49.32195
ago,2014,49.36371
ago,2015,49.41421
ago,2016,49.47365
ago,2017,49.53577
ago,2018,49.60659
ago,2019,49.69005
ago,2020,49.47202
ago,2021,49.52253
alb,1990,40.56609
alb,1991,41.69855
alb,1992,42.47466
alb,1993,42.92456
alb,1994,43.31719
alb,1995,43.42133
alb,1996,43.02159
alb,1997,42.8113
alb,1998,42.11179
alb,1999,41.41468
alb,2000,40.97515
alb,2001,40.80067
alb,2002,40.82047
alb,2003,41.20766
alb,2004,41.62495
alb,2005,42.02123
alb,2006,42.39666
alb,2007,42.74695
alb,2008,43.07944
alb,2009,42.02017
alb,2010,42.61083
alb,2011,43.88985
alb,2012,42.78255
alb,2013,41.43638
alb,2014,40.67237
alb,2015,41.89143
alb,2016,42.92588
alb,2017,42.20848
alb,2018,42.72026
alb,2019,43.25904
alb,2020,42.61887
alb,2021,42.84335
are,1990,10.95865
are,1991,11.13752
are,1992,11.27616
are,1993,11.47934
are,1994,11.55874
are,1995,11.63473
are,1996,11.76601
are,1997,11.87535
are,1998,11.96394
are,1999,12.0345
are,2000,12.09009
are,2001,12.28576
are,2002,12.49505
are,2003,12.60816
are,2004,12.50683
are,2005,12.19287
are,2006,11.77158
are,2007,11.37865
are,2008,11.15569
are,2009,11.18892
are,2010,11.49099
are,2011,12.15241
are,2012,13.04224
are,2013,14.09068
are,2014,15.16435
are,2015,16.13373
are,2016,16.82662
are,2017,17.5075
are,2018,16.93339
are,2019,17.01868
are,2020,16.74491
are,2021,17.00226
arg,1990,39.72545
arg,1991,40.30309
arg,1992,40.82196
arg,1993,41.36485
arg,1994,41.75585
arg,1995,41.5786
arg,1996,41.93836
arg,1997,42.45349
arg,1998,42.70369
arg,1999,42.48315
arg,2000,42.42135
arg,2001,42.10713
arg,2002,41.29922
arg,2003,41.80476
arg,2004,42.31573
arg,2005,41.86484
arg,2006,42.18662
arg,2007,41.92378
arg,2008,41.65701
arg,2009,42.01548
arg,2010,41.46372
arg,2011,41.35112
arg,2012,41.61637
arg,2013,41.52083
arg,2014,41.66778
arg,2015,41.86682
arg,2016,42.06962
arg,2017,42.27677
arg,2018,42.98251
arg,2019,43.20758
arg,2020,43.216
arg,2021,42.95963
arm,1990,44.1351
arm,1991,44.3383
arm,1992,44.60212
arm,1993,44.9148
arm,1994,45.25004
arm,1995,45.5786
arm,1996,45.8073
arm,1997,46.00564
arm,1998,46.16291
arm,1999,46.27393
arm,2000,46.34269
arm,2001,46.29935
arm,2002,46.22625
arm,2003,46.1475
arm,2004,46.09613
arm,2005,46.08608
arm,2006,46.11133
arm,2007,46.18393
arm,2008,46.22226
arm,2009,46.44109
arm,2010,45.70657
arm,2011,47.03027
arm,2012,47.12605
arm,2013,47.19107
arm,2014,47.05561
arm,2015,46.83496
arm,2016,46.05271
arm,2017,46.15075
arm,2018,44.23371
arm,2019,45.13564
arm,2020,44.6476
arm,2021,44.81286
aus,1990,41.41623
aus,1991,41.62235
aus,1992,41.80047
aus,1993,41.90695
aus,1994,42.32676
aus,1995,42.72663
aus,1996,42.88749
aus,1997,42.97085
aus,1998,43.0805
aus,1999,43.21798
aus,2000,43.66391
aus,2001,43.963
aus,2002,44.06205
aus,2003,44.4391
aus,2004,44.33723
aus,2005,44.67285
aus,2006,44.81373
aus,2007,44.90213
aus,2008,45.01584
aus,2009,45.17188
aus,2010,45.07409
aus,2011,45.26557
aus,2012,45.41801
aus,2013,45.54759
aus,2014,45.73957
aus,2015,45.92717
aus,2016,46.21154
aus,2017,46.40115
aus,2018,46.57312
aus,2019,46.71103
aus,2020,46.78672
aus,2021,46.95555
aut,1990,41.00232
aut,1991,41.14276
aut,1992,41.74163
aut,1993,42.01336
aut,1994,43.21332
aut,1995,43.52856
aut,1996,43.397
aut,1997,43.51797
aut,1998,43.6903
aut,1999,43.68025
aut,2000,43.74872
aut,2001,44.03593
aut,2002,44.58229
aut,2003,44.58534
aut,2004,45.33876
aut,2005,45.46254
aut,2006,45.63667
aut,2007,45.70029
aut,2008,45.94748
aut,2009,46.26444
aut,2010,46.35295
aut,2011,46.5406
aut,2012,46.70429
aut,2013,46.78473
aut,2014,46.92432
aut,2015,46.89506
aut,2016,46.93377
aut,2017,46.84818
aut,2018,46.65998
aut,2019,46.66082
aut,2020,46.7568
aut,2021,46.60631
aze,1990,48.53571
aze,1991,48.52816
aze,1992,48.74101
aze,1993,49.04277
aze,1994,49.34344
aze,1995,49.54497
aze,1996,49.57951
aze,1997,49.55197
aze,1998,49.46333
aze,1999,49.38312
aze,2000,49.24301
aze,2001,49.12841
aze,2002,49.01129
aze,2003,48.77549
aze,2004,48.79717
aze,2005,48.5915
aze,2006,48.29551
aze,2007,47.87847
aze,2008,48.22394
aze,2009,49.02668
aze,2010,49.31246
aze,2011,49.1937
aze,2012,48.95827
aze,2013,48.89294
aze,2014,48.94736
aze,2015,49.02238
aze,2016,48.78438
aze,2017,48.72875
aze,2018,48.75859
aze,2019,48.72313
aze,2020,48.12493
aze,2021,48.27475
bdi,1990,52.12889
bdi,1991,52.24495
bdi,1992,52.39099
bdi,1993,52.54659
bdi,1994,52.68507
bdi,1995,52.78703
bdi,1996,52.7117
bdi,1997,52.61054
bdi,1998,52.49284
bdi,1999,52.33687
bdi,2000,52.19289
bdi,2001,52.12799
bdi,2002,52.07172
bdi,2003,52.02252
bdi,2004,51.979
bdi,2005,51.93674
bdi,2006,51.89217
bdi,2007,51.84928
bdi,2008,51.80979
bdi,2009,51.77533
bdi,2010,51.74865
bdi,2011,51.74758
bdi,2012,51.7515
bdi,2013,51.75706
bdi,2014,51.7614
bdi,2015,51.72802
bdi,2016,51.69816
bdi,2017,51.67518
bdi,2018,51.66121
bdi,2019,51.65893
bdi,2020,51.63141
bdi,2021,51.49511
bel,1990,38.97471
bel,1991,39.75716
bel,1992,40.40042
bel,1993,41.02061
bel,1994,41.14578
bel,1995,41.35543
bel,1996,41.47451
bel,1997,41.8287
bel,1998,42.20846
bel,1999,42.82806
bel,2000,42.97116
bel,2001,42.32684
bel,2002,42.76478
bel,2003,42.98643
bel,2004,43.68447
bel,2005,44.01245
bel,2006,44.27545
bel,2007,44.54565
bel,2008,44.82878
bel,2009,45.03193
bel,2010,45.25628
bel,2011,45.34458
bel,2012,45.37363
bel,2013,45.75363
bel,2014,46.08135
bel,2015,46.14839
bel,2016,46.03173
bel,2017,46.24731
bel,2018,46.60718
bel,2019,46.64135
bel,2020,46.5938
bel,2021,46.64789
ben,1990,41.77876
ben,1991,41.68011
ben,1992,41.59276
ben,1993,42.05333
ben,1994,42.52782
ben,1995,43.01924
ben,1996,43.54476
ben,1997,44.08888
ben,1998,44.64713
ben,1999,45.21855
ben,2000,45.80211
ben,2001,46.39028
ben,2002,46.99366
ben,2003,47.21818
ben,2004,47.4516
ben,2005,47.69848
ben,2006,47.98402
ben,2007,48.28112
ben,2008,48.58375
ben,2009,48.88522
ben,2010,49.18056
ben,2011,49.4632
ben,2012,49.44973
ben,2013,49.44302
ben,2014,49.44492
ben,2015,49.45681
ben,2016,49.46673
ben,2017,49.48933
ben,2018,49.52363
ben,2019,49.56708
ben,2020,49.52682
ben,2021,49.44238
bfa,1990,50.03969
