geo,time,sl_srv_0714_ma_zs
alb,2010,8.04
aze,2005,7.4
bfa,2003,1.32084
bfa,2006,17.97
bgd,2003,25.17
bgd,2013,38.3
bol,2002,15.5
bol,2005,6.6
bol,2008,17.3
bol,2009,21.33
bol,2013,10.48
bol,2015,15.78
bra,2004,26.4
bra,2008,28.3
bra,2009,32.05
bra,2011,26.68
bra,2013,31.51
bra,2014,27.09357
bra,2015,31.1
chl,2003,57.8
chl,2012,57.88
cmr,2001,5.07
cmr,2007,7.39
col,2007,38.01
col,2009,31.59
col,2012,35.67
col,2014,42.11
col,2015,33.7
cri,2004,40.82
cri,2011,35.08
cri,2016,45.5
dom,2005,52.94
dom,2009,48.84
dom,2012,52.37
ecu,2004,21.1
ecu,2006,22.25
ecu,2009,22.19
ecu,2011,20.54
ecu,2015,16.4
egy,2009,30.77
eth,2005,2.4
gha,2003,7.5
gha,2012,11.8
gin,2010,16.62
gmb,2015,2.77
gtm,2003,16.5
gtm,2004,15.7
gtm,2006,13.91
gtm,2012,14.63
gtm,2014,16.75
gtm,2015,19.41839
hnd,2004,13.9
hnd,2007,15.24
hnd,2011,12.09
hnd,2013,14.49
hnd,2014,20.41
idn,2009,22.64
idn,2010,18.74
ind,2000,15.87
ind,2005,17.62
ind,2010,17.36
ind,2012,14.89
jam,2002,43.55
jor,2007,55.96
jor,2016,41.54
ken,1999,8.80108
kgz,1998,6.96823
kgz,2007,1.96
kgz,2014,0.34774
khm,2001,15.7
khm,2009,9.16
khm,2012,19.41
lao,2010,1.87
lbr,2010,16.21
lka,1999,15.84
lka,2009,17.61
mar,1999,13.47
mar,2004,16.88
mda,2009,2.49
mdg,2001,1.95
mdg,2007,6.4
mex,2004,38.6
mex,2009,37.22
mex,2010,41.27
mex,2011,44.56
mex,2013,43.38
mli,2005,9.3
mli,2007,2.31
mng,2007,6.69
mng,2012,12.65
mwi,2015,25.8
nam,1999,8.07
ner,2009,69.26
nga,2010,7.06
nic,2001,23.26635
nic,2005,12.18
nic,2010,23.87
nic,2012,29.76
npl,1999,9.72316
npl,2008,4.17
pak,2008,16.17
pak,2011,17.08
pan,2003,34
pan,2008,19.04
pan,2010,22.52
pan,2012,25.71
pan,2014,29.01
per,2000,21.23
per,2007,29.64
phl,2001,23.7
phl,2011,31
prt,2001,25.57035
pry,2005,23
pry,2014,28.65
rou,2000,2.58
rwa,2008,9.45
rwa,2011,26.47
rwa,2014,22.74
sdn,2008,21.82
sen,2005,6.67
sen,2011,1.61
sle,2007,11.29
slv,2003,21.22193
slv,2007,23.65
slv,2009,18.87
slv,2011,20.04
slv,2012,20.41
slv,2013,26.24
ssd,2008,29.3
tgo,2006,8.94
tgo,2010,17.23
tjk,1999,76.19
tls,2007,1.28
tur,1999,10.1774
tur,2006,35.58
tza,2001,16.29093
tza,2006,10.11
tza,2014,3.18
uga,2006,2.69
uga,2012,3.61
ury,2009,48.74
ven,2003,53.87479
ven,2005,51.2
ven,2006,47.25
ven,2013,49.07
vnm,2012,14.42
yem,1999,10.75
yem,2010,18.49
zmb,2005,2.75
zmb,2008,5.39
