geo,time,se_ter_cuat_ms_ma_zs
afg,2021,0.47001
alb,2011,11.1108
alb,2012,12.82489
and,2014,11.49346
and,2015,11.45236
and,2016,11.41219
are,2017,8.87961
are,2018,10.52085
are,2019,11.1866
aus,2013,5.90123
aus,2014,6.62913
aus,2015,7.60742
aus,2016,6.90527
aus,2017,7.49332
aus,2018,7.69719
aus,2019,8.25417
aus,2020,9.27401
aut,2014,11.72693
aut,2015,11.80237
aut,2016,11.84329
aut,2017,12.11093
aut,2019,12.57738
bdi,2014,0.27482
bel,2013,14.64596
bel,2014,15.89947
bel,2015,15.5047
bel,2016,15.33958
bel,2017,16.86886
bel,2019,17.31217
bfa,2014,0
bfa,2018,2.28917
bgd,2011,2.53204
bgd,2012,2.58008
bgd,2013,2.80356
bgd,2014,2.90205
bgd,2015,4.5663
bgd,2016,4.74306
bgd,2017,5.15172
bgd,2018,5.43865
bgd,2019,5.70076
bgd,2020,7.49923
bhr,2010,1.07531
bhr,2016,1.31633
bhr,2017,1.28081
bhr,2018,1.42847
bhr,2020,2.07947
bhs,2010,3.82966
bih,2014,0.54999
bih,2015,0.81383
bih,2016,1.83031
bih,2018,1.24945
bih,2020,1.6488
blr,2009,5.31802
blr,2019,0.9685
blz,2020,1.99641
bmu,2010,6.98705
bmu,2016,8.46545
bol,2012,2.12971
bol,2015,1.27672
bol,2019,1.55953
bra,2016,0.7967
bra,2017,0.86112
bra,2018,1.02357
brn,2011,1.9879
btn,2012,1.13359
btn,2017,2.93861
can,2016,7.53694
che,2014,22.28464
che,2015,23.05003
che,2016,23.05177
che,2018,23.78309
che,2019,23.71236
chl,2011,0.62403
chl,2013,0.72192
chl,2015,1.41883
chl,2017,1.75835
chn,2010,0.44401
cod,2016,0.22636
col,2007,2.7177
col,2008,2.53508
col,2009,2.49224
col,2010,2.66357
col,2011,2.82763
col,2012,2.92202
col,2013,3.00947
col,2014,3.28608
col,2015,3.09291
col,2016,3.29106
col,2018,3.45073
col,2019,3.62394
col,2020,3.73053
cpv,2015,1.2288
cri,2014,2.40582
cri,2015,2.80385
cri,2016,2.69662
cri,2018,2.87085
cri,2020,2.98647
cub,2012,3.96667
cym,2015,9.44432
cyp,2014,9.92159
cyp,2015,10.72462
cyp,2016,10.79265
cyp,2018,12.0207
cyp,2020,12.79082
cze,2014,16.35531
cze,2015,16.29846
cze,2016,17.31129
cze,2017,17.55091
cze,2019,17.14611
deu,2014,11.79124
deu,2015,12.02277
deu,2016,12.43284
deu,2018,11.94144
dnk,2014,9.4306
dnk,2015,11.55606
dnk,2016,12.14738
dnk,2018,12.97359
dnk,2020,13.83754
dom,2016,0.77754
ecu,2007,1.02804
ecu,2008,0.93987
ecu,2009,1.07863
ecu,2010,1.2346
ecu,2011,0.65183
ecu,2012,0.87803
ecu,2013,1.2678
ecu,2014,1.17763
ecu,2015,1.27427
ecu,2016,1.35693
ecu,2017,1.38004
ecu,2020,1.63662
egy,2017,0.78567
esp,2016,12.43254
esp,2018,12.8074
esp,2020,13.89137
est,2020,19.11465
fin,2012,10.0238
fin,2013,10.27885
fin,2014,10.46299
fin,2015,10.58715
fin,2017,11.03263
fin,2019,11.6519
fji,2017,1.30967
fra,2014,10.15553
fra,2015,10.49244
fra,2016,10.88324
fra,2017,11.11317
fra,2019,12.03503
gbr,2013,8.69016
gbr,2014,8.65985
gbr,2017,11.96714
gbr,2020,13.16381
geo,2012,27.54751
geo,2014,27.39015
geo,2016,27.48961
geo,2017,26.15697
geo,2019,24.87454
gin,2018,4.38254
grc,2014,2.7906
grc,2015,2.42566
grc,2016,2.76627
grc,2020,8.37518
grl,2012,2.91282
grl,2014,2.94364
grl,2015,2.95775
grl,2018,3.11903
grl,2019,2.55406
gtm,2012,0.27738
gtm,2013,0.20883
gtm,2014,0.47152
gtm,2019,0.08417
hun,2013,8.04804
hun,2014,9.72066
hun,2015,10.03278
hun,2016,9.75723
hun,2020,12.78631
idn,2014,0.73143
idn,2015,0.68727
idn,2016,0.7129
idn,2018,0.76461
idn,2020,0.75111
irl,2011,8.25369
irl,2017,10.20118
irn,2012,3.2076
irn,2013,3.61734
irn,2014,4.11525
irn,2016,4.96948
isl,2019,14.01596
isl,2020,15.37959
isr,2013,11.78916
isr,2014,12.18141
isr,2015,12.20103
ita,2020,12.36339
jor,2018,2.76749
jor,2020,2.75771
kaz,2009,0.11735
kaz,2018,0.07438
kgz,2009,14.17764
khm,2014,0.81701
khm,2015,1.08332
kor,2010,4.77652
kor,2015,5.61924
kwt,2013,0.47111
kwt,2015,0.4787
kwt,2017,0.45496
kwt,2018,0.47618
lca,2010,2.07189
lka,2016,0.91562
lka,2017,0.77132
lka,2018,0.78297
lka,2019,0.8707
ltu,2014,11.7109
ltu,2015,12.59869
ltu,2016,11.53475
ltu,2017,11.42539
ltu,2020,12.80778
lva,2013,0.38662
lva,2014,8.43537
lva,2015,8.41281
lva,2016,8.10209
lva,2018,11.24826
lva,2019,12.94722
mda,2013,0.52577
mda,2014,0.59983
mda,2015,0.79319
mda,2018,0.89486
mda,2019,1.22134
mdg,2018,1.89509
mex,2010,1.5581
mex,2013,1.56697
mex,2014,1.47556
mex,2015,2.44526
mex,2016,1.55096
mex,2017,1.60556
mex,2018,1.6763
mex,2020,2.67023
mhl,2011,1.02821
mkd,2020,1.90112
mli,2020,1.63927
mlt,2013,4.745
mlt,2014,4.84479
mlt,2015,4.79693
mlt,2016,4.81097
mlt,2018,6.90148
mlt,2020,9.5827
mmr,2019,0.15689
mng,2010,2.16568
mng,2020,2.31102
moz,2017,0.30903
mrt,2013,3.65085
mys,2016,1.59343
mys,2019,1.61683
ner,2012,0.89477
nga,2006,2.21388
nld,2013,11.84187
nld,2014,12.22125
nld,2015,12.19598
nld,2016,12.41728
nld,2018,12.89771
nld,2020,14.29772
nld_curacao,2020,14.15482
nor,2014,10.97888
nor,2015,11.35329
nor,2016,11.57939
nor,2017,11.83242
nor,2019,12.20459
npl,2011,2.32852
nzl,2014,4.89876
nzl,2015,4.25048
nzl,2016,5.15173
nzl,2020,6.26397
omn,2010,2.39352
omn,2015,1.76807
omn,2020,1.58544
pan,2010,2.14731
pan,2019,14.12779
per,2014,3.77334
per,2015,1.65924
per,2018,12.75458
phl,2010,0.45309
phl,2013,0.33782
phl,2017,0.24403
phl,2019,0.44552
pol,2013,15.19212
pol,2014,15.77617
pol,2016,15.52043
pol,2020,17.75148
pri,2012,5.32873
pri,2017,2.19722
prt,2014,11.06334
prt,2015,11.55147
prt,2016,11.98041
prt,2017,11.67999
prt,2018,10.91122
prt,2019,12.57478
prt,2020,13.15267
pry,2012,4.54461
pry,2013,7.05063
pry,2014,6.49531
pry,2015,6.33182
pry,2016,6.27132
pry,2018,6.79758
pry,2019,7.10667
pry,2020,7.01491
pse,2013,2.42874
pse,2014,2.12257
pse,2015,2.27607
pse,2016,2.26005
pse,2017,2.59929
pse,2018,2.30831
pse,2020,2.61523
qat,2016,1.21916
qat,2017,1.21419
rou,2014,9.80772
rwa,2012,0.39024
rwa,2014,0.36566
rwa,2018,0.47513
sau,2013,0.74742
sau,2017,3.01468
sau,2020,4.3924
sen,2011,2.00079
sen,2013,2.90112
sen,2017,2.7008
slv,2013,0.27868
smr,2018,10.45667
srb,2011,2.27603
srb,2013,0.83439
srb,2014,1.61342
srb,2015,1.80997
srb,2016,2.14306
srb,2017,2.05079
srb,2019,1.78209
ssd,2008,1.00117
stp,2012,0
svk,2011,16.81074
svk,2014,15.42958
svk,2015,16.03959
svk,2016,16.76423
svk,2017,17.58823
svk,2018,18.25285
svk,2019,19.02073
svn,2014,11.91432
svn,2015,12.29947
svn,2016,12.40264
svn,2017,12.86469
svn,2019,13.89215
swe,2013,10.47629
swe,2014,10.64484
swe,2015,10.78669
swe,2016,10.94531
swe,2017,11.0522
swe,2019,11.39525
tcd,2009,0.47301
tha,2013,1.64903
tha,2016,1.9279
tha,2018,1.81176
tha,2019,1.97169
tjk,1989,15.50124
tjk,2017,15.57702
tto,2011,1.66142
tur,2013,1.87367
tur,2014,1.9568
tur,2015,2.07552
tur,2016,2.09513
tur,2017,2.62018
tur,2019,2.95043
ukr,2001,17.10808
ury,2013,1.38221
ury,2014,1.497
ury,2015,1.60099
ury,2016,1.52921
ury,2017,1.75583
ury,2018,1.93551
ury,2019,1.89517
usa,2013,11.95449
usa,2014,11.92564
usa,2015,12.0012
usa,2016,12.57785
usa,2018,12.84094
usa,2020,13.76928
ven,2015,0.81621
ven,2016,0.80293
vnm,2019,0.84981
zaf,2014,0.94149
zaf,2015,1.28215
zaf,2017,1.60624
zaf,2019,2.89586
zwe,2017,0.82432
