geo,time,ny_gnp_pcap_cn
abw,1986,11376.47884
abw,1987,13697.21529
abw,1988,16981.56695
abw,1989,20061.19329
abw,1990,21805.37939
abw,1991,23942.3781
abw,1992,24887.88247
abw,1993,26298.83026
abw,1994,28602.85509
abw,1995,29087.81933
abw,1996,29301.77501
abw,1997,31605.38327
abw,1998,34034.48671
abw,1999,33787.70686
abw,2000,36432.54903
abw,2001,35896.525
abw,2002,34024.97052
abw,2003,36307.41321
abw,2004,39050.47395
abw,2005,33142.72004
abw,2006,41163.34424
abw,2007,39439.47207
abw,2008,46418.77627
abw,2009,42522.57225
abw,2010,39619.33802
abw,2011,40391.96472
abw,2012,42209.33067
abw,2013,44474.88005
abw,2014,46364.47734
abw,2015,48690.32672
abw,2016,48621.65642
abw,2017,49638.38232
abw,2018,50591.77207
afg,1960,2745.36943
afg,1961,2748.26974
afg,1962,2684.07817
afg,1963,3615.13976
afg,1964,3766.12201
afg,1965,4640.26968
afg,1966,6319.50961
afg,1967,7394.27624
afg,1968,5932.08786
afg,1969,5939.17315
afg,1970,7186.54786
afg,1971,7328.67987
afg,1972,6224.96143
afg,1973,6581.8933
afg,1974,7983.59137
afg,1975,8574.24492
afg,1976,9078.20119
afg,1977,10310.30029
afg,1978,11370.79184
afg,1979,12303.27831
afg,1980,12271.17869
afg,1981,13346.81724
afg,2009,21480.96618
afg,2010,24927.10756
afg,2011,28203.62209
afg,2012,33067.02933
afg,2013,35413.61931
afg,2014,35250.37462
afg,2015,35852.40893
afg,2016,34906.66377
afg,2017,35881.97746
afg,2018,36088.73872
afg,2019,39245.25561
afg,2020,40119.93033
ago,1985,0.00002
ago,1986,0.00002
ago,1987,0.00002
ago,1988,0.00002
ago,1989,0.00003
ago,1990,0.00003
ago,1991,0.00006
ago,1992,0.00013
ago,1993,0.00126
ago,1994,0.02199
ago,1995,0.92758
ago,1996,44.93793
ago,1997,103.65966
ago,1998,141.62123
ago,1999,840.87577
ago,2000,4561.58433
ago,2001,9599.96871
ago,2002,33918.25463
ago,2003,66227.1426
ago,2004,93808.51105
ago,2005,147734.98538
ago,2006,184281.69757
ago,2007,211593.7216
ago,2008,258765.37504
ago,2009,223683.57203
ago,2010,297925.54471
ago,2011,395944.03629
ago,2012,447269.3907
ago,2013,470463.08353
ago,2014,499369.22862
ago,2015,474854.6518
ago,2016,543867.66715
ago,2017,637795.27497
ago,2018,767548.1951
ago,2019,938861.81556
ago,2020,940449.81526
alb,1984,5496.23213
alb,1985,5494.10104
alb,1986,5551.25247
alb,1987,5399.38481
alb,1988,5222.70375
alb,1989,5583.71694
alb,1990,4933.21856
alb,1991,4751.19919
alb,1992,14259.3542
alb,1993,38557.51868
alb,1994,55895.75363
alb,1995,70846.99936
alb,1996,107905.98457
alb,1997,107585.01862
alb,1998,126709.7199
alb,1999,146034.40323
alb,2000,167130.20637
alb,2001,190038.01419
alb,2002,205117.26281
alb,2003,228951.07145
alb,2004,249439.11655
alb,2005,272405.32999
alb,2006,300232.40738
alb,2007,334164.07718
alb,2008,368515.49241
alb,2009,384540.85866
alb,2010,421301.52855
alb,2011,447805.03202
alb,2012,456103.64912
alb,2013,474366.24121
alb,2014,487381.82841
alb,2015,503802.91547
alb,2016,520285.26119
alb,2017,540962.10592
alb,2018,570315.88668
alb,2019,584959.13553
alb,2020,560408.06738
are,2000,128229.23058
are,2001,120510.29424
are,2002,116904.28425
are,2003,122971.57463
are,2004,134072.67455
are,2005,146879.91364
are,2006,157187.91768
are,2007,158529.97465
are,2008,165392.88269
are,2009,118821.43157
are,2010,124436.98817
are,2011,143997.98453
are,2012,150606.49134
are,2013,155945.2432
are,2014,160941.14486
are,2015,142682.26697
are,2016,140898.57093
are,2017,150343.12778
are,2018,161542.9592
are,2019,157598.89921
are,2020,133083.14528
arg,1960,0
arg,1961,0
arg,1962,0
arg,1963,0
arg,1964,0
arg,1965,0
arg,1966,0
arg,1967,0
arg,1968,0
arg,1969,0
arg,1970,0
arg,1971,0
arg,1972,0
arg,1973,0
arg,1974,0
arg,1975,0
arg,1976,0
arg,1977,0.00001
arg,1978,0.00003
arg,1979,0.00007
arg,1980,0.00014
arg,1981,0.00026
arg,1982,0.00071
arg,1983,0.00353
arg,1984,0.02522
arg,1985,0.16615
arg,1986,0.31053
arg,1987,0.71343
arg,1988,3.35439
arg,1989,92.45916
arg,1990,2020.24927
arg,1991,5299.67613
arg,1992,6633.59688
arg,1993,6873.98326
arg,1994,7375.68539
arg,1995,7274.65455
arg,1996,7565.25155
arg,1997,8038.74929
arg,1998,8084.14595
arg,1999,7570.06691
arg,2000,7503.39019
arg,2001,7001.08543
arg,2002,7874.21791
arg,2003,9472.31294
arg,2004,11202.60957
arg,2005,13275.95612
arg,2006,17616.01358
arg,2007,22005.87688
arg,2008,27966.95678
arg,2009,29870.87374
arg,2010,39340.95692
arg,2011,51308.67282
arg,2012,61616.59764
arg,2013,77446.20668
arg,2014,104947.17842
arg,2015,135443.35375
arg,2016,184629.79262
arg,2017,235872.75687
arg,2018,319598.27757
arg,2019,465944.87827
arg,2020,589762.39423
arm,1990,13.69637
arm,1991,22.7088
arm,1992,75.28131
arm,1993,1252.96046
arm,1994,56794.24353
arm,1995,166694.08796
arm,1996,214546.50672
arm,1997,271944.33779
arm,1998,316872.06885
arm,1999,329181.61928
arm,2000,346350.14671
arm,2001,397018.9244
arm,2002,464637.58599
arm,2003,556140.06295
arm,2004,662203.47687
arm,2005,783952.34287
arm,2006,940352.31172
arm,2007,1131904.68868
arm,2008,1299944.5301
arm,2009,1132923.76488
arm,2010,1262095.23267
arm,2011,1359994.56659
arm,2012,1538160.04516
arm,2013,1668704.68554
arm,2014,1732530.24327
arm,2015,1793974.07316
arm,2016,1765948.79953
arm,2017,1956053.95366
arm,2018,2071256.17599
arm,2019,2241358.18457
arm,2020,2053756.40047
asm,1973,2597.67034
asm,1974,2601.79084
asm,1975,2253.28674
asm,1976,2249.22016
asm,1977,2568.59311
asm,1978,2709.35961
asm,1979,3316.3746
asm,1980,3896.1039
asm,1981,4133.89916
asm,1982,4320.97
asm,1983,4558.81141
asm,1984,4696.14716
asm,1985,4799.97976
atg,1977,3357.37645
atg,1978,3807.25075
atg,1979,4675.79168
atg,1980,5684.09453
atg,1981,6372.86059
atg,1982,7021.80403
atg,1983,7916.75247
atg,1984,9088.54534
atg,1985,10410.36816
atg,1986,11123.13988
atg,1987,13003.45352
atg,1988,16045.40084
atg,1989,17126.22654
atg,1990,17881.59852
atg,1991,19154.23828
atg,1992,19670.79849
atg,1993,21026.19457
atg,1994,22614.99085
atg,1995,21641.13467
atg,1996,23373.80301
atg,1997,24793.25589
atg,1998,26064.54609
atg,1999,26855.90701
atg,2000,27773.74452
atg,2001,27124.95467
atg,2002,26653.60418
atg,2003,27837.12222
atg,2004,29391.75825
atg,2005,32511.98596
atg,2006,36262.86647
atg,2007,40488.97404
atg,2008,41387.72162
atg,2009,36651.66296
atg,2010,34381.97319
atg,2011,33355.11709
atg,2012,34652.94612
atg,2013,33717.93137
atg,2014,34682.07148
atg,2015,36140.38644
atg,2016,38262.8449
atg,2017,39307.47393
atg,2018,42848.94165
atg,2019,43968.39005
atg,2020,37099.72531
aus,1960,1619.42658
aus,1961,1674.61605
aus,1962,1660.77081
aus,1963,1751.3242
aus,1964,1902.74917
aus,1965,2042.58869
aus,1966,2088.23277
aus,1967,2287.48199
aus,1968,2409.69273
aus,1969,2631.98239
aus,1970,2917.48621
aus,1971,3086.3415
aus,1972,3366.24421
aus,1973,3725.78475
aus,1974,4383.44385
aus,1975,5139.8546
aus,1976,5939.35723
aus,1977,6731.04566
aus,1978,7228.86196
aus,1979,8082.2654
aus,1980,9066.56684
aus,1981,10172.90815
aus,1982,11365.66082
aus,1983,12229.87833
aus,1984,13582.21822
aus,1985,14724.90164
aus,1986,15982.18299
aus,1987,17274.02407
aus,1988,19255.33202
aus,1989,21291.51204
aus,1990,22874.58028
aus,1991,23049.58343
aus,1992,23245.89883
aus,1993,24460.63282
aus,1994,25545.50546
aus,1995,26473.71625
aus,1996,27848.94326
aus,1997,29031.21456
aus,1998,30478.22137
aus,1999,31783.41963
aus,2000,33552.44609
aus,2001,35367.74326
aus,2002,37405.78279
aus,2003,39201.57423
aus,2004,41675.42753
aus,2005,43654.31384
aus,2006,46363.35087
aus,2007,49896.14742
aus,2008,53199.36751
aus,2009,56070.89348
aus,2010,56841.10432
aus,2011,60923.56929
aus,2012,63967.37145
aus,2013,64780.20769
aus,2014,66316.35812
aus,2015,66771.47018
aus,2016,66915.47365
aus,2017,69570.91862
aus,2018,71460.64507
aus,2019,74271.06911
aus,2020,75520.36882
aut,1960,1755.41238
aut,1961,1936.22397
aut,1962,2041.34531
aut,1963,2189.90265
aut,1964,2382.08126
aut,1965,2579.3406
aut,1966,2790.72783
aut,1967,2942.88851
aut,1968,3140.61421
aut,1969,3420.75179
aut,1970,3907.91615
aut,1971,4346.35721
aut,1972,4932.74596
aut,1973,5556.07356
aut,1974,6322.11301
aut,1975,6718.98215
aut,1976,7424.08531
aut,1977,8196.87901
aut,1978,8671.72549
aut,1979,9531.94621
aut,1980,10230.54301
aut,1981,10850.15055
aut,1982,11669.80462
aut,1983,12481.34202
aut,1984,13093.98283
aut,1985,13815.55297
aut,1986,14498.05662
aut,1987,15045.93479
aut,1988,15816.79474
aut,1989,16859.65384
aut,1990,17996.39639
aut,1991,19001.37449
aut,1992,19918.43276
aut,1993,20412.50574
aut,1994,21322.24848
aut,1995,22134.27865
aut,1996,22922.20258
aut,1997,23575.46855
aut,1998,24465.11999
aut,1999,25101.67255
aut,2000,26430.07622
aut,2001,27045.70699
aut,2002,27891.67277
aut,2003,28477.70643
aut,2004,29615.18685
aut,2005,30814.56846
aut,2006,32466.03644
aut,2007,34198.31771
aut,2008,35596.02745
aut,2009,34508.93607
aut,2010,35675.8803
aut,2011,37081.45115
aut,2012,37838.09496
aut,2013,38300.78765
aut,2014,39032.44845
aut,2015,39441.32498
aut,2016,40928.7614
aut,2017,41590.87866
aut,2018,43170.66834
aut,2019,44604.1631
aut,2020,42491.81102
aze,1993,4.20291
aze,1994,49.36451
aze,1995,277.22077
aze,1996,350.98544
aze,1997,402.003
aze,1998,436.28207
aze,1999,492.18628
aze,2000,575.69018
aze,2001,638.72177
aze,2002,718.78805
aze,2003,837.88149
aze,2004,966.17107
aze,2005,1322.02077
aze,2006,1944.94699
aze,2007,2821.91509
aze,2008,4109.421
aze,2009,3685.32519
aze,2010,4409.18226
aze,2011,5289.29099
aze,2012,5555.71214
aze,2013,5871.25076
