global,time,ne_rsb_gnfs_zs
world,1970,0.00557
world,1971,0.10395
world,1972,0.19119
world,1973,0.31612
world,1974,-0.11115
world,1975,-0.01844
world,1976,-0.19063
world,1977,-0.36537
world,1978,-0.24252
world,1979,-0.35642
world,1980,-0.46679
world,1981,-0.53979
world,1982,-0.74631
world,1983,-0.58329
world,1984,-0.52924
world,1985,-0.51745
world,1986,-0.40884
world,1987,-0.25048
world,1988,-0.28464
world,1989,-0.38925
world,1990,-0.29643
world,1991,0.04992
world,1992,0.3929
world,1993,0.39714
world,1994,0.41005
world,1995,0.41044
world,1996,0.35209
world,1997,0.48064
world,1998,0.38233
world,1999,0.24404
world,2000,0.07897
world,2001,-0.04801
world,2002,0.19943
world,2003,0.18398
world,2004,0.27838
world,2005,0.35931
world,2006,0.58938
world,2007,0.67884
world,2008,0.59348
world,2009,0.58662
world,2010,0.82614
world,2011,0.87021
world,2012,0.97026
world,2013,0.96031
world,2014,0.77549
world,2015,0.74275
world,2016,0.71888
world,2017,0.75076
world,2018,0.65704
world,2019,0.53577
world,2020,0.80766
