geo,time,ne_con_govt_kd_zg
ago,2003,3.99
ago,2004,2.1
ago,2005,8.27
ago,2006,9.82
ago,2007,8.5
ago,2008,12.34
ago,2009,-9.2357
ago,2010,5.06017
ago,2011,27.23465
ago,2012,0.62229
ago,2013,21.38253
ago,2014,-14.13878
ago,2015,-8.78121
ago,2016,-10.52871
ago,2017,0.27407
ago,2018,-1.70862
ago,2019,-1.59942
ago,2020,-14.09735
alb,1997,-11.70143
alb,1998,-9.14797
alb,1999,-0.22116
alb,2000,-9.98074
alb,2001,9.69944
alb,2002,5.32679
alb,2003,-0.71727
alb,2004,4.32365
alb,2005,-1.45588
alb,2006,-2.42327
alb,2007,3.36916
alb,2008,4.37514
alb,2009,3.73871
alb,2010,3.96625
alb,2011,0.65138
alb,2012,0.10287
alb,2013,2.907
alb,2014,6.39455
alb,2015,-1.10398
alb,2016,4.69683
alb,2017,3.16161
alb,2018,0.7136
alb,2019,2.91471
alb,2020,1.57742
are,2002,4.83527
are,2003,4.55182
are,2004,-1.71016
are,2005,-5.62425
are,2006,-3.48355
are,2007,0.42833
are,2008,11.83222
are,2009,32.90195
are,2010,0.87248
are,2011,12.2504
are,2012,-2.16252
are,2013,30.79294
are,2014,0.48003
are,2015,-2.97793
are,2016,-1.13333
are,2017,11.72854
are,2018,-4.96441
are,2019,9.97735
are,2020,0.67906
arg,1994,0.44468
arg,1995,0.76054
arg,1996,2.1697
arg,1997,3.21958
arg,1998,3.35688
arg,1999,2.62184
arg,2000,0.57706
arg,2001,-2.0694
arg,2002,-5.07814
arg,2003,1.46082
arg,2004,2.718
arg,2005,9.85544
arg,2006,3.72252
arg,2007,7.82978
arg,2008,5.01508
arg,2009,5.63425
arg,2010,5.45218
arg,2011,4.56491
arg,2012,3.0093
arg,2013,5.32259
arg,2014,2.94503
arg,2015,6.94601
arg,2016,-0.52438
arg,2017,2.63712
arg,2018,-1.89141
arg,2019,-1.20324
arg,2020,-3.30453
arm,1995,-2.18175
arm,1996,-5.87943
arm,1997,-2.40982
arm,1998,-2.36527
arm,1999,1.41077
arm,2000,4.096
arm,2001,3.69372
arm,2002,4.54091
arm,2003,11.87356
arm,2004,10.66376
arm,2005,18.63044
arm,2006,13.62529
arm,2007,5.25935
arm,2008,-1.3653
arm,2009,-0.9149
arm,2010,3.92932
arm,2011,5.83478
arm,2012,-0.8427
arm,2013,7.6
arm,2014,-1.2
arm,2015,4.7
arm,2016,-2.4
arm,2017,-2.1
arm,2018,-3
arm,2019,12.9
arm,2020,15.2
asm,2003,-0.66667
asm,2004,-2.68456
asm,2005,-4.48276
asm,2006,-5.05415
asm,2007,-4.56274
asm,2008,5.57769
asm,2009,14.71698
asm,2010,5.92105
asm,2011,6.52174
asm,2012,-4.08163
asm,2013,-6.38298
asm,2014,7.46753
asm,2015,8.45921
asm,2016,-13.92758
asm,2017,-3.8835
asm,2018,2.3569
asm,2019,-8.55263
asm,2020,10.07194
aus,1961,3.67002
aus,1962,3.86705
aus,1963,4.08542
aus,1964,3.10916
aus,1965,9.1053
aus,1966,10.04352
aus,1967,5.34114
aus,1968,9.15795
aus,1969,3.20209
aus,1970,7.56357
aus,1971,5.19772
aus,1972,4.28648
aus,1973,3.18532
aus,1974,2.52262
aus,1975,8.88836
aus,1976,8.2271
aus,1977,0.64027
aus,1978,2.98092
aus,1979,3.30843
aus,1980,2.25753
aus,1981,4.5432
